dispersion,seed,scenario_index,method,objective,adr_kbps,log_utility
low,1,0,No grouping,log-utility,7500.0,0.9326666666666669
low,1,0,CQI k-means,log-utility,6355.333333333333,0.9522459285111842
low,1,0,Resource-cost k-means,log-utility,7500.0,0.9326666666666669
low,1,0,Multi-feature k-means,log-utility,6695.333333333333,0.9450969728477964
low,1,0,No grouping,ADR,7500.0,0.9326666666666669
low,1,0,CQI k-means,ADR,7500.0,0.9326666666666669
low,1,0,Resource-cost k-means,ADR,7500.0,0.9326666666666669
low,1,0,Multi-feature k-means,ADR,7500.0,0.9326666666666669
low,1,1,No grouping,log-utility,7500.0,0.9360000000000003
low,1,1,CQI k-means,log-utility,7126.0,0.9423971845630603
low,1,1,Resource-cost k-means,log-utility,7409.333333333333,0.9375508326213481
low,1,1,Multi-feature k-means,log-utility,6842.666666666667,0.9472435365047727
low,1,1,No grouping,ADR,7500.0,0.9360000000000003
low,1,1,CQI k-means,ADR,7500.0,0.9360000000000003
low,1,1,Resource-cost k-means,ADR,7500.0,0.9360000000000003
low,1,1,Multi-feature k-means,ADR,7500.0,0.9360000000000003
low,1,2,No grouping,log-utility,7500.0,0.9313333333333337
low,1,2,CQI k-means,log-utility,6332.666666666667,0.9513003033331877
low,1,2,Resource-cost k-means,log-utility,7386.666666666667,0.9332718741100183
low,1,2,Multi-feature k-means,log-utility,6797.333333333333,0.94335228614878
low,1,2,No grouping,ADR,7500.0,0.9313333333333337
low,1,2,CQI k-means,ADR,7500.0,0.9313333333333337
low,1,2,Resource-cost k-means,ADR,7500.0,0.9313333333333337
low,1,2,Multi-feature k-means,ADR,7500.0,0.9313333333333337
low,1,3,No grouping,log-utility,7500.0,0.9353333333333335
low,1,3,CQI k-means,log-utility,7080.666666666667,0.9425059342070676
low,1,3,Resource-cost k-means,log-utility,7409.333333333333,0.9368841659546814
low,1,3,Multi-feature k-means,log-utility,7058.0,0.9428936423624047
low,1,3,No grouping,ADR,7500.0,0.9353333333333335
low,1,3,CQI k-means,ADR,7500.0,0.9353333333333335
low,1,3,Resource-cost k-means,ADR,7500.0,0.9353333333333335
low,1,3,Multi-feature k-means,ADR,7500.0,0.9353333333333335
low,1,4,No grouping,log-utility,7500.0,0.9326666666666668
low,1,4,CQI k-means,log-utility,7046.666666666667,0.9404208297734065
low,1,4,Resource-cost k-means,log-utility,7443.333333333333,0.9336359370550091
low,1,4,Multi-feature k-means,log-utility,6786.0,0.944879473559782
low,1,4,No grouping,ADR,7500.0,0.9326666666666668
low,1,4,CQI k-means,ADR,7500.0,0.9326666666666668
low,1,4,Resource-cost k-means,ADR,7500.0,0.9326666666666668
low,1,4,Multi-feature k-means,ADR,7500.0,0.9326666666666668
low,1,5,No grouping,log-utility,7500.0,0.9340000000000002
low,1,5,CQI k-means,log-utility,7012.666666666667,0.9423357253397453
low,1,5,Resource-cost k-means,log-utility,7375.333333333333,0.9361323948543535
low,1,5,Multi-feature k-means,log-utility,6865.333333333333,0.9448558283494356
low,1,5,No grouping,ADR,7500.0,0.9340000000000002
low,1,5,CQI k-means,ADR,7500.0,0.9340000000000002
low,1,5,Resource-cost k-means,ADR,7500.0,0.9340000000000002
low,1,5,Multi-feature k-means,ADR,7500.0,0.9340000000000002
low,1,6,No grouping,log-utility,7500.0,0.9220000000000003
low,1,6,CQI k-means,log-utility,6854.0,0.9330496824271042
low,1,6,Resource-cost k-means,log-utility,7330.0,0.9249078111650275
low,1,6,Multi-feature k-means,log-utility,6865.333333333333,0.9328558283494359
low,1,6,No grouping,ADR,7500.0,0.9220000000000003
low,1,6,CQI k-means,ADR,7500.0,0.9220000000000003
low,1,6,Resource-cost k-means,ADR,7500.0,0.9220000000000003
low,1,6,Multi-feature k-means,ADR,7500.0,0.9220000000000003
low,1,7,No grouping,log-utility,7500.0,0.9340000000000002
low,1,7,CQI k-means,log-utility,7160.0,0.9398156223300547
low,1,7,Resource-cost k-means,log-utility,7420.666666666667,0.9353569785436794
low,1,7,Multi-feature k-means,log-utility,6842.666666666667,0.9439102031714394
low,1,7,No grouping,ADR,7500.0,0.9340000000000002
low,1,7,CQI k-means,ADR,7500.0,0.9340000000000002
low,1,7,Resource-cost k-means,ADR,7500.0,0.9340000000000002
low,1,7,Multi-feature k-means,ADR,7500.0,0.9340000000000002
low,1,8,No grouping,log-utility,7500.0,0.9306666666666669
low,1,8,CQI k-means,log-utility,7046.666666666667,0.9384208297734066
low,1,8,Resource-cost k-means,log-utility,7398.0,0.9324113533656834
low,1,8,Multi-feature k-means,log-utility,6899.333333333333,0.9409409327830969
low,1,8,No grouping,ADR,7500.0,0.9306666666666669
low,1,8,CQI k-means,ADR,7500.0,0.9306666666666669
low,1,8,Resource-cost k-means,ADR,7500.0,0.9306666666666669
low,1,8,Multi-feature k-means,ADR,7500.0,0.9306666666666669
low,1,9,No grouping,log-utility,7500.0,0.9306666666666669
low,1,9,CQI k-means,log-utility,7012.666666666667,0.939002392006412
low,1,9,Resource-cost k-means,log-utility,7477.333333333333,0.9310543748220038
low,1,9,Multi-feature k-means,log-utility,6797.333333333333,0.9426856194821134
low,1,9,No grouping,ADR,7500.0,0.9306666666666669
low,1,9,CQI k-means,ADR,7500.0,0.9306666666666669
low,1,9,Resource-cost k-means,ADR,7500.0,0.9306666666666669
low,1,9,Multi-feature k-means,ADR,7500.0,0.9306666666666669
low,1,10,No grouping,log-utility,7500.0,0.9313333333333337
low,1,10,CQI k-means,log-utility,7092.0,0.9383120801293994
low,1,10,Resource-cost k-means,log-utility,7432.0,0.9324964577993444
low,1,10,Multi-feature k-means,log-utility,6910.666666666667,0.9414137453720951
low,1,10,No grouping,ADR,7500.0,0.9313333333333337
low,1,10,CQI k-means,ADR,7500.0,0.9313333333333337
low,1,10,Resource-cost k-means,ADR,7500.0,0.9313333333333337
low,1,10,Multi-feature k-means,ADR,7500.0,0.9313333333333337
low,1,11,No grouping,log-utility,7500.0,0.9306666666666669
low,1,11,CQI k-means,log-utility,7046.666666666667,0.9384208297734066
low,1,11,Resource-cost k-means,log-utility,7500.0,0.9306666666666669
low,1,11,Multi-feature k-means,log-utility,6616.0,0.945787284724809
low,1,11,No grouping,ADR,7500.0,0.9306666666666669
low,1,11,CQI k-means,ADR,7500.0,0.9306666666666669
low,1,11,Resource-cost k-means,ADR,7500.0,0.9306666666666669
low,1,11,Multi-feature k-means,ADR,7500.0,0.9306666666666669
low,1,12,No grouping,log-utility,7500.0,0.9333333333333336
low,1,12,CQI k-means,log-utility,7024.0,0.9414752045954102
low,1,12,Resource-cost k-means,log-utility,7432.0,0.9344964577993444
low,1,12,Multi-feature k-means,log-utility,6638.666666666667,0.9467329099028052
low,1,12,No grouping,ADR,7500.0,0.9333333333333336
low,1,12,CQI k-means,ADR,7500.0,0.9333333333333336
low,1,12,Resource-cost k-means,ADR,7500.0,0.9333333333333336
low,1,12,Multi-feature k-means,ADR,7500.0,0.9333333333333336
low,1,13,No grouping,log-utility,7500.0,0.932
low,1,13,CQI k-means,log-utility,7069.333333333333,0.9393664549514028
low,1,13,Resource-cost k-means,log-utility,7500.0,0.932
low,1,13,Multi-feature k-means,log-utility,6752.0,0.9447943691261206
low,1,13,No grouping,ADR,7500.0,0.932
low,1,13,CQI k-means,ADR,7500.0,0.932
low,1,13,Resource-cost k-means,ADR,7500.0,0.932
low,1,13,Multi-feature k-means,ADR,7500.0,0.932
low,1,14,No grouping,log-utility,7500.0,0.934666666666667
low,1,14,CQI k-means,log-utility,7069.333333333333,0.9420331216180695
low,1,14,Resource-cost k-means,log-utility,7364.0,0.9369929155986889
low,1,14,Multi-feature k-means,log-utility,7046.666666666667,0.9424208297734066
low,1,14,No grouping,ADR,7500.0,0.934666666666667
low,1,14,CQI k-means,ADR,7500.0,0.934666666666667
low,1,14,Resource-cost k-means,ADR,7500.0,0.934666666666667
low,1,14,Multi-feature k-means,ADR,7500.0,0.934666666666667
low,1,15,No grouping,log-utility,7500.0,0.9313333333333335
low,1,15,CQI k-means,log-utility,7080.666666666667,0.9385059342070678
low,1,15,Resource-cost k-means,log-utility,7500.0,0.9313333333333335
low,1,15,Multi-feature k-means,log-utility,6944.666666666667,0.9408321831390896
low,1,15,No grouping,ADR,7500.0,0.9313333333333335
low,1,15,CQI k-means,ADR,7500.0,0.9313333333333335
low,1,15,Resource-cost k-means,ADR,7500.0,0.9313333333333335
low,1,15,Multi-feature k-means,ADR,7500.0,0.9313333333333335
low,1,16,No grouping,log-utility,7500.0,0.9340000000000002
