dispersion,objective,method,mean_adr_kbps,mean_log_utility,adr_vs_cqi_pct
low,log-utility,No grouping,7500.0,0.9317688888888892,107.53529268478029
low,log-utility,CQI k-means,6974.454444444445,0.9407582255605064,100.0
low,log-utility,Resource-cost k-means,7436.55888888889,0.9328525925208491,106.62567155790283
low,log-utility,Multi-feature k-means,6828.872222222221,0.9429419050983031,97.91263641648433
low,ADR,No grouping,7500.0,0.9317688888888892,100.0
low,ADR,CQI k-means,7500.0,0.9317688888888892,100.0
low,ADR,Resource-cost k-means,7500.0,0.9317688888888892,100.0
low,ADR,Multi-feature k-means,7500.0,0.9317688888888892,100.0
mid_v2,log-utility,No grouping,2923.4166666666665,0.6701715276668223,79.7565539239424
mid_v2,log-utility,CQI k-means,3665.425,0.7054539577654928,100.0
mid_v2,log-utility,Resource-cost k-means,4502.9911111111105,0.7358854228389937,122.85045011454635
mid_v2,log-utility,Multi-feature k-means,3995.5527777777784,0.7281491775578431,109.00653478867466
mid_v2,ADR,No grouping,2923.4166666666665,0.6701715276668223,67.02907873437624
mid_v2,ADR,CQI k-means,4361.415555555555,0.6969971393074642,100.0
mid_v2,ADR,Resource-cost k-means,5449.371666666667,0.7217818211398683,124.94502294616888
mid_v2,ADR,Multi-feature k-means,4959.374444444445,0.7153302174451267,113.71020214130276
high,log-utility,No grouping,550.0,0.12289195534308069,27.783749256995193
high,log-utility,CQI k-means,1979.5744444444442,0.3755688029539793,100.0
high,log-utility,Resource-cost k-means,1340.3333333333333,0.3210178883126061,67.70815500750162
high,log-utility,Multi-feature k-means,1759.265,0.35835620785197725,88.87086843019573
high,ADR,No grouping,550.0,0.12289195534308069,15.77572842035719
high,ADR,CQI k-means,3486.368333333334,0.33783317323911005,100.0
high,ADR,Resource-cost k-means,1990.1072222222222,0.3089673841521806,57.082529209398565
high,ADR,Multi-feature k-means,3340.257777777778,0.3157554474114051,95.80909010219644
