scenario_index,feature_mode,users,rbs,rb_budget_ratio,cqi_min,cqi_max,cqi_span,mean_cost_std,max_same_cqi_cost_std,teacher_groups,cqi_groups,resource_groups,multifeature_groups,teacher_gain_vs_no_grouping,teacher_gain_vs_cqi,resource_gain_vs_cqi,multifeature_gain_vs_cqi,resource_gap_vs_teacher,multifeature_gap_vs_teacher,cqi_pairwise_vs_teacher,resource_pairwise_vs_teacher,multifeature_pairwise_vs_teacher,teacher_utility,cqi_utility,resource_utility,multifeature_utility,no_grouping_utility,split,seed,accepted,acceptance_score,selected
0,history_cost_quality,12,72,0.2361111111111111,8,11,3,0.01296893234102748,0.00853138286554629,2,2,1,2,0.04756126359088042,0.0475612635908802,-2.220446049250313e-16,0.00691141096821446,0.04756126359088042,0.04064985262266574,0.8333333333333334,0.4696969696969697,0.8333333333333334,0.6030787750082319,0.5555175114173517,0.5555175114173515,0.5624289223855662,0.5555175114173515,train,9,0,0.12621956291974804,0
1,history_cost_quality,12,72,0.2361111111111111,8,10,2,0.012477593849379806,0.006087860277029127,2,2,2,2,0.04756126359088031,0.04064985262266574,0.04064985262266574,0.0,0.0,0.04064985262266574,0.8333333333333334,1.0,0.8333333333333334,0.6030787750082319,0.5624289223855662,0.6030787750082319,0.5624289223855662,0.5555175114173516,train,9,1,0.14725215473269465,0
2,history_cost_quality,12,72,0.2361111111111111,7,10,3,0.014609642151822137,0.005071505162084869,2,2,2,2,0.04756126359088031,0.011486098856325566,0.011486098856325566,-0.029163753766340172,0.0,0.04064985262266574,0.696969696969697,1.0,0.8333333333333334,0.6197454416748985,0.608259342818573,0.6197454416748985,0.5790955890522328,0.5721841780840182,train,9,0,0.05950680465493807,0
3,history_cost_quality,12,72,0.2361111111111111,8,10,2,0.014756629242982463,0.006612433730132265,2,2,2,2,0.03607516473455463,0.0,0.0,-0.029163753766340172,0.0,0.029163753766340172,1.0,1.0,0.8333333333333334,0.5999260094852397,0.5999260094852397,0.5999260094852397,0.5707622557188995,0.563850844750685,train,9,0,0.01969069079981038,0
4,history_cost_quality,12,72,0.2361111111111111,8,10,2,0.012517789030021311,0.005594002765553042,2,2,2,2,0.03607516473455474,0.0,0.0,-0.029163753766340172,0.0,0.029163753766340172,1.0,1.0,0.8333333333333334,0.608259342818573,0.608259342818573,0.608259342818573,0.5790955890522328,0.5721841780840182,train,9,0,0.01943608305866563,0
5,history_cost_quality,12,72,0.2361111111111111,8,10,2,0.013139958615683957,0.008729713347982067,2,2,1,2,0.0652389185008948,0.017677654910014606,-0.0475612635908802,-0.011486098856325566,0.0652389185008948,0.029163753766340172,0.5909090909090909,0.5151515151515151,0.8333333333333334,0.6207564299182465,0.6030787750082319,0.5555175114173517,0.5915926761519064,0.5555175114173517,train,9,0,0.07015719740747213,0
6,history_cost_quality,12,72,0.2361111111111111,8,10,2,0.01222452123283554,0.006770805854469232,2,2,2,2,0.06523891850089492,0.058327507532680345,0.0,0.0,0.058327507532680345,0.058327507532680345,0.696969696969697,0.696969696969697,0.696969696969697,0.6540897632515799,0.5957622557188995,0.5957622557188995,0.5957622557188995,0.5888508447506849,train,9,1,0.15096717577942545,1
7,history_cost_quality,12,72,0.2361111111111111,8,10,2,0.014221152099202591,0.006644768562225612,2,2,2,2,0.03607516473455463,-1.1102230246251565e-16,0.0,0.0,-1.1102230246251565e-16,-1.1102230246251565e-16,1.0,1.0,1.0,0.5665926761519063,0.5665926761519064,0.5665926761519064,0.5665926761519064,0.5305175114173517,train,9,0,0.019698774507833496,0
8,history_cost_quality,12,72,0.2361111111111111,8,10,2,0.015977067315469638,0.007378415486346861,2,2,2,2,0.03607516473455463,0.0,-0.029163753766340172,-0.029163753766340172,0.029163753766340172,0.029163753766340172,1.0,0.8333333333333334,0.8333333333333334,0.5665926761519063,0.5665926761519063,0.5374289223855662,0.5374289223855662,0.5305175114173517,train,9,0,0.019882186238864032,0
9,history_cost_quality,12,72,0.2361111111111111,8,10,2,0.01568561060976553,0.006481481481481484,2,2,2,2,0.10975155025051142,0.06219028665963111,0.04776180999648216,0.04776180999648216,0.014428476663148948,0.014428476663148948,0.696969696969697,0.8333333333333334,0.8333333333333334,0.6736023950011963,0.6114121083415652,0.6591739183380474,0.6591739183380474,0.5638508447506849,train,9,1,0.26445988630873213,1
