scenario_index,feature_mode,users,rbs,rb_budget_ratio,cqi_min,cqi_max,cqi_span,mean_cost_std,max_same_cqi_cost_std,teacher_groups,cqi_groups,resource_groups,multifeature_groups,teacher_gain_vs_no_grouping,teacher_gain_vs_cqi,resource_gain_vs_cqi,multifeature_gain_vs_cqi,resource_gap_vs_teacher,multifeature_gap_vs_teacher,cqi_pairwise_vs_teacher,resource_pairwise_vs_teacher,multifeature_pairwise_vs_teacher,teacher_utility,cqi_utility,resource_utility,multifeature_utility,no_grouping_utility,benchmark_id,benchmark_title,cqi_dispersion,rb_heterogeneity,pressure,scenario_mode,split,seed,accepted,acceptance_score,selected
0,history_cost_quality,12,72,0.42,8,12,4,0.019346945631540293,0.002268046058132573,2,2,1,1,0.014539055825136815,0.014243490695810546,-0.00029556512932626955,-0.00029556512932626955,0.014539055825136815,0.014539055825136815,0.8333333333333334,0.45454545454545453,0.45454545454545453,0.8728723891584703,0.8586288984626598,0.8583333333333335,0.8583333333333335,0.8583333333333335,bench_d2_h2_p2_main_general,Main general corridor showcase,d2_midspread,h2_mild_heterogeneous,p2_medium,corridor_general,train,31,0,0.03358822498246716,0
1,history_cost_quality,12,72,0.42,8,14,6,0.014985583031945955,0.006623566633252087,2,2,2,1,0.014243490695810546,0.009692703883424691,0.0,-0.004550786812385854,0.009692703883424691,0.014243490695810546,0.5151515151515151,0.5151515151515151,0.8333333333333334,0.8933216023460844,0.8836288984626597,0.8836288984626597,0.8790781116502738,0.8790781116502738,bench_d2_h2_p2_main_general,Main general corridor showcase,d2_midspread,h2_mild_heterogeneous,p2_medium,corridor_general,train,31,1,0.026555682328045345,1
2,history_cost_quality,12,72,0.42,7,12,5,0.0176660041712839,0.005774162633910405,2,1,1,1,0.014243490695810546,0.014243490695810546,0.0,0.0,0.014243490695810546,0.014243490695810546,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8849882690127511,0.8707447783169405,0.8707447783169405,0.8707447783169405,0.8707447783169405,bench_d2_h2_p2_main_general,Main general corridor showcase,d2_midspread,h2_mild_heterogeneous,p2_medium,corridor_general,train,31,1,0.034492277390537375,1
3,history_cost_quality,12,72,0.42,7,12,5,0.017858737538208547,0.0021824283369955137,1,1,1,1,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,1.0,1.0,1.0,0.8666666666666667,0.8666666666666666,0.8666666666666666,0.8666666666666666,0.8666666666666666,bench_d2_h2_p2_main_general,Main general corridor showcase,d2_midspread,h2_mild_heterogeneous,p2_medium,corridor_general,train,31,0,0.0006547285010989094,0
4,history_cost_quality,12,72,0.42,8,14,6,0.009887011596249615,0.006075623359577019,2,2,2,2,0.012115879854280753,-0.002423175970856284,-0.004846351941712346,-0.004846351941712346,0.002423175970856062,0.002423175970856062,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9121158798542807,0.914539055825137,0.9096927038834246,0.9096927038834246,0.8999999999999999,bench_d2_h2_p2_main_general,Main general corridor showcase,d2_midspread,h2_mild_heterogeneous,p2_medium,corridor_general,train,31,0,0.0035189101874721716,0
5,history_cost_quality,12,72,0.42,5,14,9,0.04296287704422371,0.0034722222222222238,2,1,1,1,0.003316614377732119,0.003316614377732119,0.0,0.0,0.003316614377732119,0.003316614377732119,0.5151515151515151,0.5151515151515151,0.5151515151515151,0.8657280593613393,0.8624114449836072,0.8624114449836072,0.8624114449836072,0.8624114449836072,bench_d2_h2_p2_main_general,Main general corridor showcase,d2_midspread,h2_mild_heterogeneous,p2_medium,corridor_general,train,31,0,0.008669879735450541,0
6,history_cost_quality,12,72,0.42,8,11,3,0.011039277722086802,0.0051553373729907636,2,1,2,1,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,2.220446049250313e-16,0.5909090909090909,0.5151515151515151,0.5909090909090909,0.8957447783169407,0.8957447783169404,0.8957447783169407,0.8957447783169404,0.8957447783169404,bench_d2_h2_p2_main_general,Main general corridor showcase,d2_midspread,h2_mild_heterogeneous,p2_medium,corridor_general,train,31,0,0.0015466012118979173,0
7,history_cost_quality,12,72,0.42,7,12,5,0.01839351456953737,0.0047564922862414925,2,1,1,1,0.007565093041894788,0.007565093041894788,0.0,0.0,0.007565093041894788,0.007565093041894788,0.696969696969697,0.696969696969697,0.696969696969697,0.8242317597085616,0.8166666666666668,0.8166666666666668,0.8166666666666668,0.8166666666666668,bench_d2_h2_p2_main_general,Main general corridor showcase,d2_midspread,h2_mild_heterogeneous,p2_medium,corridor_general,train,31,0,0.01882666168223046,0
8,history_cost_quality,12,72,0.42,7,12,5,0.01971276960774764,0.004629629629629629,1,1,1,1,-1.1102230246251565e-16,-1.1102230246251565e-16,0.0,0.0,-1.1102230246251565e-16,-1.1102230246251565e-16,1.0,1.0,1.0,0.8666666666666667,0.8666666666666668,0.8666666666666668,0.8666666666666668,0.8666666666666668,bench_d2_h2_p2_main_general,Main general corridor showcase,d2_midspread,h2_mild_heterogeneous,p2_medium,corridor_general,train,31,0,0.0013888888888886333,0
9,history_cost_quality,12,72,0.42,7,12,5,0.014185784190470858,0.00218242833699552,2,1,1,1,0.005141917071038615,0.005141917071038615,0.0,0.0,0.005141917071038615,0.005141917071038615,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.8384752504043721,0.8333333333333335,0.8333333333333335,0.8333333333333335,0.8333333333333335,bench_d2_h2_p2_main_general,Main general corridor showcase,d2_midspread,h2_mild_heterogeneous,p2_medium,corridor_general,train,31,0,0.012481137764487471,0
