method,utility,adr_kbps,used_spectral_efficiency,system_spectral_efficiency,served_ratio,unserved_ratio,average_quality,rb_utilization,avg_switching,fairness,avg_groups,selected_epoch,selection_validation_loss,pair_sampling,train_positive_pairs,train_negative_pairs,train_active_negative_ratio,train_mean_negative_distance,benchmark_id,benchmark_title,cqi_dispersion,rb_heterogeneity,pressure,scenario_mode,rb_budget_ratio,kmax,seed,feature_mode,train_scenarios,test_scenarios
No grouping,0.6638508447506849,3000.0,6.896551724137931,6.666666666666667,1.0,0.0,3.0,0.9666666666666667,0.1666666666666667,1.0,1.0,1,0.14327029287109214,random_balanced,23.333333333333332,24.0,0.8333333333333334,0.7916639232509136,bench_d3_h1_p2_cqi_easy,CQI-easy aligned medium-pressure showcase,d3_widespread,h1_aligned,p2_medium,aligned,0.42,3,37,history_cost_quality,3,1
CQI k-means,0.7069357283345297,4008.3333333333335,11.13425925925926,8.907407407407407,1.0,0.0,3.1666666666666665,0.8,0.13333333333333333,0.7814243640146449,2.0,1,0.14327029287109214,random_balanced,23.333333333333332,24.0,0.8333333333333334,0.7916639232509136,bench_d3_h1_p2_cqi_easy,CQI-easy aligned medium-pressure showcase,d3_widespread,h1_aligned,p2_medium,aligned,0.42,3,37,history_cost_quality,3,1
Resource-cost k-means,0.7063221274544448,4566.666666666667,10.148148148148149,10.148148148148149,1.0,0.0,3.3333333333333335,1.0,0.16666666666666666,0.8188516052331637,3.0,1,0.14327029287109214,random_balanced,23.333333333333332,24.0,0.8333333333333334,0.7916639232509136,bench_d3_h1_p2_cqi_easy,CQI-easy aligned medium-pressure showcase,d3_widespread,h1_aligned,p2_medium,aligned,0.42,3,37,history_cost_quality,3,1
Multi-feature k-means,0.7069357283345297,4008.3333333333335,11.13425925925926,8.907407407407407,1.0,0.0,3.1666666666666665,0.8,0.13333333333333333,0.7814243640146449,2.0,1,0.14327029287109214,random_balanced,23.333333333333332,24.0,0.8333333333333334,0.7916639232509136,bench_d3_h1_p2_cqi_easy,CQI-easy aligned medium-pressure showcase,d3_widespread,h1_aligned,p2_medium,aligned,0.42,3,37,history_cost_quality,3,1
Offline teacher,0.7213642049976784,4366.666666666667,10.396825396825397,9.703703703703704,1.0,0.0,3.3333333333333335,0.9333333333333333,0.16666666666666666,0.8227144158396855,2.0,1,0.14327029287109214,random_balanced,23.333333333333332,24.0,0.8333333333333334,0.7916639232509136,bench_d3_h1_p2_cqi_easy,CQI-easy aligned medium-pressure showcase,d3_widespread,h1_aligned,p2_medium,aligned,0.42,3,37,history_cost_quality,3,1
LE-GRA MVP,0.7069357283345297,4008.3333333333335,9.21455938697318,8.907407407407407,1.0,0.0,3.1666666666666665,0.9666666666666667,0.13333333333333333,0.7814243640146449,3.0,1,0.14327029287109214,random_balanced,23.333333333333332,24.0,0.8333333333333334,0.7916639232509136,bench_d3_h1_p2_cqi_easy,CQI-easy aligned medium-pressure showcase,d3_widespread,h1_aligned,p2_medium,aligned,0.42,3,37,history_cost_quality,3,1
No grouping,0.8416666666666667,7500.0,22.727272727272727,16.666666666666668,1.0,0.0,5.0,0.7333333333333333,0.3166666666666667,1.0,1.0,1,0.5653628412930345,random_balanced,24.0,15.333333333333334,0.7575757575757575,0.7595898566051472,bench_d2_h2_p2_main_general,Main general corridor showcase,d2_midspread,h2_mild_heterogeneous,p2_medium,corridor_general,0.42,3,37,history_cost_quality,3,1
CQI k-means,0.8610520744335158,6366.666666666667,14.148148148148149,14.148148148148149,1.0,0.0,4.333333333333333,1.0,0.18333333333333335,0.984403248873418,2.0,1,0.5653628412930345,random_balanced,24.0,15.333333333333334,0.7575757575757575,0.7595898566051472,bench_d2_h2_p2_main_general,Main general corridor showcase,d2_midspread,h2_mild_heterogeneous,p2_medium,corridor_general,0.42,3,37,history_cost_quality,3,1
Resource-cost k-means,0.8416666666666667,7500.0,22.727272727272727,16.666666666666668,1.0,0.0,5.0,0.7333333333333333,0.3166666666666667,1.0,1.0,1,0.5653628412930345,random_balanced,24.0,15.333333333333334,0.7575757575757575,0.7595898566051472,bench_d2_h2_p2_main_general,Main general corridor showcase,d2_midspread,h2_mild_heterogeneous,p2_medium,corridor_general,0.42,3,37,history_cost_quality,3,1
Multi-feature k-means,0.8610520744335158,6366.666666666667,14.148148148148149,14.148148148148149,1.0,0.0,4.333333333333333,1.0,0.18333333333333335,0.984403248873418,2.0,1,0.5653628412930345,random_balanced,24.0,15.333333333333334,0.7575757575757575,0.7595898566051472,bench_d2_h2_p2_main_general,Main general corridor showcase,d2_midspread,h2_mild_heterogeneous,p2_medium,corridor_general,0.42,3,37,history_cost_quality,3,1
