scenario_index,feature_mode,users,rbs,rb_budget_ratio,cqi_min,cqi_max,cqi_span,mean_cost_std,max_same_cqi_cost_std,teacher_groups,cqi_groups,resource_groups,multifeature_groups,teacher_gain_vs_no_grouping,teacher_gain_vs_cqi,resource_gain_vs_cqi,multifeature_gain_vs_cqi,resource_gap_vs_teacher,multifeature_gap_vs_teacher,cqi_pairwise_vs_teacher,resource_pairwise_vs_teacher,multifeature_pairwise_vs_teacher,teacher_utility,cqi_utility,resource_utility,multifeature_utility,no_grouping_utility,benchmark_id,benchmark_title,cqi_dispersion,rb_heterogeneity,pressure,scenario_mode,split,seed,accepted,selected,acceptance_score
0,history_cost_quality,12,72,0.42,3,14,11,0.13868015758148103,0.03356481481481481,3,2,3,3,0.19043363910584377,0.04480974591007847,-0.014262589807794268,0.01689816717457504,0.05907233571787274,0.02791157873550343,0.8787878787878788,0.7575757575757576,0.696969696969697,0.6463700307983314,0.601560284888253,0.5872976950804587,0.618458452062828,0.4559363916924877,bench_d3_h1_p2_cqi_easy,CQI-easy aligned medium-pressure showcase,d3_widespread,h1_aligned,p2_medium,aligned,train,37,1,1,0.1994623403751676
1,history_cost_quality,12,72,0.42,3,15,12,0.11524391825112891,0.01157407407407407,2,3,3,2,0.363189623301673,0.014428476663148837,0.0,0.0,0.014428476663148837,0.014428476663148837,0.5909090909090909,0.8181818181818182,0.8333333333333334,0.7691260149941607,0.7546975383310118,0.7546975383310118,0.7546975383310118,0.4059363916924877,bench_d3_h1_p2_cqi_easy,CQI-easy aligned medium-pressure showcase,d3_widespread,h1_aligned,p2_medium,aligned,train,37,1,1,0.2110382918667266
2,history_cost_quality,12,72,0.42,4,15,11,0.07494206756356964,0.006944444444444461,2,2,2,2,0.10527517024347577,0.004336562938148436,0.004336562938148436,0.004336562938148436,0.0,0.0,0.4696969696969697,1.0,1.0,0.7357926816608273,0.7314561187226789,0.7357926816608273,0.7357926816608273,0.6305175114173516,bench_d3_h1_p2_cqi_easy,CQI-easy aligned medium-pressure showcase,d3_widespread,h1_aligned,p2_medium,aligned,train,37,1,1,0.06946523244477591
0,history_cost_quality,12,72,0.42,4,14,10,0.09091032224280758,0.005787037037037035,2,2,3,2,0.057513360246993495,0.014428476663148726,-0.0006136008800848858,0.0,0.015042077543233612,0.014428476663148726,0.8333333333333334,0.803030303030303,0.8333333333333334,0.7213642049976784,0.7069357283345297,0.7063221274544448,0.7069357283345297,0.6638508447506849,bench_d3_h1_p2_cqi_easy,CQI-easy aligned medium-pressure showcase,d3_widespread,h1_aligned,p2_medium,aligned,test,1037,1,1,0.05646404922827557
0,history_cost_quality,12,72,0.42,8,13,5,0.01748817527593392,0.009259259259259266,2,2,1,1,0.014243490695810546,0.012115879854280864,-0.0021276108415296813,-0.0021276108415296813,0.014243490695810546,0.014243490695810546,0.4696969696969697,0.8333333333333334,0.8333333333333334,0.8516549356794177,0.8395390558251369,0.8374114449836072,0.8374114449836072,0.8374114449836072,bench_d2_h2_p2_main_general,Main general corridor showcase,d2_midspread,h2_mild_heterogeneous,p2_medium,corridor_general,train,37,1,1,0.03170810686338861
1,history_cost_quality,12,72,0.42,6,13,7,0.02482587178229196,0.0047564922862414925,1,1,1,1,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,1.0,1.0,1.0,0.829078111650274,0.8290781116502739,0.8290781116502739,0.8290781116502739,0.8290781116502739,bench_d2_h2_p2_main_general,Main general corridor showcase,d2_midspread,h2_mild_heterogeneous,p2_medium,corridor_general,train,37,0,0,0.001426947685872703
2,history_cost_quality,12,72,0.42,8,12,4,0.0137312621732693,0.005787037037037042,2,2,2,2,0.014243490695810546,0.004846351941712346,-0.002423175970856284,0.0,0.00726952791256863,0.004846351941712346,0.696969696969697,0.5909090909090909,0.696969696969697,0.8266549356794178,0.8218085837377055,0.8193854077668492,0.8218085837377055,0.8124114449836073,bench_d2_h2_p2_main_general,Main general corridor showcase,d2_midspread,h2_mild_heterogeneous,p2_medium,corridor_general,train,37,1,1,0.017581289954098606
3,history_cost_quality,12,72,0.42,7,13,6,0.01985290174424168,0.0069444444444444475,1,1,1,1,-1.1102230246251565e-16,-1.1102230246251565e-16,0.0,0.0,-1.1102230246251565e-16,-1.1102230246251565e-16,1.0,1.0,1.0,0.8416666666666668,0.8416666666666669,0.8416666666666669,0.8416666666666669,0.8416666666666669,bench_d2_h2_p2_main_general,Main general corridor showcase,d2_midspread,h2_mild_heterogeneous,p2_medium,corridor_general,train,37,0,0,0.0020833333333330787
4,history_cost_quality,12,72,0.42,8,14,6,0.014020881295816807,0.004009376869372401,2,2,1,2,0.016962231795992988,0.0093971387540982,-0.007565093041894788,0.0093971387540982,0.016962231795992988,0.0,0.5909090909090909,0.4696969696969697,1.0,0.8502955651293265,0.8408984263752283,0.8333333333333335,0.8502955651293265,0.8333333333333335,bench_d2_h2_p2_main_general,Main general corridor showcase,d2_midspread,h2_mild_heterogeneous,p2_medium,corridor_general,train,37,1,1,0.03411648971946354
0,history_cost_quality,12,72,0.42,8,13,5,0.013508596759268212,0.003982557994001215,2,2,1,2,0.024231759708561507,0.004846351941712346,-0.01938540776684916,0.0,0.024231759708561507,0.004846351941712346,0.696969696969697,0.696969696969697,0.696969696969697,0.8658984263752282,0.8610520744335158,0.8416666666666667,0.8610520744335158,0.8416666666666667,bench_d2_h2_p2_main_general,Main general corridor showcase,d2_midspread,h2_mild_heterogeneous,p2_medium,corridor_general,test,1037,1,1,0.02203408074756334
