scenario_index,feature_mode,users,rbs,rb_budget_ratio,cqi_min,cqi_max,cqi_span,mean_cost_std,max_same_cqi_cost_std,teacher_groups,cqi_groups,resource_groups,multifeature_groups,teacher_gain_vs_no_grouping,teacher_gain_vs_cqi,resource_gain_vs_cqi,multifeature_gain_vs_cqi,resource_gap_vs_teacher,multifeature_gap_vs_teacher,cqi_pairwise_vs_teacher,resource_pairwise_vs_teacher,multifeature_pairwise_vs_teacher,teacher_utility,cqi_utility,resource_utility,multifeature_utility,no_grouping_utility,benchmark_id,benchmark_title,cqi_dispersion,rb_heterogeneity,pressure,scenario_mode,split,seed,accepted,acceptance_score,selected
0,history_cost_quality,12,72,0.28,8,10,2,0.01327939720640101,0.00555555555555555,1,1,1,1,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,1.0,1.0,1.0,0.7290781116502739,0.7290781116502738,0.7290781116502738,0.7290781116502738,0.7290781116502738,bench_d1_h3_p3_dense_hard,Dense-CQI hard stress showcase,d1_dense,h3_strong_heterogeneous,p3_high,anti_cqi_hard,train,37,0,0.0016666666666669203,0
1,history_cost_quality,12,72,0.28,8,10,2,0.014456013885181475,0.00472131436443776,1,1,1,1,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,1.0,1.0,1.0,0.7290781116502739,0.7290781116502738,0.7290781116502738,0.7290781116502738,0.7290781116502738,bench_d1_h3_p3_dense_hard,Dense-CQI hard stress showcase,d1_dense,h3_strong_heterogeneous,p3_high,anti_cqi_hard,train,37,0,0.0014163943093315834,0
2,history_cost_quality,12,72,0.28,8,10,2,0.012753383237704932,0.007021180966714393,1,1,1,1,-1.1102230246251565e-16,-1.1102230246251565e-16,0.0,0.0,-1.1102230246251565e-16,-1.1102230246251565e-16,1.0,1.0,1.0,0.7374114449836071,0.7374114449836072,0.7374114449836072,0.7374114449836072,0.7374114449836072,bench_d1_h3_p3_dense_hard,Dense-CQI hard stress showcase,d1_dense,h3_strong_heterogeneous,p3_high,anti_cqi_hard,train,37,0,0.002106354290014062,0
3,history_cost_quality,12,72,0.28,8,10,2,0.014011589349795427,0.007868857274062939,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.7290781116502738,0.7290781116502738,0.7290781116502738,0.7290781116502738,0.7290781116502738,bench_d1_h3_p3_dense_hard,Dense-CQI hard stress showcase,d1_dense,h3_strong_heterogeneous,p3_high,anti_cqi_hard,train,37,0,0.0023606571822188814,0
4,history_cost_quality,12,72,0.28,8,10,2,0.014283812151206325,0.007378415486346861,2,2,2,2,0.1211374242620662,0.07357616067118578,0.06219028665963089,0.06219028665963089,0.011385874011554886,0.011385874011554886,0.45454545454545453,0.5151515151515151,0.5151515151515151,0.6683216023460844,0.5947454416748986,0.6569357283345295,0.6569357283345295,0.5471841780840182,bench_d1_h3_p3_dense_hard,Dense-CQI hard stress showcase,d1_dense,h3_strong_heterogeneous,p3_high,anti_cqi_hard,train,37,1,0.294723784640481,1
5,history_cost_quality,12,72,0.28,7,10,3,0.017863945837639235,0.009095779029809488,2,2,2,2,0.06523891850089503,0.06523891850089492,0.0,0.09532307358736236,0.06523891850089492,-0.030084155086467446,0.4696969696969697,0.4696969696969697,0.696969696969697,0.6124230965849132,0.5471841780840183,0.5471841780840183,0.6425072516713807,0.5471841780840182,bench_d1_h3_p3_dense_hard,Dense-CQI hard stress showcase,d1_dense,h3_strong_heterogeneous,p3_high,anti_cqi_hard,train,37,1,0.2290367051308911,1
6,history_cost_quality,12,72,0.28,8,10,2,0.01602241881142368,0.005774162633910405,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.6957447783169406,0.6957447783169406,0.6957447783169406,0.6957447783169406,0.6957447783169406,bench_d1_h3_p3_dense_hard,Dense-CQI hard stress showcase,d1_dense,h3_strong_heterogeneous,p3_high,anti_cqi_hard,train,37,0,0.0017322487901731216,0
7,history_cost_quality,12,72,0.28,7,10,3,0.01669571050470668,0.006623566633252082,2,2,2,2,0.13780409092873291,0.028052540678221716,-0.04776180999648205,-0.014428476663148837,0.07581435067470377,0.04248101734137055,0.5151515151515151,0.4696969696969697,0.4696969696969697,0.6849882690127512,0.6569357283345295,0.6091739183380475,0.6425072516713807,0.5471841780840183,bench_d1_h3_p3_dense_hard,Dense-CQI hard stress showcase,d1_dense,h3_strong_heterogeneous,p3_high,anti_cqi_hard,train,37,1,0.12138368867514117,1
0,history_cost_quality,12,72,0.28,8,9,1,0.012119049806709158,0.007400974573013457,2,2,2,2,0.09532307358736247,0.0,-0.05924790885280784,0.0,0.05924790885280784,0.0,1.0,0.8333333333333334,1.0,0.6508405850047141,0.6508405850047141,0.5915926761519062,0.6508405850047141,0.5555175114173516,bench_d1_h3_p3_dense_hard,Dense-CQI hard stress showcase,d1_dense,h3_strong_heterogeneous,p3_high,anti_cqi_hard,test,1037,0,0.04988182916558527,0
1,history_cost_quality,12,72,0.28,8,10,2,0.01260222451470762,0.009021097956087902,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.7207447783169405,0.7207447783169405,0.7207447783169405,0.7207447783169405,0.7207447783169405,bench_d1_h3_p3_dense_hard,Dense-CQI hard stress showcase,d1_dense,h3_strong_heterogeneous,p3_high,anti_cqi_hard,test,1037,0,0.0027063293868263704,0
