scenario_index,feature_mode,users,rbs,rb_budget_ratio,cqi_min,cqi_max,cqi_span,mean_cost_std,max_same_cqi_cost_std,teacher_groups,cqi_groups,resource_groups,multifeature_groups,teacher_gain_vs_no_grouping,teacher_gain_vs_cqi,resource_gain_vs_cqi,multifeature_gain_vs_cqi,resource_gap_vs_teacher,multifeature_gap_vs_teacher,cqi_pairwise_vs_teacher,resource_pairwise_vs_teacher,multifeature_pairwise_vs_teacher,teacher_utility,cqi_utility,resource_utility,multifeature_utility,no_grouping_utility,split,seed,accepted,acceptance_score,selected
0,history_cost_quality,12,72,0.4166666666666667,8,13,5,0.01640794814608856,0.005986157657863775,2,2,2,2,0.009397138754098311,0.0093971387540982,0.0,0.0,0.0093971387540982,0.0093971387540982,0.696969696969697,0.5909090909090909,0.5909090909090909,0.8468085837377055,0.8374114449836073,0.8374114449836073,0.8374114449836073,0.8374114449836072,train,13,0,0.12323871737697333,0
1,history_cost_quality,12,72,0.4166666666666667,9,12,3,0.006441283895472226,0.0028870813169551983,2,1,2,2,0.007269527912568519,0.007269527912568519,0.002423175970856173,0.007269527912568519,0.004846351941712346,0.0,0.5909090909090909,0.696969696969697,1.0,0.8989361945792352,0.8916666666666667,0.8940898426375229,0.8989361945792352,0.8916666666666667,train,13,0,0.08536339696803885,0
2,history_cost_quality,12,72,0.4166666666666667,9,13,4,0.008787069424328994,0.002314814814814818,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8707447783169405,0.8707447783169405,0.8707447783169405,0.8707447783169405,0.8707447783169405,train,13,0,0.0808101851851852,0
3,history_cost_quality,12,72,0.4166666666666667,7,13,6,0.021392912157462193,0.005787037037037042,2,1,1,1,0.011820314724954373,0.011820314724954373,0.0,0.0,0.011820314724954373,0.011820314724954373,0.696969696969697,0.696969696969697,0.696969696969697,0.8492317597085616,0.8374114449836072,0.8374114449836072,0.8374114449836072,0.8374114449836072,train,13,1,0.1486211710941103,0
4,history_cost_quality,12,72,0.4166666666666667,7,14,7,0.018706447411112125,0.0,2,2,1,2,0.012115879854280864,0.0,-0.012115879854280864,0.0,0.012115879854280864,0.0,1.0,0.4696969696969697,1.0,0.9204492131876142,0.9204492131876142,0.9083333333333333,0.9204492131876142,0.9083333333333333,train,13,0,0.1454521459344264,0
5,history_cost_quality,12,72,0.4166666666666667,9,13,4,0.012138991298265648,0.0056701151453314325,2,2,2,2,0.016962231795992988,0.0,-0.002423175970856062,0.0,0.002423175970856062,0.0,1.0,0.8333333333333334,1.0,0.9002955651293264,0.9002955651293264,0.8978723891584703,0.9002955651293264,0.8833333333333334,train,13,0,0.08961754460906285,0
6,history_cost_quality,12,72,0.4166666666666667,7,12,5,0.018518518518518517,0.005774162633910405,1,2,1,2,1.1102230246251565e-16,0.0,-1.1102230246251565e-16,0.0,1.1102230246251565e-16,0.0,0.4696969696969697,1.0,0.4696969696969697,0.8540781116502739,0.8540781116502739,0.8540781116502738,0.8540781116502739,0.8540781116502738,train,13,0,0.1020209569218687,0
7,history_cost_quality,12,72,0.4166666666666667,7,12,5,0.016124281768899705,0.007638499179484298,2,1,1,1,0.00756509304189501,0.00756509304189501,0.0,0.0,0.00756509304189501,0.00756509304189501,0.696969696969697,0.696969696969697,0.696969696969697,0.8658984263752284,0.8583333333333334,0.8583333333333334,0.8583333333333334,0.8583333333333334,train,13,0,0.11969493405708329,0
8,history_cost_quality,12,72,0.4166666666666667,8,13,5,0.016240405231365114,0.005787037037037035,2,1,1,2,0.014243490695810546,0.014243490695810546,0.0,0.0021276108415297923,0.014243490695810546,0.012115879854280753,0.8333333333333334,0.8333333333333334,0.4696969696969697,0.8683216023460845,0.8540781116502739,0.8540781116502739,0.8562057224918037,0.8540781116502739,train,13,1,0.13577540570176053,0
9,history_cost_quality,12,72,0.4166666666666667,6,13,7,0.025319343378904024,0.0034722222222222272,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8707447783169405,0.8707447783169405,0.8707447783169405,0.8707447783169405,0.8707447783169405,train,13,0,0.1412152777777778,0
10,history_cost_quality,12,72,0.4166666666666667,8,12,4,0.015589236620536155,0.008101851851851853,2,2,1,1,0.00029556512932638057,0.0,-0.00029556512932638057,-0.00029556512932638057,0.00029556512932638057,0.00029556512932638057,0.696969696969697,0.4696969696969697,0.4696969696969697,0.8836288984626597,0.8836288984626597,0.8833333333333333,0.8833333333333333,0.8833333333333333,train,13,0,0.08296865245634502,0
11,history_cost_quality,12,72,0.4166666666666667,7,12,5,0.018641686273922365,0.0047564922862414925,2,1,1,1,0.004550786812385854,0.004550786812385854,0.0,0.0,0.004550786812385854,0.004550786812385854,0.4696969696969697,0.4696969696969697,0.4696969696969697,0.8669622317959931,0.8624114449836072,0.8624114449836072,0.8624114449836072,0.8624114449836072,train,13,0,0.1119040426280527,0
