dispersion,metric,method,mean,pct_of_best
low,utility,No grouping,0.9317688888888892,98.81508965197075
low,utility,CQI k-means,0.9407582255605064,99.76841844380974
low,utility,Resource-cost k-means,0.9328525925208491,98.93001758402049
low,utility,Multi-feature k-means,0.9429419050983031,100.0
low,utility,Offline teacher,0.9336959410251192,99.01945559708474
low,utility,LE-GRA MVP,0.9332917239734377,98.97658794537726
low,adr_kbps,No grouping,7500.0,100.0
low,adr_kbps,CQI k-means,6974.454444444445,92.99272592592592
low,adr_kbps,Resource-cost k-means,7436.55888888889,99.15411851851853
low,adr_kbps,Multi-feature k-means,6828.872222222221,91.05162962962962
low,adr_kbps,Offline teacher,7374.086666666667,98.32115555555556
low,adr_kbps,LE-GRA MVP,7409.983333333334,98.79977777777779
low,served_ratio,No grouping,1.0,100.0
low,served_ratio,CQI k-means,1.0,100.0
low,served_ratio,Resource-cost k-means,1.0,100.0
low,served_ratio,Multi-feature k-means,1.0,100.0
low,served_ratio,Offline teacher,1.0,100.0
low,served_ratio,LE-GRA MVP,1.0,100.0
low,average_quality,No grouping,5.0,100.0
low,average_quality,CQI k-means,4.690855555555555,93.8171111111111
low,average_quality,Resource-cost k-means,4.96268888888889,99.2537777777778
low,average_quality,Multi-feature k-means,4.605622222222222,92.11244444444444
low,average_quality,Offline teacher,4.925933333333333,98.51866666666666
low,average_quality,LE-GRA MVP,4.947077777777778,98.94155555555557
low,system_spectral_efficiency,No grouping,250.0,100.0
low,system_spectral_efficiency,CQI k-means,232.4818148148148,92.99272592592592
low,system_spectral_efficiency,Resource-cost k-means,247.8852962962963,99.15411851851852
low,system_spectral_efficiency,Multi-feature k-means,227.62907407407405,91.05162962962963
low,system_spectral_efficiency,Offline teacher,245.8028888888889,98.32115555555556
low,system_spectral_efficiency,LE-GRA MVP,246.99944444444444,98.79977777777778
mid_v2,utility,No grouping,0.6701715276668223,86.44776252004876
mid_v2,utility,CQI k-means,0.7054539577654928,90.99896622295576
mid_v2,utility,Resource-cost k-means,0.7358854228389937,94.92442702993746
mid_v2,utility,Multi-feature k-means,0.7281491775578431,93.92650177162324
mid_v2,utility,Offline teacher,0.7752329362039854,100.0
mid_v2,utility,LE-GRA MVP,0.7299424148825886,94.15781770790508
mid_v2,adr_kbps,No grouping,2923.4166666666665,60.313255506006556
mid_v2,adr_kbps,CQI k-means,3665.425,75.62169193458709
mid_v2,adr_kbps,Resource-cost k-means,4502.9911111111105,92.90158892587583
mid_v2,adr_kbps,Multi-feature k-means,3995.5527777777784,82.43258592646005
mid_v2,adr_kbps,Offline teacher,4847.055,100.0
mid_v2,adr_kbps,LE-GRA MVP,4661.107777777778,96.16370719494162
mid_v2,served_ratio,No grouping,1.0,100.0
mid_v2,served_ratio,CQI k-means,1.0,100.0
mid_v2,served_ratio,Resource-cost k-means,0.9997444444444444,99.97444444444444
mid_v2,served_ratio,Multi-feature k-means,0.9999555555555556,99.99555555555555
mid_v2,served_ratio,Offline teacher,0.9980222222222221,99.80222222222221
mid_v2,served_ratio,LE-GRA MVP,1.0,100.0
mid_v2,average_quality,No grouping,2.9483333333333333,83.40130086537086
mid_v2,average_quality,CQI k-means,3.0625666666666667,86.63268874627109
mid_v2,average_quality,Resource-cost k-means,3.343616838194436,94.5829261393242
mid_v2,average_quality,Multi-feature k-means,3.2007524981357194,90.54163553169174
mid_v2,average_quality,Offline teacher,3.5351167220912187,100.0
mid_v2,average_quality,LE-GRA MVP,3.376711111111111,95.51908399543872
mid_v2,system_spectral_efficiency,No grouping,97.44722222222222,60.31325550600657
mid_v2,system_spectral_efficiency,CQI k-means,122.18083333333334,75.62169193458709
mid_v2,system_spectral_efficiency,Resource-cost k-means,150.0997037037037,92.90158892587584
mid_v2,system_spectral_efficiency,Multi-feature k-means,133.1850925925926,82.43258592646005
mid_v2,system_spectral_efficiency,Offline teacher,161.5685,100.0
mid_v2,system_spectral_efficiency,LE-GRA MVP,155.37025925925929,96.16370719494164
high,utility,No grouping,0.12289195534308069,27.95382245482518
high,utility,CQI k-means,0.3755688029539793,85.42938069491683
high,utility,Resource-cost k-means,0.3210178883126061,73.02086641604359
high,utility,Multi-feature k-means,0.35835620785197725,81.51408920065344
high,utility,Offline teacher,0.4396248689841271,100.0
high,utility,LE-GRA MVP,0.36802150814005624,83.71262276187198
high,adr_kbps,No grouping,550.0,27.783749256995193
high,adr_kbps,CQI k-means,1979.5744444444442,100.0
high,adr_kbps,Resource-cost k-means,1340.3333333333333,67.70815500750162
high,adr_kbps,Multi-feature k-means,1759.265,88.87086843019573
high,adr_kbps,Offline teacher,1877.6344444444446,94.8504083649853
high,adr_kbps,LE-GRA MVP,1706.6172222222224,86.21131814525795
high,served_ratio,No grouping,1.0,100.0
high,served_ratio,CQI k-means,1.0,100.0
high,served_ratio,Resource-cost k-means,0.9913777777777777,99.13777777777777
high,served_ratio,Multi-feature k-means,0.9964888888888889,99.64888888888889
high,served_ratio,Offline teacher,0.9994,99.94
high,served_ratio,LE-GRA MVP,1.0,100.0
high,average_quality,No grouping,1.0,51.14606846573979
high,average_quality,CQI k-means,1.7932000000000001,91.7151299727646
high,average_quality,Resource-cost k-means,1.614552832090419,82.57802969165064
high,average_quality,Multi-feature k-means,1.7754777971416578,90.80870897200809
high,average_quality,Offline teacher,1.955184494131451,100.0
high,average_quality,LE-GRA MVP,1.7483777777777778,89.4226495262002
high,system_spectral_efficiency,No grouping,18.333333333333332,27.78374925699519
high,system_spectral_efficiency,CQI k-means,65.98581481481482,100.0
high,system_spectral_efficiency,Resource-cost k-means,44.67777777777778,67.70815500750162
high,system_spectral_efficiency,Multi-feature k-means,58.64216666666667,88.87086843019571
high,system_spectral_efficiency,Offline teacher,62.58781481481481,94.85040836498528
high,system_spectral_efficiency,LE-GRA MVP,56.887240740740744,86.21131814525793
