dispersion,seed,scenario_index,method,utility,adr_kbps,served_ratio,average_quality,system_spectral_efficiency
low,1,0,No grouping,0.9326666666666669,7500.0,1.0,5.0,250.0
low,1,0,CQI k-means,0.9522459285111842,6355.333333333333,1.0,4.326666666666667,211.84444444444443
low,1,0,Resource-cost k-means,0.9326666666666669,7500.0,1.0,5.0,250.0
low,1,0,Multi-feature k-means,0.9450969728477964,6695.333333333333,1.0,4.526666666666666,223.17777777777778
low,1,0,Offline teacher,0.9332482288996723,7466.0,1.0,4.98,248.86666666666667
low,1,1,No grouping,0.9360000000000003,7500.0,1.0,5.0,250.0
low,1,1,CQI k-means,0.9423971845630603,7126.0,1.0,4.78,237.53333333333333
low,1,1,Resource-cost k-means,0.9375508326213481,7409.333333333333,1.0,4.946666666666666,246.9777777777778
low,1,1,Multi-feature k-means,0.9472435365047727,6842.666666666667,1.0,4.613333333333333,228.0888888888889
low,1,1,Offline teacher,0.9377446866990166,7398.0,1.0,4.94,246.6
low,1,2,No grouping,0.9313333333333337,7500.0,1.0,5.0,250.0
low,1,2,CQI k-means,0.9513003033331877,6332.666666666667,1.0,4.3133333333333335,211.0888888888889
low,1,2,Resource-cost k-means,0.9332718741100183,7386.666666666667,1.0,4.933333333333334,246.22222222222223
low,1,2,Multi-feature k-means,0.94335228614878,6797.333333333333,1.0,4.586666666666667,226.57777777777778
low,1,2,Offline teacher,0.9332718741100183,7386.666666666667,1.0,4.933333333333334,246.22222222222223
low,1,3,No grouping,0.9353333333333335,7500.0,1.0,5.0,250.0
low,1,3,CQI k-means,0.9425059342070676,7080.666666666667,1.0,4.753333333333333,236.0222222222222
low,1,3,Resource-cost k-means,0.9368841659546814,7409.333333333333,1.0,4.946666666666666,246.9777777777778
low,1,3,Multi-feature k-means,0.9428936423624047,7058.0,1.0,4.74,235.26666666666668
low,1,3,Offline teacher,0.9368841659546816,7409.333333333333,1.0,4.946666666666666,246.9777777777778
low,1,4,No grouping,0.9326666666666668,7500.0,1.0,5.0,250.0
low,1,4,CQI k-means,0.9404208297734065,7046.666666666667,1.0,4.733333333333333,234.88888888888889
low,1,4,Resource-cost k-means,0.9336359370550091,7443.333333333333,1.0,4.966666666666667,248.11111111111111
low,1,4,Multi-feature k-means,0.944879473559782,6786.0,1.0,4.58,226.2
low,1,4,Offline teacher,0.9342174992880149,7409.333333333333,1.0,4.946666666666666,246.9777777777778
low,1,5,No grouping,0.9340000000000002,7500.0,1.0,5.0,250.0
low,1,5,CQI k-means,0.9423357253397453,7012.666666666667,1.0,4.713333333333333,233.75555555555556
low,1,5,Resource-cost k-means,0.9361323948543535,7375.333333333333,1.0,4.926666666666667,245.84444444444443
low,1,5,Multi-feature k-means,0.9448558283494356,6865.333333333333,1.0,4.626666666666667,228.84444444444443
low,1,5,Offline teacher,0.9365201030096906,7352.666666666667,1.0,4.913333333333333,245.0888888888889
low,1,6,No grouping,0.9220000000000003,7500.0,1.0,5.0,250.0
low,1,6,CQI k-means,0.9330496824271042,6854.0,1.0,4.62,228.46666666666667
low,1,6,Resource-cost k-means,0.9249078111650275,7330.0,1.0,4.9,244.33333333333334
low,1,6,Multi-feature k-means,0.9328558283494359,6865.333333333333,1.0,4.626666666666667,228.84444444444443
low,1,6,Offline teacher,0.9262884349190531,7171.333333333333,1.0,4.806666666666667,239.04444444444445
low,1,7,No grouping,0.9340000000000002,7500.0,1.0,5.0,250.0
low,1,7,CQI k-means,0.9398156223300547,7160.0,1.0,4.8,238.66666666666666
low,1,7,Resource-cost k-means,0.9353569785436794,7420.666666666667,1.0,4.953333333333333,247.35555555555555
low,1,7,Multi-feature k-means,0.9439102031714394,6842.666666666667,1.0,4.613333333333333,228.0888888888889
low,1,7,Offline teacher,0.9365201030096906,7352.666666666667,1.0,4.913333333333333,245.0888888888889
low,1,8,No grouping,0.9306666666666669,7500.0,1.0,5.0,250.0
low,1,8,CQI k-means,0.9384208297734066,7046.666666666667,1.0,4.733333333333333,234.88888888888889
low,1,8,Resource-cost k-means,0.9324113533656834,7398.0,1.0,4.94,246.6
low,1,8,Multi-feature k-means,0.9409409327830969,6899.333333333333,1.0,4.6466666666666665,229.9777777777778
low,1,8,Offline teacher,0.9326052074433516,7386.666666666667,1.0,4.933333333333334,246.22222222222223
low,1,9,No grouping,0.9306666666666669,7500.0,1.0,5.0,250.0
low,1,9,CQI k-means,0.939002392006412,7012.666666666667,1.0,4.713333333333333,233.75555555555556
low,1,9,Resource-cost k-means,0.9310543748220038,7477.333333333333,1.0,4.986666666666666,249.24444444444444
low,1,9,Multi-feature k-means,0.9426856194821134,6797.333333333333,1.0,4.586666666666667,226.57777777777778
low,1,9,Offline teacher,0.9314420829773408,7454.666666666667,1.0,4.973333333333334,248.48888888888888
low,1,10,No grouping,0.9313333333333337,7500.0,1.0,5.0,250.0
low,1,10,CQI k-means,0.9383120801293994,7092.0,1.0,4.76,236.4
low,1,10,Resource-cost k-means,0.9324964577993444,7432.0,1.0,4.96,247.73333333333332
low,1,10,Multi-feature k-means,0.9414137453720951,6910.666666666667,1.0,4.653333333333333,230.35555555555555
low,1,10,Offline teacher,0.934652497864044,7228.0,1.0,4.84,240.93333333333334
low,1,11,No grouping,0.9306666666666669,7500.0,1.0,5.0,250.0
low,1,11,CQI k-means,0.9384208297734066,7046.666666666667,1.0,4.733333333333333,234.88888888888889
low,1,11,Resource-cost k-means,0.9306666666666669,7500.0,1.0,5.0,250.0
low,1,11,Multi-feature k-means,0.945787284724809,6616.0,1.0,4.48,220.53333333333333
low,1,11,Offline teacher,0.931900726763716,7194.0,1.0,4.82,239.8
low,1,12,No grouping,0.9333333333333336,7500.0,1.0,5.0,250.0
low,1,12,CQI k-means,0.9414752045954102,7024.0,1.0,4.72,234.13333333333333
low,1,12,Resource-cost k-means,0.9344964577993444,7432.0,1.0,4.96,247.73333333333332
low,1,12,Multi-feature k-means,0.9467329099028052,6638.666666666667,1.0,4.493333333333333,221.2888888888889
low,1,12,Offline teacher,0.9348841659546814,7409.333333333333,1.0,4.946666666666666,246.9777777777778
low,1,13,No grouping,0.932,7500.0,1.0,5.0,250.0
low,1,13,CQI k-means,0.9393664549514028,7069.333333333333,1.0,4.746666666666667,235.64444444444445
low,1,13,Resource-cost k-means,0.932,7500.0,1.0,5.0,250.0
