dispersion,metric,method,mean,pct_of_best
low,utility,No grouping,0.9319777777777779,98.79145333134976
low,utility,CQI k-means,0.9416672507599081,99.81855627387048
low,utility,Resource-cost k-means,0.9330232710355063,98.90227764587944
low,utility,Multi-feature k-means,0.9433789526831781,100.0
low,utility,Offline teacher,0.9338002828848284,98.98464241001925
low,adr_kbps,No grouping,7500.0,100.0
low,adr_kbps,CQI k-means,6933.522222222223,92.44696296296297
low,adr_kbps,Resource-cost k-means,7438.455555555555,99.17940740740741
low,adr_kbps,Multi-feature k-means,6815.172222222222,90.86896296296297
low,adr_kbps,Offline teacher,7376.56111111111,98.35414814814814
low,served_ratio,No grouping,1.0,100.0
low,served_ratio,CQI k-means,1.0,100.0
low,served_ratio,Resource-cost k-means,1.0,100.0
low,served_ratio,Multi-feature k-means,1.0,100.0
low,served_ratio,Offline teacher,1.0,100.0
low,average_quality,No grouping,5.0,100.0
low,average_quality,CQI k-means,4.666777777777778,93.33555555555556
low,average_quality,Resource-cost k-means,4.963833333333334,99.27666666666669
low,average_quality,Multi-feature k-means,4.597555555555556,91.95111111111112
low,average_quality,Offline teacher,4.927388888888888,98.54777777777777
low,system_spectral_efficiency,No grouping,250.0,100.0
low,system_spectral_efficiency,CQI k-means,231.11740740740743,92.44696296296297
low,system_spectral_efficiency,Resource-cost k-means,247.94851851851848,99.1794074074074
low,system_spectral_efficiency,Multi-feature k-means,227.1724074074074,90.86896296296297
low,system_spectral_efficiency,Offline teacher,245.88537037037034,98.35414814814814
mid_v2,utility,No grouping,0.6798356038663816,87.32216230788937
mid_v2,utility,CQI k-means,0.709065672127435,91.07664758410337
mid_v2,utility,Resource-cost k-means,0.7404045588735335,95.10200215427861
mid_v2,utility,Multi-feature k-means,0.7319531904868392,94.01645771119625
mid_v2,utility,Offline teacher,0.7785372990070356,100.0
mid_v2,adr_kbps,No grouping,2975.0,60.994882922287054
mid_v2,adr_kbps,CQI k-means,3703.3638888888886,75.92815019206839
mid_v2,adr_kbps,Resource-cost k-means,4533.325,92.94441264661411
mid_v2,adr_kbps,Multi-feature k-means,4038.55,82.800297285984
mid_v2,adr_kbps,Offline teacher,4877.458333333333,100.0
mid_v2,served_ratio,No grouping,1.0,100.0
mid_v2,served_ratio,CQI k-means,1.0,100.0
mid_v2,served_ratio,Resource-cost k-means,0.9998333333333334,99.98333333333333
mid_v2,served_ratio,Multi-feature k-means,1.0,100.0
mid_v2,served_ratio,Offline teacher,0.9982222222222222,99.82222222222222
mid_v2,average_quality,No grouping,2.9833333333333334,84.01747328324404
mid_v2,average_quality,CQI k-means,3.0791666666666666,86.71635859820857
mid_v2,average_quality,Resource-cost k-means,3.364098639455783,94.74069303776777
mid_v2,average_quality,Multi-feature k-means,3.219888888888889,90.67941744041448
mid_v2,average_quality,Offline teacher,3.5508486708184694,100.0
mid_v2,system_spectral_efficiency,No grouping,99.16666666666667,60.994882922287054
mid_v2,system_spectral_efficiency,CQI k-means,123.44546296296296,75.92815019206839
mid_v2,system_spectral_efficiency,Resource-cost k-means,151.11083333333335,92.94441264661411
mid_v2,system_spectral_efficiency,Multi-feature k-means,134.61833333333334,82.80029728598399
mid_v2,system_spectral_efficiency,Offline teacher,162.58194444444445,100.0
high,utility,No grouping,0.12278528867641404,27.764897641843294
high,utility,CQI k-means,0.3745256626155941,84.6898419090739
high,utility,Resource-cost k-means,0.32783710244750597,74.13236301167714
high,utility,Multi-feature k-means,0.3572689084665433,80.7876479431376
high,utility,Offline teacher,0.4422320955772931,100.0
high,adr_kbps,No grouping,550.0,27.538017763412263
high,adr_kbps,CQI k-means,1997.2388888888888,100.0
high,adr_kbps,Resource-cost k-means,1356.7805555555558,67.9328127998932
high,adr_kbps,Multi-feature k-means,1733.725,86.80609063067624
high,adr_kbps,Offline teacher,1893.0,94.78085022934441
high,served_ratio,No grouping,1.0,100.0
high,served_ratio,CQI k-means,1.0,100.0
high,served_ratio,Resource-cost k-means,0.9921111111111112,99.21111111111112
high,served_ratio,Multi-feature k-means,0.9954999999999999,99.55
high,served_ratio,Offline teacher,0.9992777777777777,99.92777777777778
high,average_quality,No grouping,1.0,50.74319402092557
high,average_quality,CQI k-means,1.7958888888888889,91.12913832891336
high,average_quality,Resource-cost k-means,1.631540757677442,82.78958921987437
high,average_quality,Multi-feature k-means,1.7723573730110662,89.9350740531185
high,average_quality,Offline teacher,1.9707076373387493,100.0
high,system_spectral_efficiency,No grouping,18.333333333333332,27.53801776341226
high,system_spectral_efficiency,CQI k-means,66.57462962962964,100.0
high,system_spectral_efficiency,Resource-cost k-means,45.22601851851852,67.93281279989318
high,system_spectral_efficiency,Multi-feature k-means,57.79083333333333,86.80609063067622
high,system_spectral_efficiency,Offline teacher,63.1,94.78085022934438
