dispersion,seed,scenario_index,method,utility,adr_kbps,served_ratio,average_quality,system_spectral_efficiency
low,1,0,No grouping,0.9333333333333333,7500.0,1.0,5.0,500.0
low,1,0,CQI k-means,0.9406997882847361,7069.333333333333,1.0,4.746666666666667,471.2888888888889
low,1,0,Resource-cost k-means,0.934787238915847,7415.0,1.0,4.95,494.3333333333333
low,1,0,Multi-feature k-means,0.9452553591099456,6803.0,1.0,4.59,453.53333333333336
low,1,0,Offline teacher,0.9348841659546815,7409.333333333333,1.0,4.946666666666666,493.9555555555556
low,1,1,No grouping,0.9303333333333335,7500.0,1.0,5.0,500.0
low,1,1,CQI k-means,0.9374090071682334,7086.333333333333,1.0,4.756666666666667,472.4222222222222
low,1,1,Resource-cost k-means,0.9313995307605103,7437.666666666667,1.0,4.963333333333333,495.84444444444443
low,1,1,Multi-feature k-means,0.9426430672652824,6780.333333333333,1.0,4.576666666666667,452.02222222222224
low,1,1,Offline teacher,0.9315933848381788,7426.333333333333,1.0,4.956666666666667,495.0888888888889
low,1,2,No grouping,0.9303333333333335,7500.0,1.0,5.0,500.0
low,1,2,CQI k-means,0.9382813505177415,7035.333333333333,1.0,4.726666666666667,469.02222222222224
low,1,2,Resource-cost k-means,0.9303333333333335,7500.0,1.0,5.0,500.0
low,1,2,Multi-feature k-means,0.9414799427992716,6848.333333333333,1.0,4.616666666666666,456.55555555555554
low,1,2,Offline teacher,0.9318108841261932,7335.666666666667,1.0,4.903333333333333,489.0444444444444
low,1,3,No grouping,0.9300000000000002,7500.0,1.0,5.0,500.0
low,1,3,CQI k-means,0.9380449442232426,7029.666666666667,1.0,4.723333333333334,468.64444444444445
low,1,3,Resource-cost k-means,0.9300000000000002,7500.0,1.0,5.0,500.0
low,1,3,Multi-feature k-means,0.9400804120387617,6910.666666666667,1.0,4.653333333333333,460.7111111111111
low,1,3,Offline teacher,0.9317446866990166,7398.0,1.0,4.94,493.2
low,1,4,No grouping,0.9316666666666666,7500.0,1.0,5.0,500.0
low,1,4,CQI k-means,0.9386454134627326,7092.0,1.0,4.76,472.8
low,1,4,Resource-cost k-means,0.9326359370550091,7443.333333333333,1.0,4.966666666666667,496.22222222222223
low,1,4,Multi-feature k-means,0.9424255679772678,6871.0,1.0,4.63,458.06666666666666
low,1,4,Offline teacher,0.9326359370550091,7443.333333333333,1.0,4.966666666666667,496.22222222222223
low,1,5,No grouping,0.9296666666666668,7500.0,1.0,5.0,500.0
low,1,5,CQI k-means,0.9390685894335885,6950.333333333333,1.0,4.676666666666667,463.35555555555555
low,1,5,Resource-cost k-means,0.9314113533656833,7398.0,1.0,4.94,493.2
low,1,5,Multi-feature k-means,0.9422671817151187,6763.333333333333,1.0,4.566666666666666,450.8888888888889
low,1,5,Offline teacher,0.9316052074433516,7386.666666666667,1.0,4.933333333333334,492.44444444444446
low,1,6,No grouping,0.9316666666666669,7500.0,1.0,5.0,500.0
low,1,6,CQI k-means,0.9401962460840804,7001.333333333333,1.0,4.706666666666667,466.75555555555553
low,1,6,Resource-cost k-means,0.9316666666666669,7500.0,1.0,5.0,500.0
low,1,6,Multi-feature k-means,0.9439764005986159,6780.333333333333,1.0,4.576666666666667,452.02222222222224
low,1,6,Offline teacher,0.9329267181715121,7426.333333333333,1.0,4.956666666666667,495.0888888888889
low,1,7,No grouping,0.9323333333333335,7500.0,1.0,5.0,500.0
low,1,7,CQI k-means,0.9399905694012388,7052.333333333333,1.0,4.736666666666666,470.15555555555557
low,1,7,Resource-cost k-means,0.9331087496440074,7454.666666666667,1.0,4.973333333333334,496.97777777777776
low,1,7,Multi-feature k-means,0.9429953076051004,6876.666666666667,1.0,4.633333333333334,458.44444444444446
low,1,7,Offline teacher,0.9335933848381786,7426.333333333333,1.0,4.956666666666667,495.0888888888889
low,1,8,No grouping,0.9306666666666669,7500.0,1.0,5.0,500.0
low,1,8,CQI k-means,0.9385177568122409,7041.0,1.0,4.73,469.4
low,1,8,Resource-cost k-means,0.9306666666666669,7500.0,1.0,5.0,500.0
low,1,8,Multi-feature k-means,0.9427943691261207,6752.0,1.0,4.56,450.1333333333333
low,1,8,Offline teacher,0.9320236452103461,7420.666666666667,1.0,4.953333333333333,494.7111111111111
low,1,9,No grouping,0.9310000000000003,7500.0,1.0,5.0,500.0
low,1,9,CQI k-means,0.9394326523785793,7007.0,1.0,4.71,467.1333333333333
low,1,9,Resource-cost k-means,0.9310000000000003,7500.0,1.0,5.0,500.0
low,1,9,Multi-feature k-means,0.9435035880096178,6769.0,1.0,4.57,451.26666666666665
low,1,9,Offline teacher,0.9323688011488526,7381.0,1.0,4.93,492.06666666666666
low,2,0,No grouping,0.9323333333333335,7500.0,1.0,5.0,500.0
low,2,0,CQI k-means,0.9415414020225868,6961.666666666667,1.0,4.683333333333334,464.1111111111111
low,2,0,Resource-cost k-means,0.9323333333333335,7500.0,1.0,5.0,500.0
low,2,0,Multi-feature k-means,0.9432860887216031,6859.666666666667,1.0,4.623333333333333,457.31111111111113
low,2,0,Offline teacher,0.9341749470711841,7392.333333333333,1.0,4.9366666666666665,492.8222222222222
low,2,1,No grouping,0.932,7500.0,1.0,5.0,500.0
low,2,1,CQI k-means,0.940238798300911,7018.333333333333,1.0,4.716666666666667,467.8888888888889
low,2,1,Resource-cost k-means,0.9333569785436797,7420.666666666667,1.0,4.953333333333333,494.7111111111111
low,2,1,Multi-feature k-means,0.9423711931552644,6893.666666666667,1.0,4.6433333333333335,459.5777777777778
low,2,1,Offline teacher,0.9335508326213479,7409.333333333333,1.0,4.946666666666666,493.9555555555556
low,2,2,No grouping,0.9286666666666668,7500.0,1.0,5.0,500.0
low,2,2,CQI k-means,0.9375839542394173,6978.666666666667,1.0,4.693333333333333,465.24444444444447
low,2,2,Resource-cost k-means,0.9302174992880148,7409.333333333333,1.0,4.946666666666666,493.9555555555556
low,2,2,Multi-feature k-means,0.9404917654044448,6808.666666666667,1.0,4.593333333333334,453.9111111111111
low,2,2,Offline teacher,0.9302174992880146,7409.333333333333,1.0,4.946666666666666,493.9555555555556
low,2,3,No grouping,0.9303333333333336,7500.0,1.0,5.0,500.0
low,2,3,CQI k-means,0.9391536938672497,6984.333333333333,1.0,4.696666666666666,465.6222222222222
low,2,3,Resource-cost k-means,0.9323688011488527,7381.0,1.0,4.93,492.06666666666666
low,2,3,Multi-feature k-means,0.9404137453720951,6910.666666666667,1.0,4.653333333333333,460.7111111111111
low,2,3,Offline teacher,0.932562655226521,7369.666666666667,1.0,4.923333333333333,491.31111111111113
low,2,4,No grouping,0.9340000000000002,7500.0,1.0,5.0,500.0
low,2,4,CQI k-means,0.9417541631067395,7046.666666666667,1.0,4.733333333333333,469.77777777777777
low,2,4,Resource-cost k-means,0.935550832621348,7409.333333333333,1.0,4.946666666666666,493.9555555555556
low,2,4,Multi-feature k-means,0.9457281716989437,6814.333333333333,1.0,4.596666666666667,454.2888888888889
low,2,4,Offline teacher,0.935550832621348,7409.333333333333,1.0,4.946666666666666,493.9555555555556
low,2,5,No grouping,0.9310000000000003,7500.0,1.0,5.0,500.0
low,2,5,CQI k-means,0.9383664549514028,7069.333333333333,1.0,4.746666666666667,471.2888888888889
low,2,5,Resource-cost k-means,0.9310000000000003,7500.0,1.0,5.0,500.0
low,2,5,Multi-feature k-means,0.9387541631067399,7046.666666666667,1.0,4.733333333333333,469.77777777777777
low,2,5,Offline teacher,0.9335201030096902,7352.666666666667,1.0,4.913333333333333,490.1777777777778
low,2,6,No grouping,0.9310000000000003,7500.0,1.0,5.0,500.0
low,2,6,CQI k-means,0.9381726008737342,7080.666666666667,1.0,4.753333333333333,472.0444444444444
low,2,6,Resource-cost k-means,0.9314846351941716,7471.666666666667,1.0,4.983333333333333,498.1111111111111
low,2,6,Multi-feature k-means,0.9385603090290713,7058.0,1.0,4.74,470.53333333333336
low,2,6,Offline teacher,0.9326477596601823,7403.666666666667,1.0,4.943333333333333,493.5777777777778
low,2,7,No grouping,0.9263333333333335,7500.0,1.0,5.0,500.0
low,2,7,CQI k-means,0.9341844234789075,7041.0,1.0,4.73,469.4
low,2,7,Resource-cost k-means,0.9283688011488528,7381.0,1.0,4.93,492.06666666666666
