dispersion,seed,scenario_index,method,utility,adr_kbps,served_ratio,average_quality,system_spectral_efficiency
low,1,0,No grouping,0.938,7500.0,1.0,5.0,83.33333333333333
low,1,0,CQI k-means,0.95602842922317,6446.0,1.0,4.38,71.62222222222222
low,1,0,Resource-cost k-means,0.938,7500.0,1.0,5.0,83.33333333333333
low,1,0,Multi-feature k-means,0.9491206180581423,6616.0,1.0,4.48,73.5111111111111
low,1,0,Offline teacher,0.9409078111650274,7330.0,1.0,4.9,81.44444444444444
low,1,1,No grouping,0.936,7500.0,1.0,5.0,83.33333333333333
low,1,1,CQI k-means,0.944723433495082,6990.0,1.0,4.7,77.66666666666667
low,1,1,Resource-cost k-means,0.9365815622330055,7466.0,1.0,4.98,82.95555555555555
low,1,1,Multi-feature k-means,0.9453049957280877,6956.0,1.0,4.68,77.28888888888889
low,1,1,Offline teacher,0.938326248932022,7364.0,1.0,4.92,81.82222222222222
low,1,2,No grouping,0.93,7500.0,1.0,5.0,83.33333333333333
low,1,2,CQI k-means,0.9393049957280876,6956.0,1.0,4.68,77.28888888888889
low,1,2,Resource-cost k-means,0.9317446866990163,7398.0,1.0,4.94,82.2
low,1,2,Multi-feature k-means,0.9393049957280876,6956.0,1.0,4.68,77.28888888888889
low,1,2,Offline teacher,0.9376312446601095,6820.0,1.0,4.6,75.77777777777777
low,1,3,No grouping,0.9259999999999999,7500.0,1.0,5.0,83.33333333333333
low,1,3,CQI k-means,0.9353049957280877,6956.0,1.0,4.68,77.28888888888889
low,1,3,Resource-cost k-means,0.9277446866990162,7398.0,1.0,4.94,82.2
low,1,3,Multi-feature k-means,0.9353759313591258,6718.0,1.0,4.54,74.64444444444445
low,1,3,Offline teacher,0.9318156223300547,7160.0,1.0,4.8,79.55555555555556
low,1,4,No grouping,0.9359999999999999,7500.0,1.0,5.0,83.33333333333333
low,1,4,CQI k-means,0.9441418712620765,7024.0,1.0,4.72,78.04444444444445
low,1,4,Resource-cost k-means,0.9365815622330055,7466.0,1.0,4.98,82.95555555555555
low,1,4,Multi-feature k-means,0.9476312446601095,6820.0,1.0,4.6,75.77777777777777
low,1,4,Offline teacher,0.9365815622330057,7466.0,1.0,4.98,82.95555555555555
low,1,5,No grouping,0.93,7500.0,1.0,5.0,83.33333333333333
low,1,5,CQI k-means,0.9387234334950821,6990.0,1.0,4.7,77.66666666666667
