dispersion,metric,method,mean,pct_of_best
low,utility,No grouping,0.9316984635194171,98.76473508121234
low,utility,CQI k-means,0.9433513518294758,100.0
low,utility,Resource-cost k-means,0.9329338480343038,98.89569206902932
low,utility,Multi-feature k-means,0.9430051090165629,99.96329651595437
low,utility,Offline teacher,0.9351188319402608,99.12731138051062
low,adr_kbps,No grouping,7497.166666666667,100.0
low,adr_kbps,CQI k-means,6818.376666666667,90.94604628415179
low,adr_kbps,Resource-cost k-means,7424.183333333333,99.02652113020474
low,adr_kbps,Multi-feature k-means,6797.5,90.6675855323122
low,adr_kbps,Offline teacher,7256.276666666667,96.78691950292333
low,served_ratio,No grouping,1.0,100.0
low,served_ratio,CQI k-means,1.0,100.0
low,served_ratio,Resource-cost k-means,1.0,100.0
low,served_ratio,Multi-feature k-means,1.0,100.0
low,served_ratio,Offline teacher,1.0,100.0
low,average_quality,No grouping,4.998333333333333,100.0
low,average_quality,CQI k-means,4.599066666666666,92.01200400133378
low,average_quality,Resource-cost k-means,4.955466666666667,99.14238079359788
low,average_quality,Multi-feature k-means,4.5878000000000005,91.78659553184396
low,average_quality,Offline teacher,4.856633333333334,97.16505501833946
low,system_spectral_efficiency,No grouping,83.30185185185185,100.0
low,system_spectral_efficiency,CQI k-means,75.75974074074074,90.94604628415179
low,system_spectral_efficiency,Resource-cost k-means,82.49092592592592,99.02652113020474
low,system_spectral_efficiency,Multi-feature k-means,75.52777777777779,90.66758553231222
low,system_spectral_efficiency,Offline teacher,80.6252962962963,96.78691950292333
mid_v2,utility,No grouping,0.709465041460794,86.52503424136762
mid_v2,utility,CQI k-means,0.7690751099600739,93.79496710149922
mid_v2,utility,Resource-cost k-means,0.8010525145967541,97.69487177536712
mid_v2,utility,Multi-feature k-means,0.7754558124431694,94.57314568475552
mid_v2,utility,Offline teacher,0.8199534940161847,100.0
mid_v2,adr_kbps,No grouping,3482.1666666666665,65.28613657811026
mid_v2,adr_kbps,CQI k-means,4358.323333333334,81.71294473504948
mid_v2,adr_kbps,Resource-cost k-means,5011.388333333333,93.95707170132054
mid_v2,adr_kbps,Multi-feature k-means,4578.49,85.84078594596622
mid_v2,adr_kbps,Offline teacher,5333.7,100.0
mid_v2,served_ratio,No grouping,1.0,100.0
mid_v2,served_ratio,CQI k-means,1.0,100.0
mid_v2,served_ratio,Resource-cost k-means,0.9999333333333333,99.99333333333334
mid_v2,served_ratio,Multi-feature k-means,0.9999333333333333,99.99333333333334
mid_v2,served_ratio,Offline teacher,1.0,100.0
mid_v2,average_quality,No grouping,3.1683333333333334,83.85827466341998
mid_v2,average_quality,CQI k-means,3.421166666666667,90.55017380410426
mid_v2,average_quality,Resource-cost k-means,3.6341530612244894,96.18741890912311
mid_v2,average_quality,Multi-feature k-means,3.468496598639455,91.80288493566923
mid_v2,average_quality,Offline teacher,3.7782,100.0
mid_v2,system_spectral_efficiency,No grouping,38.69074074074074,65.28613657811026
mid_v2,system_spectral_efficiency,CQI k-means,48.425814814814814,81.71294473504946
mid_v2,system_spectral_efficiency,Resource-cost k-means,55.682092592592596,93.95707170132054
mid_v2,system_spectral_efficiency,Multi-feature k-means,50.87211111111111,85.84078594596622
mid_v2,system_spectral_efficiency,Offline teacher,59.263333333333335,100.0
high,utility,No grouping,0.13086698291848253,24.806999445513558
high,utility,CQI k-means,0.4652955192987726,88.2009001188215
high,utility,Resource-cost k-means,0.46801442830839807,88.7162934807682
high,utility,Multi-feature k-means,0.4689883306434609,88.90090532209824
high,utility,Offline teacher,0.5275405564704454,100.0
high,adr_kbps,No grouping,573.75,22.617433261325466
high,adr_kbps,CQI k-means,2322.7033333333334,91.56180850113267
high,adr_kbps,Resource-cost k-means,2014.9783333333332,79.43117730228059
high,adr_kbps,Multi-feature k-means,2192.9133333333334,86.44543958960774
high,adr_kbps,Offline teacher,2536.76,100.0
high,served_ratio,No grouping,1.0,100.0
high,served_ratio,CQI k-means,1.0,100.0
high,served_ratio,Resource-cost k-means,0.9988666666666666,99.88666666666666
high,served_ratio,Multi-feature k-means,0.9987999999999999,99.88
high,served_ratio,Offline teacher,0.9999333333333333,99.99333333333334
high,average_quality,No grouping,1.025,44.12954742282564
high,average_quality,CQI k-means,2.0965333333333334,90.26250454328591
high,average_quality,Resource-cost k-means,2.1125118781478056,90.95043230049372
high,average_quality,Multi-feature k-means,2.1125177347180006,90.95068444468119
high,average_quality,Offline teacher,2.3227068027210884,100.0
high,system_spectral_efficiency,No grouping,6.375,22.61743326132547
high,system_spectral_efficiency,CQI k-means,25.807814814814815,91.56180850113267
high,system_spectral_efficiency,Resource-cost k-means,22.38864814814815,79.4311773022806
high,system_spectral_efficiency,Multi-feature k-means,24.365703703703705,86.44543958960774
high,system_spectral_efficiency,Offline teacher,28.186222222222224,100.0
