dispersion,seed,scenario_index,method,utility,adr_kbps,served_ratio,average_quality,system_spectral_efficiency,fairness
low,1,0,No grouping,0.9326666666666669,7500.0,1.0,5.0,250.0,1.0
low,1,0,CQI k-means,0.9522459285111842,6355.333333333333,1.0,4.326666666666667,211.84444444444443,0.9845056162308177
low,1,0,CQI k-means (k-means++),0.9522459285111842,6355.333333333333,1.0,4.326666666666667,211.84444444444443,0.9845056162308177
low,1,0,Resource-cost k-means,0.9326666666666669,7500.0,1.0,5.0,250.0,1.0
low,1,0,Resource-cost k-means (k-means++),0.9326666666666669,7500.0,1.0,5.0,250.0,1.0
low,1,0,Multi-feature k-means,0.9450969728477964,6695.333333333333,1.0,4.526666666666666,223.17777777777778,0.9841827095948249
low,1,0,Multi-feature k-means (k-means++),0.9452908269254646,6684.0,1.0,4.52,222.8,0.9841103856625518
low,1,0,CQI+resource-cost joint k-means (single clustering),0.9522459285111842,6355.333333333333,1.0,4.326666666666667,211.84444444444443,0.9845056162308177
low,1,0,"CQI+resource-cost hybrid (paper method, union)",0.9522459285111842,6355.333333333333,1.0,4.326666666666667,211.84444444444443,0.9845056162308177
low,1,0,CQI+cost+joint 3-way union,0.9522459285111842,6355.333333333333,1.0,4.326666666666667,211.84444444444443,0.9845056162308177
low,1,0,CQI+cost+joint+switching 4-way union,0.9522459285111842,6355.333333333333,1.0,4.326666666666667,211.84444444444443,0.9845056162308177
low,1,0,"Offline teacher (fast, cheap ceiling)",0.9332482288996723,7466.0,1.0,4.98,248.86666666666667,0.9989848345275262
low,1,1,No grouping,0.9360000000000003,7500.0,1.0,5.0,250.0,1.0
low,1,1,CQI k-means,0.9423971845630603,7126.0,1.0,4.78,237.53333333333333,0.9903283030201382
low,1,1,CQI k-means (k-means++),0.9423971845630603,7126.0,1.0,4.78,237.53333333333333,0.9903283030201382
low,1,1,Resource-cost k-means,0.9375508326213481,7409.333333333333,1.0,4.946666666666666,246.9777777777778,0.9973491654777217
low,1,1,Resource-cost k-means (k-means++),0.9375508326213481,7409.333333333333,1.0,4.946666666666666,246.9777777777778,0.9973491654777217
