dispersion,method,mean_utility,mean_adr_kbps,mean_diff_vs_cqi,win,tie,loss
low,No grouping,0.9317688888888892,7500.0,-0.008989336671617382,0,0,600
low,CQI k-means,0.9407582255605064,6974.454444444445,0.0,0,600,0
low,CQI k-means (k-means++),0.9405643714828379,6985.7877777777785,-0.0001938540776684857,0,590,10
low,Resource-cost k-means,0.9328525925208491,7436.55888888889,-0.007905633039657408,0,0,600
low,Resource-cost k-means (k-means++),0.9331914547288462,7416.832222222221,-0.007566770831660182,0,0,600
low,Multi-feature k-means,0.9429419050983031,6828.872222222221,0.0021836795377966085,512,4,84
low,Multi-feature k-means (k-means++),0.9427864628545429,6831.211111111112,0.0020282372940363023,506,6,88
low,CQI+resource-cost joint k-means (single clustering),0.9367139160918331,6881.427777777778,-0.004044309468673319,124,1,475
low,"CQI+resource-cost hybrid (paper method, union)",0.9405643714828379,6985.7877777777785,-0.0001938540776684857,0,590,10
low,CQI+cost+joint 3-way union,0.941379304457702,6817.806666666666,0.0006210788971954429,124,466,10
mid_v2,No grouping,0.6701715276668223,2923.4166666666665,-0.035282430098670416,0,79,521
mid_v2,CQI k-means,0.7054539577654928,3665.425,0.0,0,600,0
mid_v2,CQI k-means (k-means++),0.7056610561575726,3669.654444444445,0.0002070983920797705,42,505,53
mid_v2,Resource-cost k-means,0.7358854228389937,4502.9911111111105,0.030431465073500932,513,13,74
mid_v2,Resource-cost k-means (k-means++),0.73851075659118,4533.020555555555,0.03305679882568724,533,9,58
mid_v2,Multi-feature k-means,0.7281491775578431,3995.5527777777784,0.022695219792350414,462,21,117
mid_v2,Multi-feature k-means (k-means++),0.7289037146513245,4007.8588888888885,0.023449756885831792,462,20,118
mid_v2,CQI+resource-cost joint k-means (single clustering),0.7345607392953382,4650.760555555555,0.02910678152984542,447,23,130
mid_v2,"CQI+resource-cost hybrid (paper method, union)",0.7397155899969123,4498.631666666667,0.034261632231419537,533,57,10
mid_v2,CQI+cost+joint 3-way union,0.747698012986333,4688.685555555555,0.04224405522084023,550,43,7
high,No grouping,0.12289195534308069,550.0,-0.2526768476108986,0,0,600
high,CQI k-means,0.3755688029539793,1979.5744444444442,0.0,0,600,0
high,CQI k-means (k-means++),0.37953060408654105,1952.1683333333333,0.003961801132561735,109,410,81
high,Resource-cost k-means,0.3210178883126061,1340.3333333333333,-0.05455091464137318,141,1,458
high,Resource-cost k-means (k-means++),0.30055388991898724,1307.7505555555556,-0.07501491303499205,111,0,489
high,Multi-feature k-means,0.35835620785197725,1759.265,-0.017212595102002095,228,3,369
high,Multi-feature k-means (k-means++),0.3574600324719447,1764.4855555555557,-0.018108770482034575,229,3,368
high,CQI+resource-cost joint k-means (single clustering),0.3068961482199776,1639.6105555555557,-0.06867265473400172,95,5,500
high,"CQI+resource-cost hybrid (paper method, union)",0.385030342381414,1890.5327777777775,0.009461539427434646,192,331,77
high,CQI+cost+joint 3-way union,0.3868431905464269,1892.5188888888888,0.011274387592447603,223,302,75
