scenario_mode,load_level,seed,method,test_index,utility
aligned,light,9,No grouping,0,0.4601030583591543
aligned,light,9,No grouping,1,0.875
aligned,light,9,No grouping,2,0.9458333333333332
aligned,light,9,No grouping,3,0.45176972502582097
aligned,light,9,No grouping,4,0.9375
aligned,light,9,No grouping,5,0.43510305835915436
aligned,light,9,No grouping,6,0.11244639978752514
aligned,light,9,No grouping,7,0.9208333333333334
aligned,light,9,No grouping,8,0.41843639169248764
aligned,light,9,No grouping,9,0.44343639169248766
aligned,light,9,No grouping,10,0.8832447783169407
aligned,light,9,No grouping,11,0.48926972502582106
aligned,light,9,No grouping,12,0.16244639978752515
aligned,light,9,No grouping,13,0.44760305835915437
aligned,light,9,No grouping,14,0.9333333333333332
aligned,light,9,No grouping,15,0.4559363916924877
aligned,light,9,No grouping,16,0.9291666666666666
aligned,light,9,No grouping,17,0.7790781116502737
aligned,light,9,No grouping,18,0.9208333333333334
aligned,light,9,No grouping,19,0.8832447783169407
aligned,light,9,No grouping,20,0.9249999999999999
aligned,light,9,No grouping,21,0.44343639169248766
aligned,light,9,No grouping,22,0.8999114449836073
aligned,light,9,No grouping,23,0.11244639978752514
aligned,light,9,No grouping,24,0.8749114449836073
aligned,light,9,No grouping,25,0.43926972502582107
aligned,light,9,No grouping,26,0.9333333333333332
aligned,light,9,No grouping,27,0.42676972502582095
aligned,light,9,No grouping,28,0.9333333333333332
aligned,light,9,No grouping,29,0.9249999999999999
aligned,light,9,CQI k-means,0,0.7020020605677567
aligned,light,9,CQI k-means,1,0.8943854077668493
aligned,light,9,CQI k-means,2,0.9615839771438983
aligned,light,9,CQI k-means,3,0.6821348625129104
aligned,light,9,CQI k-means,4,0.9556738197814211
aligned,light,9,CQI k-means,5,0.6186745530350765
aligned,light,9,CQI k-means,6,0.68325351701792
aligned,light,9,CQI k-means,7,0.9438535050564668
aligned,light,9,CQI k-means,8,0.7805069199924018
aligned,light,9,CQI k-means,9,0.705447132140501
aligned,light,9,CQI k-means,10,0.8914303290856106
aligned,light,9,CQI k-means,11,0.651959680006473
aligned,light,9,CQI k-means,12,0.5767917853961614
aligned,light,9,CQI k-means,13,0.6071074409905373
aligned,light,9,CQI k-means,14,0.9527187411001826
aligned,light,9,CQI k-means,15,0.6851192929288418
aligned,light,9,CQI k-means,16,0.9497636624189439
aligned,light,9,CQI k-means,17,0.7790781116502737
aligned,light,9,CQI k-means,18,0.9438535050564668
aligned,light,9,CQI k-means,19,0.9033984263752283
aligned,light,9,CQI k-means,20,0.9468085837377055
aligned,light,9,CQI k-means,21,0.5991020444973127
aligned,light,9,CQI k-means,22,0.8999114449836073
aligned,light,9,CQI k-means,23,0.7042780439254052
aligned,light,9,CQI k-means,24,0.8749114449836073
aligned,light,9,CQI k-means,25,0.6841739183380474
aligned,light,9,CQI k-means,26,0.9515071531147545
