scenario_mode,load_level,rb_budget_ratio,seed,feature_mode,feature_label,method,utility,adr_kbps,used_spectral_efficiency,system_spectral_efficiency,served_ratio,unserved_ratio,average_quality,rb_utilization,avg_switching,fairness,avg_groups,kmax
aligned,light,0.5,9,history_only,CQI/history only,LE-GRA MVP,0.748763246151127,4718.645833333333,26.780488723238694,12.583055555555555,1.0,0.0,3.5229166666666663,0.6729999999999999,0.13125000000000003,0.8890735325416355,2.15,3
aligned,light,0.5,9,history_cost,+ resource-cost,LE-GRA MVP,0.7862055425348365,5162.604166666666,27.505415585951784,13.766944444444443,1.0,0.0,3.712500000000001,0.674,0.13,0.8943910053327558,2.3,3
aligned,light,0.5,9,full,full feature,LE-GRA MVP,0.7861163298183118,5265.208333333333,28.737827901938534,14.040555555555553,1.0,0.0,3.71875,0.671,0.1404166666666667,0.9098890848044328,2.15,3
aligned,light,0.5,17,history_only,CQI/history only,LE-GRA MVP,0.8388082400982972,6017.708333333332,36.091176877278016,16.04722222222222,1.0,0.0,4.170833333333333,0.575,0.13208333333333336,0.9206426810971624,2.3,3
aligned,light,0.5,17,history_cost,+ resource-cost,LE-GRA MVP,0.8389344315915211,5904.583333333334,33.87131353189982,15.745555555555555,1.0,0.0,4.116666666666666,0.5509999999999999,0.11874999999999998,0.9078495244571153,2.3,3
aligned,light,0.5,17,full,full feature,LE-GRA MVP,0.8448054823597756,5791.145833333334,34.587581891910816,15.443055555555555,1.0,0.0,4.058333333333334,0.567,0.10874999999999999,0.9195606999005719,2.3,3
aligned,light,0.5,23,history_only,CQI/history only,LE-GRA MVP,0.8355261176626103,5772.604166666666,30.37585130914787,15.393611111111113,1.0,0.0,4.066666666666666,0.623,0.10958333333333334,0.924990517982528,2.75,3
aligned,light,0.5,23,history_cost,+ resource-cost,LE-GRA MVP,0.8596977549465054,5979.166666666667,31.523827284517218,15.944444444444446,1.0,0.0,4.120833333333333,0.5980000000000001,0.09791666666666668,0.934387920900235,2.65,3
aligned,light,0.5,23,full,full feature,LE-GRA MVP,0.8492479240016397,5894.895833333334,30.21357277577588,15.719722222222222,1.0,0.0,4.070833333333334,0.596,0.09374999999999999,0.9202604207429506,2.6,3
aligned,medium,0.25,9,history_only,CQI/history only,LE-GRA MVP,0.6774824735420197,4359.583333333334,35.62389181488342,23.251111111111108,1.0,0.0,3.2375,0.776,0.135,0.8030045423179619,1.9,3
aligned,medium,0.25,9,history_cost,+ resource-cost,LE-GRA MVP,0.7229858400796616,4610.104166666667,37.05469552986,24.58722222222222,1.0,0.0,3.395833333333333,0.764,0.1125,0.8447216185095549,1.7,3
aligned,medium,0.25,9,full,full feature,LE-GRA MVP,0.7266934550686127,4473.020833333334,34.38239635925564,23.85611111111111,1.0,0.0,3.358333333333333,0.78,0.11000000000000001,0.8873058239980628,1.9,3
aligned,medium,0.25,17,history_only,CQI/history only,LE-GRA MVP,0.803322707641971,5667.604166666667,46.14033705582726,30.227222222222217,1.0,0.0,3.95,0.7400000000000001,0.11291666666666669,0.8901616874868846,1.8,3
aligned,medium,0.25,17,history_cost,+ resource-cost,LE-GRA MVP,0.8064271528867358,5598.125,41.04310169808554,29.856666666666662,1.0,0.0,3.9229166666666666,0.8020000000000002,0.11000000000000001,0.9015385052276657,1.9,3
aligned,medium,0.25,17,full,full feature,LE-GRA MVP,0.8064603428223597,5424.583333333334,42.57254511201123,28.931111111111115,1.0,0.0,3.820833333333333,0.764,0.09375000000000001,0.9052211068739464,1.95,3
aligned,medium,0.25,23,history_only,CQI/history only,LE-GRA MVP,0.8022987543138461,5575.416666666666,41.653602245651484,29.735555555555557,1.0,0.0,3.900000000000001,0.776,0.10291666666666668,0.8767633241664651,2.05,3
aligned,medium,0.25,23,history_cost,+ resource-cost,LE-GRA MVP,0.8175264364577032,5631.875000000001,39.33834516115854,30.03666666666667,1.0,0.0,3.94375,0.796,0.09333333333333334,0.9134271000672243,2.1,3
aligned,medium,0.25,23,full,full feature,LE-GRA MVP,0.8149030266570815,5427.291666666666,39.55494376721839,28.945555555555565,1.0,0.0,3.8791666666666673,0.8,0.08958333333333335,0.9337870308323813,2.25,3
aligned,heavy,0.1,9,history_only,CQI/history only,LE-GRA MVP,0.46414768572562953,2490.833333333333,42.538271604938274,33.21111111111111,1.0,0.0,2.2458333333333336,0.845,0.1825,0.8103888367380858,1.65,3
aligned,heavy,0.1,9,history_cost,+ resource-cost,LE-GRA MVP,0.48973249147921677,2488.0208333333335,43.15805776014109,33.17361111111111,1.0,0.0,2.302083333333333,0.8099999999999998,0.17124999999999999,0.8768206911143697,1.55,3
aligned,heavy,0.1,9,full,full feature,LE-GRA MVP,0.4850503815953225,2429.8958333333335,42.35791997354497,32.398611111111116,0.9979166666666668,0.0020833333333333316,2.296467391304348,0.7999999999999999,0.17291666666666666,0.9226232405653487,1.5,3
aligned,heavy,0.1,17,history_only,CQI/history only,LE-GRA MVP,0.6213115985958391,3490.3125,57.36786265432098,46.53750000000001,1.0,0.0,2.89375,0.805,0.14833333333333337,0.9433646642677518,1.2,3
aligned,heavy,0.1,17,history_cost,+ resource-cost,LE-GRA MVP,0.6307226411383968,3516.5625,57.55246913580246,46.8875,1.0,0.0,2.91875,0.8200000000000001,0.14333333333333337,0.9335347556400457,1.25,3
aligned,heavy,0.1,17,full,full feature,LE-GRA MVP,0.6338676058095826,3523.2291666666665,57.67993827160493,46.9763888888889,1.0,0.0,2.9270833333333335,0.8200000000000001,0.1416666666666667,0.9364696518291021,1.2,3
aligned,heavy,0.1,23,history_only,CQI/history only,LE-GRA MVP,0.6454289724438304,3832.0833333333335,61.470017636684304,51.09444444444445,1.0,0.0,3.0583333333333336,0.8350000000000002,0.14958333333333335,0.9125390915416084,1.2,3
aligned,heavy,0.1,23,history_cost,+ resource-cost,LE-GRA MVP,0.648085031376847,3774.2708333333335,60.842879188712516,50.32361111111111,1.0,0.0,3.0479166666666666,0.8300000000000001,0.15000000000000002,0.9260488618861025,1.4,3
aligned,heavy,0.1,23,full,full feature,LE-GRA MVP,0.6458378380422084,3798.229166666667,61.22127425044092,50.643055555555556,1.0,0.0,3.0479166666666666,0.825,0.15083333333333335,0.9140653860146953,1.3,3
ambiguous,light,0.5,9,history_only,CQI/history only,LE-GRA MVP,0.735642366806479,5399.583333333333,24.40027388599413,14.398888888888886,1.0,0.0,3.9041666666666672,0.767,0.21875,0.8715479672579203,2.35,3
ambiguous,light,0.5,9,history_cost,+ resource-cost,LE-GRA MVP,0.766465123246006,5973.958333333334,28.228657994996134,15.930555555555554,1.0,0.0,4.112499999999999,0.702,0.23125,0.8963076767538007,2.15,3
ambiguous,light,0.5,9,full,full feature,LE-GRA MVP,0.7650971905777413,5766.458333333334,26.65405101343307,15.37722222222222,1.0,0.0,4.022916666666667,0.727,0.21333333333333332,0.8907949398138969,2.4,3
ambiguous,light,0.5,17,history_only,CQI/history only,LE-GRA MVP,0.8174163296075087,6336.666666666667,37.04886101792669,16.897777777777776,1.0,0.0,4.385416666666666,0.591,0.19958333333333333,0.9271126517169026,2.15,3
ambiguous,light,0.5,17,history_cost,+ resource-cost,LE-GRA MVP,0.8287371116006856,6504.479166666666,34.66191448579066,17.345277777777778,1.0,0.0,4.43125,0.66,0.2029166666666667,0.9430173072529623,2.25,3
ambiguous,light,0.5,17,full,full feature,LE-GRA MVP,0.8258529049383826,6412.916666666666,35.068736973740975,17.101111111111113,1.0,0.0,4.416666666666666,0.607,0.2,0.932320205270339,2.2,3
ambiguous,light,0.5,23,history_only,CQI/history only,LE-GRA MVP,0.8273515712127726,6344.583333333334,36.20127340935322,16.91888888888889,1.0,0.0,4.404166666666667,0.6380000000000001,0.2004166666666667,0.9248702812052014,2.45,3
ambiguous,light,0.5,23,history_cost,+ resource-cost,LE-GRA MVP,0.8378769931039178,6495.520833333334,38.98156030686273,17.32138888888889,1.0,0.0,4.441666666666666,0.605,0.2045833333333334,0.9643487395966961,2.3,3
ambiguous,light,0.5,23,full,full feature,LE-GRA MVP,0.835950980159389,6567.083333333333,45.39679854899737,17.512222222222228,1.0,0.0,4.5125,0.5720000000000001,0.21041666666666664,0.9349787740688468,1.95,3
ambiguous,medium,0.25,9,history_only,CQI/history only,LE-GRA MVP,0.6716591142134345,5237.916666666667,39.579879285486705,27.935555555555556,1.0,0.0,3.7312500000000006,0.8180000000000002,0.23333333333333334,0.7817140243325488,1.7,3
ambiguous,medium,0.25,9,history_cost,+ resource-cost,LE-GRA MVP,0.6969156321094838,5241.250000000001,38.34020251176155,27.953333333333337,1.0,0.0,3.7937500000000006,0.7980000000000002,0.22083333333333338,0.8742648096152491,1.85,3
ambiguous,medium,0.25,9,full,full feature,LE-GRA MVP,0.696499467914253,5160.000000000001,37.22809512454636,27.52,1.0,0.0,3.743750000000001,0.8160000000000001,0.21749999999999997,0.8658235324500774,1.85,3
ambiguous,medium,0.25,17,history_only,CQI/history only,LE-GRA MVP,0.7865895750890782,6290.312500000001,55.30618909685087,33.54833333333333,1.0,0.0,4.327083333333333,0.714,0.20791666666666667,0.8910436706483418,1.4,3
ambiguous,medium,0.25,17,history_cost,+ resource-cost,LE-GRA MVP,0.7862822774773399,6154.583333333333,51.14682437612649,32.82444444444444,1.0,0.0,4.272916666666667,0.7180000000000001,0.19958333333333336,0.9153905201926641,1.5,3
ambiguous,medium,0.25,17,full,full feature,LE-GRA MVP,0.7856150462796416,6211.354166666666,52.50853956844046,33.127222222222215,1.0,0.0,4.3,0.7140000000000001,0.2033333333333333,0.916570695433732,1.5,3
ambiguous,medium,0.25,23,history_only,CQI/history only,LE-GRA MVP,0.7908948432366368,6393.958333333333,52.581592235379006,34.101111111111116,1.0,0.0,4.372916666666667,0.75,0.21333333333333332,0.8969654416889051,1.65,3
ambiguous,medium,0.25,23,history_cost,+ resource-cost,LE-GRA MVP,0.8012616810930456,6300.9375,49.744746701892126,33.605000000000004,1.0,0.0,4.375,0.7579999999999999,0.2145833333333333,0.952387646039257,1.7,3
ambiguous,medium,0.25,23,full,full feature,LE-GRA MVP,0.8006154853033844,6552.187499999999,55.48325286542165,34.94499999999999,1.0,0.0,4.464583333333334,0.72,0.215,0.9081646499910263,1.5,3
ambiguous,heavy,0.1,9,history_only,CQI/history only,LE-GRA MVP,0.458027297339837,2728.020833333333,43.157208994708995,36.37361111111112,0.9979166666666668,0.0020833333333333316,2.4217391304347826,0.8699999999999999,0.23958333333333334,0.8319675789971139,1.55,3
ambiguous,heavy,0.1,9,history_cost,+ resource-cost,LE-GRA MVP,0.4840965488619672,2746.354166666667,43.47557319223986,36.61805555555556,1.0,0.0,2.4833333333333334,0.86,0.2370833333333333,0.8748514150935612,1.45,3
ambiguous,heavy,0.1,9,full,full feature,LE-GRA MVP,0.480564808501028,2711.875,43.17156084656084,36.15833333333334,1.0,0.0,2.466666666666667,0.85,0.23958333333333334,0.8815732470252113,1.45,3
ambiguous,heavy,0.1,17,history_only,CQI/history only,LE-GRA MVP,0.599939736622975,3552.0833333333335,57.39752535273368,47.361111111111114,1.0,0.0,2.9375,0.835,0.21166666666666667,0.912414787652529,1.3,3
ambiguous,heavy,0.1,17,history_cost,+ resource-cost,LE-GRA MVP,0.6030483452261513,3591.5625,57.95026455026455,47.8875,1.0,0.0,2.95,0.835,0.20833333333333334,0.9030215624036894,1.3,3
