method,utility,adr_kbps,used_spectral_efficiency,system_spectral_efficiency,served_ratio,unserved_ratio,average_quality,rb_utilization,avg_switching,fairness,avg_groups,scenario_mode,load_level,rb_budget_ratio,kmax,seed
No grouping,0.7017816769079721,4195.0,39.02167518035979,11.186666666666667,1.0,0.0,3.3,0.49799999999999994,0.15916666666666668,1.0,1.0,aligned,light,0.5,3,9
CQI k-means,0.7927952904430889,5122.708333333333,30.199757593216464,13.660555555555556,1.0,0.0,3.7125,0.647,0.12083333333333335,0.8826862828871999,2.4,aligned,light,0.5,3,9
Resource-cost k-means,0.791834431486203,5277.5,34.30142715688402,14.073333333333334,1.0,0.0,3.7791666666666672,0.623,0.14083333333333337,0.900989610812962,2.15,aligned,light,0.5,3,9
Offline teacher,0.8031778773407936,5372.708333333333,22.3801813205928,14.327222222222224,1.0,0.0,3.797916666666667,0.7360000000000001,0.13625000000000004,0.9053064260381628,2.75,aligned,light,0.5,3,9
LE-GRA MVP,0.7844512542943975,5181.145833333334,27.474513228985053,13.81638888888889,1.0,0.0,3.71875,0.6890000000000001,0.14458333333333334,0.9165761248620543,2.1,aligned,light,0.5,3,9
No grouping,0.8020615874044473,5565.0,57.43080680408235,14.84,1.0,0.0,4.0,0.372,0.1504166666666667,1.0,1.0,aligned,light,0.5,3,17
CQI k-means,0.8508952672747343,5692.500000000001,34.48495970127955,15.180000000000001,1.0,0.0,4.010416666666667,0.546,0.09333333333333335,0.9244259743746237,2.3,aligned,light,0.5,3,17
Resource-cost k-means,0.8458563149383138,6154.583333333334,48.65419992385789,16.412222222222223,1.0,0.0,4.252083333333334,0.5229999999999999,0.14333333333333334,0.9343802842331279,1.95,aligned,light,0.5,3,17
Offline teacher,0.8552251527578436,5967.395833333334,26.789523191348867,15.913055555555555,1.0,0.0,4.145833333333334,0.662,0.11875000000000002,0.9394172780198321,2.85,aligned,light,0.5,3,17
LE-GRA MVP,0.8423993484128476,5809.999999999999,29.323805954365774,15.493333333333334,1.0,0.0,4.064583333333333,0.621,0.11083333333333334,0.9127562029247436,2.6,aligned,light,0.5,3,17
No grouping,0.7968786258356904,5575.0,60.62580681988577,14.866666666666669,1.0,0.0,4.0,0.3549999999999999,0.14875000000000002,1.0,1.0,aligned,light,0.5,3,23
CQI k-means,0.864426808955964,5810.0,32.00787872458164,15.493333333333334,1.0,0.0,4.064583333333333,0.5740000000000001,0.08083333333333334,0.933786178302069,2.65,aligned,light,0.5,3,23
Resource-cost k-means,0.8584872693386607,6370.0,50.92360294326365,16.986666666666665,1.0,0.0,4.366666666666667,0.507,0.14375000000000002,0.947515199198179,1.95,aligned,light,0.5,3,23
Offline teacher,0.86787108110407,5996.458333333334,28.128674664532547,15.990555555555556,1.0,0.0,4.158333333333333,0.635,0.10208333333333333,0.948234364277251,2.95,aligned,light,0.5,3,23
LE-GRA MVP,0.8487089580010855,5821.458333333334,28.597486600301245,15.523888888888887,1.0,0.0,4.047916666666667,0.605,0.09166666666666667,0.9267914250137513,2.8,aligned,light,0.5,3,23
No grouping,0.581581123754992,3787.5,39.649866215655685,20.2,1.0,0.0,2.9,0.536,0.1866666666666667,1.0,1.0,aligned,medium,0.25,3,9
