scenario_mode,load_level,rb_budget_ratio,seed,kmax,feature_mode,method,pairwise_accuracy,ari,nmi,teacher_groups,predicted_groups
aligned,light,0.5,9,3,history_cost,Multi-feature k-means,0.5507246376811594,0.04343451282911292,0.19001803863939187,3,3
aligned,light,0.5,9,3,history_cost,LE-GRA MVP,0.4855072463768116,-0.03797870649928495,0.015736205753039276,3,2
aligned,light,0.5,9,3,history_cost,Multi-feature k-means,0.6159420289855072,0.20270343925437403,0.40597532292602767,3,3
aligned,light,0.5,9,3,history_cost,LE-GRA MVP,0.8840579710144928,0.767076322590854,0.7241494426540054,3,2
aligned,light,0.5,9,3,history_cost,Multi-feature k-means,0.5398550724637681,0.033101621979476956,0.16779201891853548,3,3
aligned,light,0.5,9,3,history_cost,LE-GRA MVP,0.5579710144927537,-0.03029190380025704,0.05548114743899613,3,3
aligned,light,0.5,9,3,history_cost,Multi-feature k-means,0.8333333333333334,0.659679408138101,0.7245569711380728,3,3
aligned,light,0.5,9,3,history_cost,LE-GRA MVP,0.6884057971014492,0.37847604084838954,0.2797743342158761,3,2
aligned,light,0.5,9,3,history_cost,Multi-feature k-means,0.6304347826086957,0.22236340533672172,0.4361376154059492,3,3
aligned,light,0.5,9,3,history_cost,LE-GRA MVP,0.8478260869565217,0.7024793388429752,0.8040437347901577,3,2
aligned,light,0.5,9,3,history_cost,Multi-feature k-means,0.5978260869565217,0.19319498577899502,0.37849085028639035,2,3
aligned,light,0.5,9,3,history_cost,LE-GRA MVP,0.5181159420289855,0.036939867772064185,0.06232497478290656,2,3
aligned,light,0.5,9,3,history_cost,Multi-feature k-means,0.7391304347826086,0.46335403726708074,0.5245898230224497,3,3
aligned,light,0.5,9,3,history_cost,LE-GRA MVP,0.7246376811594203,0.4161331626120358,0.5194339997901186,3,3
aligned,light,0.5,9,3,history_cost,Multi-feature k-means,0.6811594202898551,0.3543516401722579,0.5307238646919051,3,3
aligned,light,0.5,9,3,history_cost,LE-GRA MVP,0.6666666666666666,0.33664245780866286,0.2344657079868095,3,2
aligned,light,0.5,9,3,history_cost,Multi-feature k-means,0.9166666666666666,0.0,0.0,2,1
aligned,light,0.5,9,3,history_cost,LE-GRA MVP,0.9166666666666666,0.0,0.0,2,1
aligned,light,0.5,9,3,history_cost,Multi-feature k-means,0.6014492753623188,0.17629822562265993,0.33828589766244893,3,3
aligned,light,0.5,9,3,history_cost,LE-GRA MVP,0.6739130434782609,0.3205317577548006,0.41327416652838284,3,3
aligned,light,0.5,9,3,history_cost,Multi-feature k-means,0.5615942028985508,0.12985930171964563,0.21957707938091706,3,2
aligned,light,0.5,9,3,history_cost,LE-GRA MVP,0.8333333333333334,0.600880226343917,0.48952386802782666,3,2
aligned,light,0.5,9,3,history_cost,Multi-feature k-means,0.6739130434782609,0.3452475090937846,0.5322735589718287,3,3
aligned,light,0.5,9,3,history_cost,LE-GRA MVP,0.8478260869565217,0.6915216349992016,0.7251757027253889,3,3
aligned,light,0.5,9,3,history_cost,Multi-feature k-means,0.4855072463768116,0.03081260200801226,0.2909838824789769,3,3
aligned,light,0.5,9,3,history_cost,LE-GRA MVP,0.5905797101449275,0.0,0.0,3,1
aligned,light,0.5,9,3,history_cost,Multi-feature k-means,1.0,1.0,1.0,2,2
