scenario_mode,load_level,rb_budget_ratio,seed,feature_mode,feature_label,method,utility,adr_kbps,used_spectral_efficiency,system_spectral_efficiency,served_ratio,unserved_ratio,average_quality,rb_utilization,avg_switching,fairness,avg_groups,kmax
aligned,light,0.5,9,history_only,CQI/history only,LE-GRA MVP,0.7867197705797089,5161.666666666667,26.62460958530331,13.764444444444445,1.0,0.0,3.68125,0.643,0.1204166666666667,0.8750745955396881,2.45,3
aligned,light,0.5,9,history_cost,+ resource-cost,LE-GRA MVP,0.7945740394286719,5246.5625,27.930592158534676,13.990833333333333,1.0,0.0,3.725,0.659,0.12416666666666669,0.9039954093680496,2.3,3
aligned,light,0.5,9,full,full feature,LE-GRA MVP,0.7952661740208076,5372.291666666666,30.145167751026502,14.326111111111112,1.0,0.0,3.7645833333333334,0.643,0.13625,0.9060424269024301,2.15,3
aligned,light,0.5,17,history_only,CQI/history only,LE-GRA MVP,0.8490462938085382,5739.791666666666,29.405895330809283,15.306111111111111,1.0,0.0,4.002083333333333,0.599,0.09416666666666666,0.9249874032125384,2.65,3
aligned,light,0.5,17,history_cost,+ resource-cost,LE-GRA MVP,0.851552075362141,5820.416666666667,33.0541666976747,15.52111111111111,1.0,0.0,4.058333333333333,0.562,0.10291666666666666,0.9226805659903189,2.35,3
aligned,light,0.5,17,full,full feature,LE-GRA MVP,0.850482122571958,5745.208333333334,32.87821182766036,15.320555555555554,1.0,0.0,4.020833333333334,0.561,0.09625000000000002,0.9214010058139583,2.35,3
aligned,light,0.5,23,history_only,CQI/history only,LE-GRA MVP,0.8631219834283372,5847.916666666666,33.755191953184195,15.594444444444443,1.0,0.0,4.075000000000001,0.558,0.08958333333333333,0.9360510629736949,2.4,3
aligned,light,0.5,23,history_cost,+ resource-cost,LE-GRA MVP,0.863107412204059,5996.354166666666,35.173903214516265,15.990277777777774,1.0,0.0,4.127083333333333,0.54,0.095,0.9373863171820357,2.35,3
aligned,light,0.5,23,full,full feature,LE-GRA MVP,0.8504287470187712,5799.166666666667,31.09719379639529,15.464444444444442,1.0,0.0,4.043749999999999,0.564,0.09500000000000001,0.9341778165316315,2.55,3
aligned,medium,0.25,9,history_only,CQI/history only,LE-GRA MVP,0.7281756596931214,4593.229166666666,31.95518960307004,24.497222222222227,1.0,0.0,3.366666666666667,0.842,0.09916666666666667,0.8291336423726161,2.05,3
