method,utility,adr_kbps,used_spectral_efficiency,system_spectral_efficiency,served_ratio,unserved_ratio,average_quality,rb_utilization,avg_switching,fairness,avg_groups,scenario_mode,load_level,rb_budget_ratio,kmax,seed
No grouping,0.7017816769079721,4195.0,39.02167518035979,11.186666666666667,1.0,0.0,3.3,0.49799999999999994,0.15916666666666668,1.0,1.0,aligned,light,0.5,3,9
CQI k-means,0.7861775128513493,4999.166666666666,27.940815442567676,13.33111111111111,1.0,0.0,3.6291666666666673,0.6380000000000001,0.10916666666666666,0.8697794542443612,2.35,aligned,light,0.5,3,9
Resource-cost k-means,0.7881148449207275,5183.4375,32.81895247540971,13.822500000000002,1.0,0.0,3.760416666666667,0.629,0.1404166666666667,0.9179021854914744,2.3,aligned,light,0.5,3,9
Multi-feature k-means,0.790186113829961,5148.645833333334,26.580735819853537,13.729722222222222,1.0,0.0,3.7416666666666663,0.6889999999999998,0.12833333333333335,0.8920680725221743,2.55,aligned,light,0.5,3,9
Offline teacher,0.8031778773407936,5372.708333333333,22.3801813205928,14.327222222222224,1.0,0.0,3.797916666666667,0.7360000000000001,0.13625000000000004,0.9053064260381628,2.75,aligned,light,0.5,3,9
LE-GRA MVP,0.7960795843133716,5283.4375,30.10420120917355,14.089166666666667,1.0,0.0,3.7375,0.6359999999999999,0.1266666666666667,0.8937856357083891,2.2,aligned,light,0.5,3,9
No grouping,0.8020615874044473,5565.0,57.43080680408235,14.84,1.0,0.0,4.0,0.372,0.1504166666666667,1.0,1.0,aligned,light,0.5,3,17
CQI k-means,0.8512654354919764,5627.083333333334,33.349154287768606,15.005555555555556,1.0,0.0,3.9666666666666663,0.5469999999999999,0.08291666666666667,0.9178897579351755,2.3,aligned,light,0.5,3,17
Resource-cost k-means,0.8421631665803494,6195.104166666666,48.23163135518216,16.52027777777778,1.0,0.0,4.285416666666667,0.536,0.15666666666666668,0.952048575429521,1.95,aligned,light,0.5,3,17
Multi-feature k-means,0.8503620450062657,5698.333333333334,30.020666454950636,15.195555555555558,1.0,0.0,4.025,0.613,0.09791666666666668,0.9359160759077806,2.6,aligned,light,0.5,3,17
Offline teacher,0.8552251527578436,5967.395833333334,26.789523191348867,15.913055555555555,1.0,0.0,4.145833333333334,0.662,0.11875000000000002,0.9394172780198321,2.85,aligned,light,0.5,3,17
LE-GRA MVP,0.8487272030980548,5707.395833333334,30.833392895300342,15.21972222222222,1.0,0.0,4.008333333333333,0.583,0.09875000000000002,0.9379819605344188,2.45,aligned,light,0.5,3,17
No grouping,0.7968786258356904,5575.0,60.62580681988577,14.866666666666669,1.0,0.0,4.0,0.3549999999999999,0.14875000000000002,1.0,1.0,aligned,light,0.5,3,23
CQI k-means,0.8637380584900184,5853.229166666666,34.38411813644025,15.608611111111108,1.0,0.0,4.083333333333334,0.5790000000000001,0.08541666666666667,0.9295304153682498,2.4,aligned,light,0.5,3,23
Resource-cost k-means,0.8597867288621668,6381.562500000001,50.77865186098002,17.017500000000002,1.0,0.0,4.379166666666666,0.516,0.14625,0.9495562580055872,2.0,aligned,light,0.5,3,23
Multi-feature k-means,0.8640132073124607,5778.125,31.8350446798293,15.408333333333335,1.0,0.0,4.0625,0.579,0.08208333333333333,0.938556633110035,2.65,aligned,light,0.5,3,23
Offline teacher,0.86787108110407,5996.458333333334,28.128674664532547,15.990555555555556,1.0,0.0,4.158333333333333,0.635,0.10208333333333333,0.948234364277251,2.95,aligned,light,0.5,3,23
