scenario_mode,load_level,rb_budget_ratio,seed,kmax,feature_mode,method,pairwise_accuracy,ari,nmi,teacher_groups,predicted_groups
aligned,light,0.5,9,3,history_cost,Multi-feature k-means,0.5507246376811594,0.04343451282911292,0.19001803863939187,3,3
aligned,light,0.5,9,3,history_cost,LE-GRA MVP,0.4855072463768116,-0.03797870649928495,0.015736205753039276,3,2
aligned,light,0.5,9,3,history_cost,Multi-feature k-means,0.6159420289855072,0.20270343925437403,0.40597532292602767,3,3
aligned,light,0.5,9,3,history_cost,LE-GRA MVP,0.8695652173913043,0.7292200359731836,0.7713321143335014,3,3
aligned,light,0.5,9,3,history_cost,Multi-feature k-means,0.5398550724637681,0.033101621979476956,0.16779201891853548,3,3
aligned,light,0.5,9,3,history_cost,LE-GRA MVP,0.5507246376811594,0.014342491791947444,0.06777707945649698,3,3
aligned,light,0.5,9,3,history_cost,Multi-feature k-means,0.8333333333333334,0.659679408138101,0.7245569711380728,3,3
aligned,light,0.5,9,3,history_cost,LE-GRA MVP,0.6086956521739131,0.2664993355972242,0.26677743621116773,3,2
aligned,light,0.5,9,3,history_cost,Multi-feature k-means,0.6304347826086957,0.22236340533672172,0.4361376154059492,3,3
aligned,light,0.5,9,3,history_cost,LE-GRA MVP,1.0,1.0,0.9999999999999998,3,3
aligned,light,0.5,9,3,history_cost,Multi-feature k-means,0.5978260869565217,0.19319498577899502,0.37849085028639035,2,3
aligned,light,0.5,9,3,history_cost,LE-GRA MVP,0.5652173913043478,0.1280539174389216,0.25427300022466076,2,3
aligned,light,0.5,9,3,history_cost,Multi-feature k-means,0.7391304347826086,0.46335403726708074,0.5245898230224497,3,3
aligned,light,0.5,9,3,history_cost,LE-GRA MVP,0.822463768115942,0.6491646778042959,0.6655654167765848,3,2
aligned,light,0.5,9,3,history_cost,Multi-feature k-means,0.6811594202898551,0.3543516401722579,0.5307238646919051,3,3
aligned,light,0.5,9,3,history_cost,LE-GRA MVP,0.6666666666666666,0.346207322725166,0.4162963591559931,3,2
aligned,light,0.5,9,3,history_cost,Multi-feature k-means,0.9166666666666666,0.0,0.0,2,1
aligned,light,0.5,9,3,history_cost,LE-GRA MVP,0.9166666666666666,0.0,0.0,2,1
aligned,light,0.5,9,3,history_cost,Multi-feature k-means,0.6014492753623188,0.17629822562265993,0.33828589766244893,3,3
aligned,light,0.5,9,3,history_cost,LE-GRA MVP,0.7717391304347826,0.554016620498615,0.5467929912532987,3,2
aligned,light,0.5,9,3,history_cost,Multi-feature k-means,0.5615942028985508,0.12985930171964563,0.21957707938091706,3,2
aligned,light,0.5,9,3,history_cost,LE-GRA MVP,0.9094202898550725,0.7670492910195813,0.6242247943903902,3,2
aligned,light,0.5,9,3,history_cost,Multi-feature k-means,0.6739130434782609,0.3452475090937846,0.5322735589718287,3,3
aligned,light,0.5,9,3,history_cost,LE-GRA MVP,0.8478260869565217,0.6915216349992016,0.7251757027253889,3,3
aligned,light,0.5,9,3,history_cost,Multi-feature k-means,0.4855072463768116,0.03081260200801226,0.2909838824789769,3,3
aligned,light,0.5,9,3,history_cost,LE-GRA MVP,0.5905797101449275,0.0,0.0,3,1
aligned,light,0.5,9,3,history_cost,Multi-feature k-means,1.0,1.0,1.0,2,2
aligned,light,0.5,9,3,history_cost,LE-GRA MVP,1.0,1.0,1.0,2,2
