method,utility,adr_kbps,used_spectral_efficiency,system_spectral_efficiency,served_ratio,unserved_ratio,average_quality,rb_utilization,avg_switching,fairness,avg_groups,selected_epoch,selection_validation_loss,scenario_mode,load_level,rb_budget_ratio,kmax,seed
No grouping,0.6898701289261754,5015.0,38.74544050090796,13.373333333333335,1.0,0.0,3.75,0.562,0.2579166666666667,1.0,1.0,12,0.21973200158612133,ambiguous,light,0.5,3,9
CQI k-means,0.7578399471387867,5618.541666666666,27.71721368056393,14.982777777777775,1.0,0.0,3.95625,0.7030000000000001,0.20916666666666667,0.8845142950062236,2.5,12,0.21973200158612133,ambiguous,light,0.5,3,9
Resource-cost k-means,0.7817413026969731,6104.374999999999,32.058043106819746,16.278333333333332,1.0,0.0,4.220833333333334,0.732,0.23625000000000002,0.9048500865161475,2.3,12,0.21973200158612133,ambiguous,light,0.5,3,9
Multi-feature k-means,0.7632711579157909,5689.791666666667,28.711095946703853,15.172777777777776,1.0,0.0,4.031249999999999,0.688,0.21166666666666667,0.8827012817426991,2.45,12,0.21973200158612133,ambiguous,light,0.5,3,9
Offline teacher,0.7929602354277356,5942.916666666666,21.246924827088367,15.847777777777775,1.0,0.0,4.137500000000001,0.817,0.20875,0.9071010431739795,3.0,12,0.21973200158612133,ambiguous,light,0.5,3,9
LE-GRA MVP,0.7734126210242617,5818.229166666667,26.393846727438643,15.51527777777778,1.0,0.0,4.075,0.699,0.21374999999999997,0.8944008844906411,2.3,12,0.21973200158612133,ambiguous,light,0.5,3,9
No grouping,0.7972755432289418,6150.0,55.90351541622216,16.4,1.0,0.0,4.35,0.42699999999999994,0.22166666666666662,1.0,1.0,12,0.23156000787250913,ambiguous,light,0.5,3,17
CQI k-means,0.8238513517815788,6390.312500000001,39.89516991020681,17.04083333333333,1.0,0.0,4.4125,0.5650000000000002,0.195,0.9188556098684625,2.25,12,0.23156000787250913,ambiguous,light,0.5,3,17
Resource-cost k-means,0.8305489180832557,6588.333333333333,44.72158041070888,17.56888888888889,1.0,0.0,4.5062500000000005,0.548,0.21208333333333335,0.937774546740922,2.0,12,0.23156000787250913,ambiguous,light,0.5,3,17
Multi-feature k-means,0.8270306745744417,6230.208333333334,35.09744942350675,16.613888888888887,1.0,0.0,4.34375,0.6210000000000001,0.18958333333333338,0.9550336573761526,2.3,12,0.23156000787250913,ambiguous,light,0.5,3,17
Offline teacher,0.8438154485151941,6352.708333333334,27.618175184281018,16.940555555555555,1.0,0.0,4.364583333333332,0.688,0.17458333333333337,0.9419523762813709,2.9,12,0.23156000787250913,ambiguous,light,0.5,3,17
LE-GRA MVP,0.8288546977886548,6420.9375,40.684070679141435,17.122500000000002,1.0,0.0,4.40625,0.563,0.19958333333333333,0.9533672720409394,2.05,12,0.23156000787250913,ambiguous,light,0.5,3,17
No grouping,0.7812548205760318,6075.0,59.637450812653654,16.2,1.0,0.0,4.3,0.35300000000000004,0.2345833333333333,1.0,1.0,11,0.21340953331799928,ambiguous,light,0.5,3,23
CQI k-means,0.8392395057524806,6541.354166666666,45.2315988440604,17.44361111111111,1.0,0.0,4.502083333333334,0.5700000000000001,0.20833333333333334,0.9501602555009045,2.2,11,0.21340953331799928,ambiguous,light,0.5,3,23
Resource-cost k-means,0.8393321068041939,6748.229166666667,49.13028279738499,17.99527777777778,1.0,0.0,4.59375,0.567,0.22500000000000003,0.9674434558378872,2.0,11,0.21340953331799928,ambiguous,light,0.5,3,23
Multi-feature k-means,0.8378048806643887,6607.291666666666,43.63714982644369,17.619444444444447,1.0,0.0,4.539583333333335,0.5570000000000002,0.21499999999999994,0.961505852659322,2.1,11,0.21340953331799928,ambiguous,light,0.5,3,23
Offline teacher,0.8471083982621448,6500.520833333334,28.426242793672067,17.334722222222222,1.0,0.0,4.45625,0.674,0.19416666666666665,0.9542006455907117,2.85,11,0.21340953331799928,ambiguous,light,0.5,3,23
LE-GRA MVP,0.8394375716932224,6563.333333333333,36.457032448731084,17.502222222222223,1.0,0.0,4.5,0.619,0.20458333333333334,0.9568946319804811,2.45,11,0.21340953331799928,ambiguous,light,0.5,3,23
No grouping,0.554212768819211,4495.0,39.375494467406234,23.973333333333336,1.0,0.0,3.3,0.6020000000000001,0.2895833333333333,1.0,1.0,12,0.18351464046520544,ambiguous,medium,0.25,3,9
CQI k-means,0.7060297819796733,5350.416666666667,36.41516758515,28.53555555555555,1.0,0.0,3.8041666666666663,0.8620000000000001,0.2129166666666667,0.828497797809131,1.9,12,0.18351464046520544,ambiguous,medium,0.25,3,9
Resource-cost k-means,0.7161253984677379,5427.291666666667,42.52109084466022,28.94555555555555,1.0,0.0,3.8708333333333336,0.796,0.2229166666666667,0.8926515690682093,1.75,12,0.18351464046520544,ambiguous,medium,0.25,3,9
Multi-feature k-means,0.7042166583626533,5299.895833333333,39.47472636416632,28.26611111111111,1.0,0.0,3.7666666666666666,0.812,0.2104166666666667,0.8460102869333781,1.8,12,0.18351464046520544,ambiguous,medium,0.25,3,9
Offline teacher,0.7322796242075484,5344.375,30.087266074304114,28.50333333333333,1.0,0.0,3.8250000000000006,0.9640000000000001,0.2004166666666667,0.8691491410041037,2.3,12,0.18351464046520544,ambiguous,medium,0.25,3,9
LE-GRA MVP,0.6988401978870822,5238.020833333334,33.083365143434264,27.93611111111111,1.0,0.0,3.7791666666666663,0.882,0.21791666666666668,0.8548419818277283,2.0,12,0.18351464046520544,ambiguous,medium,0.25,3,9
No grouping,0.7295439324707109,5857.5,56.23652001593179,31.24,1.0,0.0,4.1,0.59,0.23583333333333334,1.0,1.0,12,0.20977842745881672,ambiguous,medium,0.25,3,17
CQI k-means,0.7964610597570513,6097.604166666666,43.8158970136144,32.52055555555555,1.0,0.0,4.208333333333334,0.8459999999999999,0.17916666666666664,0.8905184904385915,2.0,12,0.20977842745881672,ambiguous,medium,0.25,3,17
Resource-cost k-means,0.7959105423196113,6309.0625,52.13233738529082,33.64833333333333,1.0,0.0,4.364583333333334,0.74,0.20958333333333332,0.9307115662794596,1.6,12,0.20977842745881672,ambiguous,medium,0.25,3,17
Multi-feature k-means,0.7956611155143175,6201.562500000001,46.603825757575756,33.075,1.0,0.0,4.295833333333333,0.8099999999999999,0.1975,0.9217951496419902,1.75,12,0.20977842745881672,ambiguous,medium,0.25,3,17
Offline teacher,0.8084963415834139,6000.104166666667,34.16523327624973,32.00055555555556,1.0,0.0,4.199999999999999,0.9560000000000001,0.17333333333333334,0.9264286902631902,2.4,12,0.20977842745881672,ambiguous,medium,0.25,3,17
LE-GRA MVP,0.7926655432702867,6116.354166666666,47.00688175336588,32.620555555555555,1.0,0.0,4.24375,0.788,0.19208333333333336,0.906022153499664,1.7,12,0.20977842745881672,ambiguous,medium,0.25,3,17
No grouping,0.7243355991373773,5857.5,59.90760084142437,31.24,1.0,0.0,4.1,0.5459999999999999,0.24625,1.0,1.0,10,0.19715257168853526,ambiguous,medium,0.25,3,23
CQI k-means,0.8116881193232546,6345.3125,53.13403791984515,33.84166666666666,1.0,0.0,4.34375,0.75,0.19749999999999998,0.9180377315850559,1.75,10,0.19715257168853526,ambiguous,medium,0.25,3,23
Resource-cost k-means,0.8050902057032264,6362.8125,58.853975794973245,33.934999999999995,1.0,0.0,4.408333333333333,0.674,0.21875,0.9627605964879796,1.45,10,0.19715257168853526,ambiguous,medium,0.25,3,23
Multi-feature k-means,0.8088350157570648,6418.229166666667,53.48340457177717,34.23055555555555,1.0,0.0,4.3895833333333325,0.7419999999999999,0.2058333333333333,0.9353073017470935,1.75,10,0.19715257168853526,ambiguous,medium,0.25,3,23
Offline teacher,0.820808586911286,6212.187499999999,34.290277429685325,33.13166666666666,1.0,0.0,4.285416666666667,0.976,0.18166666666666664,0.9358960283521413,2.55,10,0.19715257168853526,ambiguous,medium,0.25,3,23
LE-GRA MVP,0.8020592993054189,6205.208333333334,52.67293323716776,33.09444444444445,1.0,0.0,4.3062499999999995,0.7220000000000001,0.19916666666666666,0.9374137597153291,1.7,10,0.19715257168853526,ambiguous,medium,0.25,3,23
