scenario_mode,load_level,rb_budget_ratio,seed,test_index,kmax,feature_mode,method,pairwise_accuracy,ari,nmi,teacher_groups,predicted_groups
ambiguous,light,0.5,9,0,3,history_cost,Multi-feature k-means,0.5036231884057971,0.016644127743680407,0.14507840110418735,3,3
ambiguous,light,0.5,9,0,3,history_cost,LE-GRA MVP,0.4782608695652174,-0.030972762645914368,0.11949807224807794,3,3
ambiguous,light,0.5,9,1,3,history_cost,Multi-feature k-means,0.6340579710144928,0.3088366557572152,0.5007252992472847,3,3
ambiguous,light,0.5,9,1,3,history_cost,LE-GRA MVP,0.9710144927536232,0.9399477806788512,0.8828570207618651,3,2
ambiguous,light,0.5,9,2,3,history_cost,Multi-feature k-means,0.4601449275362319,0.0,0.0,3,1
ambiguous,light,0.5,9,2,3,history_cost,LE-GRA MVP,0.4927536231884058,-0.003479977146418746,0.012396372321626468,3,2
ambiguous,light,0.5,9,3,3,history_cost,Multi-feature k-means,0.644927536231884,0.2440046956230086,0.4347704665752945,3,3
ambiguous,light,0.5,9,3,3,history_cost,LE-GRA MVP,0.605072463768116,0.14407647661317852,0.3260950242446396,3,3
ambiguous,light,0.5,9,4,3,history_cost,Multi-feature k-means,0.7246376811594203,0.4668293426872045,0.5231707074689391,3,2
ambiguous,light,0.5,9,4,3,history_cost,LE-GRA MVP,0.7246376811594203,0.4668293426872045,0.5231707074689391,3,2
ambiguous,light,0.5,9,5,3,history_cost,Multi-feature k-means,0.8840579710144928,0.7688442211055276,0.8261230797267559,3,2
ambiguous,light,0.5,9,5,3,history_cost,LE-GRA MVP,0.7536231884057971,0.507763323541754,0.5320843724588034,3,2
ambiguous,light,0.5,9,6,3,history_cost,Multi-feature k-means,0.6304347826086957,0.24114507520621062,0.4265383288322028,3,3
ambiguous,light,0.5,9,6,3,history_cost,LE-GRA MVP,0.5869565217391305,0.16572095243145787,0.36121691235745407,3,3
ambiguous,light,0.5,9,7,3,history_cost,Multi-feature k-means,0.37318840579710144,0.0,0.0,3,1
ambiguous,light,0.5,9,7,3,history_cost,LE-GRA MVP,0.8043478260869565,0.610841297195676,0.6160416372313926,3,2
ambiguous,light,0.5,9,8,3,history_cost,Multi-feature k-means,0.6195652173913043,0.23680606762877907,0.32785951541653047,3,3
ambiguous,light,0.5,9,8,3,history_cost,LE-GRA MVP,0.6195652173913043,0.23728813559322035,0.38612838167371444,3,3
ambiguous,light,0.5,9,9,3,history_cost,Multi-feature k-means,0.6884057971014492,0.35789644538224313,0.4702899461256246,3,3
ambiguous,light,0.5,9,9,3,history_cost,LE-GRA MVP,0.7463768115942029,0.490479455667493,0.43305656844941204,3,2
ambiguous,light,0.5,9,10,3,history_cost,Multi-feature k-means,0.644927536231884,0.3344160637826664,0.517681667354915,3,3
ambiguous,light,0.5,9,10,3,history_cost,LE-GRA MVP,0.605072463768116,0.2587957031634966,0.43958208996303144,3,3
ambiguous,light,0.5,9,11,3,history_cost,Multi-feature k-means,0.8007246376811594,0.5961477067149091,0.735621080980445,3,3
ambiguous,light,0.5,9,11,3,history_cost,LE-GRA MVP,0.48188405797101447,0.0,0.0,3,1
ambiguous,light,0.5,9,12,3,history_cost,Multi-feature k-means,0.4891304347826087,-0.038424591738712786,0.01657294869288805,3,2
ambiguous,light,0.5,9,12,3,history_cost,LE-GRA MVP,0.5579710144927537,-0.011353397008469998,0.0680153627956539,3,3
ambiguous,light,0.5,9,13,3,history_cost,Multi-feature k-means,0.8804347826086957,0.7572235846039024,0.7852117652251812,3,3
ambiguous,light,0.5,9,13,3,history_cost,LE-GRA MVP,0.5942028985507246,0.17165978884184577,0.38616309060752124,3,3
ambiguous,light,0.5,9,14,3,history_cost,Multi-feature k-means,0.37318840579710144,0.0,0.0,3,1
ambiguous,light,0.5,9,14,3,history_cost,LE-GRA MVP,0.37318840579710144,0.0,0.0,3,1
ambiguous,light,0.5,9,15,3,history_cost,Multi-feature k-means,0.8043478260869565,0.6071485054562707,0.6044431204235465,3,2
ambiguous,light,0.5,9,15,3,history_cost,LE-GRA MVP,0.5942028985507246,0.16539769965980886,0.3846000869011744,3,3
ambiguous,light,0.5,9,16,3,history_cost,Multi-feature k-means,0.7463768115942029,0.49695360099984376,0.6972897507365784,3,3
ambiguous,light,0.5,9,16,3,history_cost,LE-GRA MVP,0.5579710144927537,0.02653946227233301,0.1867495209352275,3,3
ambiguous,light,0.5,9,17,3,history_cost,Multi-feature k-means,0.6811594202898551,0.323943661971831,0.4999606978155308,3,3
ambiguous,light,0.5,9,17,3,history_cost,LE-GRA MVP,0.4166666666666667,0.0,0.0,3,1
ambiguous,light,0.5,9,18,3,history_cost,Multi-feature k-means,0.7681159420289855,0.5232903330274734,0.6079168322989245,3,3
ambiguous,light,0.5,9,18,3,history_cost,LE-GRA MVP,0.9166666666666666,0.8342904876266054,0.7821461328562928,3,2
ambiguous,light,0.5,9,19,3,history_cost,Multi-feature k-means,0.6811594202898551,0.3637887678122381,0.40272828176024317,3,2
ambiguous,light,0.5,9,19,3,history_cost,LE-GRA MVP,0.9021739130434783,0.7941208973367223,0.6879590100838477,3,2
ambiguous,light,0.5,17,0,3,history_cost,Multi-feature k-means,0.6594202898550725,0.3493504539298791,0.5064509861239326,2,3
ambiguous,light,0.5,17,0,3,history_cost,LE-GRA MVP,0.7717391304347826,0.5154386356036116,0.4820202132202182,2,2
ambiguous,light,0.5,17,1,3,history_cost,Multi-feature k-means,0.34782608695652173,0.0,0.0,3,1
ambiguous,light,0.5,17,1,3,history_cost,LE-GRA MVP,0.34782608695652173,0.0,0.0,3,1
ambiguous,light,0.5,17,2,3,history_cost,Multi-feature k-means,0.8188405797101449,0.5929923907273049,0.6463723788134287,3,3
ambiguous,light,0.5,17,2,3,history_cost,LE-GRA MVP,0.8188405797101449,0.5929923907273049,0.5996991077068857,3,3
ambiguous,light,0.5,17,3,3,history_cost,Multi-feature k-means,0.5471014492753623,0.09277374566109181,0.3065479561726144,3,2
ambiguous,light,0.5,17,3,3,history_cost,LE-GRA MVP,0.7101449275362319,0.4314846284566661,0.6630387469803007,3,2
ambiguous,light,0.5,17,4,3,history_cost,Multi-feature k-means,0.38405797101449274,-0.03947893127741594,0.06293577506017219,3,2
ambiguous,light,0.5,17,4,3,history_cost,LE-GRA MVP,0.32971014492753625,0.0,0.0,3,1
ambiguous,light,0.5,17,5,3,history_cost,Multi-feature k-means,0.9456521739130435,0.8915889808316749,0.8962694224204701,3,2
ambiguous,light,0.5,17,5,3,history_cost,LE-GRA MVP,0.8695652173913043,0.7393357468912325,0.7023028319664629,3,2
ambiguous,light,0.5,17,6,3,history_cost,Multi-feature k-means,0.5362318840579711,-0.027633951946012012,0.08220527596557886,3,3
ambiguous,light,0.5,17,6,3,history_cost,LE-GRA MVP,0.5072463768115942,0.086670884227943,0.11200473707092905,3,2
ambiguous,light,0.5,17,7,3,history_cost,Multi-feature k-means,0.5253623188405797,0.0,0.0,3,1
ambiguous,light,0.5,17,7,3,history_cost,LE-GRA MVP,0.5253623188405797,0.0,0.0,3,1
ambiguous,light,0.5,17,8,3,history_cost,Multi-feature k-means,0.8297101449275363,0.6603832862079799,0.6674133278660888,3,2
ambiguous,light,0.5,17,8,3,history_cost,LE-GRA MVP,0.7644927536231884,0.5070886910649521,0.6061314740373427,3,3
ambiguous,light,0.5,17,9,3,history_cost,Multi-feature k-means,0.5036231884057971,0.015004688965301622,0.11130500359157583,2,3
ambiguous,light,0.5,17,9,3,history_cost,LE-GRA MVP,0.6086956521739131,0.0,0.0,2,1
ambiguous,light,0.5,17,10,3,history_cost,Multi-feature k-means,0.7391304347826086,0.4717422510500292,0.510728847348287,3,2
ambiguous,light,0.5,17,10,3,history_cost,LE-GRA MVP,0.4891304347826087,-0.026807387862796867,0.024066305561874054,3,2
ambiguous,light,0.5,17,11,3,history_cost,Multi-feature k-means,0.5869565217391305,0.13087674714104194,0.2874524885296145,3,3
ambiguous,light,0.5,17,11,3,history_cost,LE-GRA MVP,0.5253623188405797,-0.043643921025285776,0.03893683985723476,3,3
ambiguous,light,0.5,17,12,3,history_cost,Multi-feature k-means,0.6847826086956522,0.2861220121298608,0.43038358741756766,3,3
ambiguous,light,0.5,17,12,3,history_cost,LE-GRA MVP,0.6992753623188406,0.33228401538999647,0.4502249584374762,3,3
ambiguous,light,0.5,17,13,3,history_cost,Multi-feature k-means,0.8731884057971014,0.7454411299673237,0.6687410411979475,3,2
ambiguous,light,0.5,17,13,3,history_cost,LE-GRA MVP,0.894927536231884,0.7875119464797706,0.6974412100507908,3,2
ambiguous,light,0.5,17,14,3,history_cost,Multi-feature k-means,0.7318840579710145,0.4665412944679518,0.4824467825029892,3,2
ambiguous,light,0.5,17,14,3,history_cost,LE-GRA MVP,0.7318840579710145,0.4665412944679518,0.4824467825029892,3,2
ambiguous,light,0.5,17,15,3,history_cost,Multi-feature k-means,0.6413043478260869,0.2536873156342183,0.43293639260367295,3,3
ambiguous,light,0.5,17,15,3,history_cost,LE-GRA MVP,0.7717391304347826,0.5194029850746269,0.6468457573871874,3,3
ambiguous,light,0.5,17,16,3,history_cost,Multi-feature k-means,0.5072463768115942,-0.05019305019305019,0.029482704135143888,3,3
ambiguous,light,0.5,17,16,3,history_cost,LE-GRA MVP,0.5144927536231884,-0.011320754716981131,0.08166617006172175,3,3
ambiguous,light,0.5,17,17,3,history_cost,Multi-feature k-means,0.5615942028985508,0.22629969418960247,0.5576983198758183,3,2
ambiguous,light,0.5,17,17,3,history_cost,LE-GRA MVP,0.572463768115942,0.19406087602078695,0.35398340672903644,3,2
ambiguous,light,0.5,17,18,3,history_cost,Multi-feature k-means,0.6992753623188406,0.0,0.0,3,1
ambiguous,light,0.5,17,18,3,history_cost,LE-GRA MVP,0.6195652173913043,0.08603507001387668,0.19850890954025954,3,2
ambiguous,light,0.5,17,19,3,history_cost,Multi-feature k-means,0.6811594202898551,0.3761750654954538,0.6273940698306217,3,3
ambiguous,light,0.5,17,19,3,history_cost,LE-GRA MVP,0.532608695652174,0.0,0.0,3,1
ambiguous,light,0.5,23,0,3,history_cost,Multi-feature k-means,0.6557971014492754,0.0,0.0,2,1
ambiguous,light,0.5,23,0,3,history_cost,LE-GRA MVP,0.6739130434782609,0.4103963921196298,0.6950209363806237,2,3
ambiguous,light,0.5,23,1,3,history_cost,Multi-feature k-means,0.532608695652174,0.0,0.0,3,1
ambiguous,light,0.5,23,1,3,history_cost,LE-GRA MVP,0.532608695652174,0.0,0.0,3,1
ambiguous,light,0.5,23,2,3,history_cost,Multi-feature k-means,0.7572463768115942,0.5182869646764614,0.5257632641832197,3,2
ambiguous,light,0.5,23,2,3,history_cost,LE-GRA MVP,0.644927536231884,0.2589182968929804,0.3700495092175898,3,3
ambiguous,light,0.5,23,3,3,history_cost,Multi-feature k-means,0.4166666666666667,0.0,0.0,3,1
ambiguous,light,0.5,23,3,3,history_cost,LE-GRA MVP,0.5,-0.04150943396226415,0.04782323537603455,3,3
ambiguous,light,0.5,23,4,3,history_cost,Multi-feature k-means,0.6702898550724637,0.32679318108716626,0.3658447977059043,3,2
ambiguous,light,0.5,23,4,3,history_cost,LE-GRA MVP,0.6304347826086957,0.27715298105068553,0.3623000163429971,3,3
ambiguous,light,0.5,23,5,3,history_cost,Multi-feature k-means,0.4746376811594203,-0.052603892688058915,0.017001004459717566,3,2
ambiguous,light,0.5,23,5,3,history_cost,LE-GRA MVP,0.48188405797101447,-0.07261658875964783,0.09623947856579419,3,3
ambiguous,light,0.5,23,6,3,history_cost,Multi-feature k-means,0.7210144927536232,0.4160896801846356,0.48302270155071736,3,3
ambiguous,light,0.5,23,6,3,history_cost,LE-GRA MVP,0.5978260869565217,0.1532338308457711,0.26631948366191904,3,3
ambiguous,light,0.5,23,7,3,history_cost,Multi-feature k-means,0.48188405797101447,0.0,0.0,3,1
ambiguous,light,0.5,23,7,3,history_cost,LE-GRA MVP,0.48188405797101447,0.0,0.0,3,1
ambiguous,light,0.5,23,8,3,history_cost,Multi-feature k-means,0.6268115942028986,0.2744257274119449,0.43486686435332905,3,3
ambiguous,light,0.5,23,8,3,history_cost,LE-GRA MVP,0.5978260869565217,0.2159893540792302,0.40731070049943063,3,3
ambiguous,light,0.5,23,9,3,history_cost,Multi-feature k-means,0.4673913043478261,0.08398807911135195,0.2108049043396271,3,2
ambiguous,light,0.5,23,9,3,history_cost,LE-GRA MVP,0.6811594202898551,0.38264450205886835,0.4360781838067236,3,2
ambiguous,light,0.5,23,10,3,history_cost,Multi-feature k-means,0.6123188405797102,0.26515377724693934,0.41415680618701906,2,3
ambiguous,light,0.5,23,10,3,history_cost,LE-GRA MVP,0.7717391304347826,0.482315112540193,0.4420720417787592,2,2
ambiguous,light,0.5,23,11,3,history_cost,Multi-feature k-means,0.4891304347826087,-0.02659069325735997,0.07705293773214854,3,3
ambiguous,light,0.5,23,11,3,history_cost,LE-GRA MVP,0.4891304347826087,-0.03709625839462742,0.13826414191767505,3,3
ambiguous,light,0.5,23,12,3,history_cost,Multi-feature k-means,0.5362318840579711,0.07143983598801457,0.27673634873147984,3,2
ambiguous,light,0.5,23,12,3,history_cost,LE-GRA MVP,0.5144927536231884,0.04340178987119132,0.22727422607717696,3,3
ambiguous,light,0.5,23,13,3,history_cost,Multi-feature k-means,0.5,0.01545778834720574,0.19378545580176082,3,3
ambiguous,light,0.5,23,13,3,history_cost,LE-GRA MVP,0.5,0.01545778834720574,0.19378545580176082,3,3
ambiguous,light,0.5,23,14,3,history_cost,Multi-feature k-means,0.7463768115942029,0.4817318525671978,0.4740800155210264,3,3
ambiguous,light,0.5,23,14,3,history_cost,LE-GRA MVP,0.7028985507246377,0.37477208685562735,0.45423765423648205,3,3
ambiguous,light,0.5,23,15,3,history_cost,Multi-feature k-means,0.4782608695652174,-0.04397163120567373,0.030053313905398157,3,2
ambiguous,light,0.5,23,15,3,history_cost,LE-GRA MVP,0.48188405797101447,-0.03590551181102364,0.059211244570150645,3,2
ambiguous,light,0.5,23,16,3,history_cost,Multi-feature k-means,0.35144927536231885,0.0,0.0,3,1
ambiguous,light,0.5,23,16,3,history_cost,LE-GRA MVP,0.35144927536231885,0.0,0.0,3,1
ambiguous,light,0.5,23,17,3,history_cost,Multi-feature k-means,0.5652173913043478,0.22933730454206994,0.5588487823476311,3,2
ambiguous,light,0.5,23,17,3,history_cost,LE-GRA MVP,0.5652173913043478,0.22933730454206994,0.5588487823476311,3,2
ambiguous,light,0.5,23,18,3,history_cost,Multi-feature k-means,0.8079710144927537,0.6141183918961697,0.6283995388905712,3,3
ambiguous,light,0.5,23,18,3,history_cost,LE-GRA MVP,0.7137681159420289,0.43518806341311783,0.5341054879290906,3,2
ambiguous,light,0.5,23,19,3,history_cost,Multi-feature k-means,0.9166666666666666,0.8281909710945112,0.7598737418084625,2,2
ambiguous,light,0.5,23,19,3,history_cost,LE-GRA MVP,0.7101449275362319,0.4626168224299065,0.7223998094082265,2,3
ambiguous,medium,0.25,9,0,3,history_cost,Multi-feature k-means,0.5253623188405797,0.0,0.0,3,1
ambiguous,medium,0.25,9,0,3,history_cost,LE-GRA MVP,0.4891304347826087,-0.015023474178403719,0.1653472546553282,3,3
ambiguous,medium,0.25,9,1,3,history_cost,Multi-feature k-means,0.6630434782608695,0.3762029746281715,0.5671646568718249,2,3
ambiguous,medium,0.25,9,1,3,history_cost,LE-GRA MVP,0.7644927536231884,0.5454545454545454,0.6109717213326481,2,3
ambiguous,medium,0.25,9,2,3,history_cost,Multi-feature k-means,0.4601449275362319,0.0,0.0,3,1
ambiguous,medium,0.25,9,2,3,history_cost,LE-GRA MVP,0.5760869565217391,0.16661505109941163,0.1692765043160474,3,2
ambiguous,medium,0.25,9,3,3,history_cost,Multi-feature k-means,0.8405797101449275,0.6807403123192597,0.6628102466687833,2,2
ambiguous,medium,0.25,9,3,3,history_cost,LE-GRA MVP,0.5688405797101449,0.15061549601737867,0.2693243323736229,2,2
ambiguous,medium,0.25,9,4,3,history_cost,Multi-feature k-means,0.6268115942028986,0.28364076201995764,0.44313846862042694,3,2
ambiguous,medium,0.25,9,4,3,history_cost,LE-GRA MVP,0.6811594202898551,0.359493670886076,0.4771910554412538,3,2
ambiguous,medium,0.25,9,5,3,history_cost,Multi-feature k-means,0.6557971014492754,0.0,0.0,2,1
ambiguous,medium,0.25,9,5,3,history_cost,LE-GRA MVP,0.6557971014492754,0.0,0.0,2,1
