load_level,seed,feature_a,feature_b,pearson_r
light,9,cqi_t-4,cqi_t-3,0.980691340733079
light,9,cqi_t-4,cqi_t-2,0.979915176671839
light,9,cqi_t-4,cqi_t-1,0.9767484675020198
light,9,cqi_t-4,cqi_now,0.9708085312044776
light,9,cqi_t-4,cost_q0,-0.5030886276262125
light,9,cqi_t-4,cost_q1,-0.77317745547498
light,9,cqi_t-4,cost_q2,-0.7358323602191051
light,9,cqi_t-4,cost_q3,-0.6816061756435808
light,9,cqi_t-4,cost_q4,-0.7618738472186984
light,9,cqi_t-4,cost_q5,-0.8037699506810267
light,9,cqi_t-3,cqi_t-2,0.9802351849835815
light,9,cqi_t-3,cqi_t-1,0.9784482017988474
light,9,cqi_t-3,cqi_now,0.9742547293090179
light,9,cqi_t-3,cost_q0,-0.5003196591843905
light,9,cqi_t-3,cost_q1,-0.7714810664824567
light,9,cqi_t-3,cost_q2,-0.7343803895868855
light,9,cqi_t-3,cost_q3,-0.6796582429555676
light,9,cqi_t-3,cost_q4,-0.7614942769628584
light,9,cqi_t-3,cost_q5,-0.8037743525854806
light,9,cqi_t-2,cqi_t-1,0.9807508213017732
light,9,cqi_t-2,cqi_now,0.9789973309160818
light,9,cqi_t-2,cost_q0,-0.499305572873428
light,9,cqi_t-2,cost_q1,-0.7703681273176611
light,9,cqi_t-2,cost_q2,-0.734399799739233
light,9,cqi_t-2,cost_q3,-0.6791471072960373
light,9,cqi_t-2,cost_q4,-0.7618813569702385
light,9,cqi_t-2,cost_q5,-0.8041705324099194
light,9,cqi_t-1,cqi_now,0.9796026448205724
light,9,cqi_t-1,cost_q0,-0.5041071623555649
light,9,cqi_t-1,cost_q1,-0.7735043102426601
light,9,cqi_t-1,cost_q2,-0.7392211912662652
light,9,cqi_t-1,cost_q3,-0.6842473683183791
light,9,cqi_t-1,cost_q4,-0.7662388006955482
light,9,cqi_t-1,cost_q5,-0.8084609355601405
light,9,cqi_now,cost_q0,-0.510368764020577
light,9,cqi_now,cost_q1,-0.7828272034935354
light,9,cqi_now,cost_q2,-0.7478085012520876
light,9,cqi_now,cost_q3,-0.6925170417128806
light,9,cqi_now,cost_q4,-0.7757212172530767
light,9,cqi_now,cost_q5,-0.8160923836532818
