load_level,seed,split,scenario_index,nearest_neighbor_same_teacher_group,nearest_neighbor_mean_distance,same_cqi_pair_count,same_cqi_same_group_ratio,same_cqi_mean_cost_distance
light,9,train,0,0.75,0.405998557806015,49,0.7346938775510204,0.0031939356454781125
light,9,train,1,0.5,0.2666456699371338,81,0.5432098765432098,0.0006172840517980081
light,9,train,2,0.6666666666666666,0.4292469322681427,45,0.5555555555555556,0.002327141828007168
light,9,train,3,0.8333333333333334,0.33090996742248535,44,0.7727272727272727,0.011253191708502445
light,9,train,4,0.6666666666666666,0.7787200808525085,21,0.7619047619047619,0.019869194587781316
light,9,train,5,0.9583333333333334,0.7853100895881653,15,1.0,0.0317485557248195
light,9,train,6,0.5833333333333334,0.271026074886322,73,0.4794520547945205,0.00019372795542625532
light,9,train,7,0.9166666666666666,1.1998521089553833,26,1.0,0.0284222590808685
light,9,train,8,0.75,0.3991573750972748,49,0.7142857142857143,0.005502856545606438
light,9,train,9,0.375,0.22533850371837616,80,0.4,0.0
light,9,train,10,0.75,0.3358650207519531,44,0.7954545454545454,0.0077644662127237425
light,9,train,11,0.375,0.26938605308532715,75,0.44,0.0011771238843599956
light,9,train,12,0.8333333333333334,0.7953006625175476,22,0.9545454545454546,0.026835922913795166
light,9,train,13,0.7916666666666666,0.40064772963523865,33,0.7878787878787878,0.007161075587977062
light,9,train,14,0.4166666666666667,0.26657870411872864,75,0.4666666666666667,0.00013333335518836976
light,9,train,15,0.375,0.2165582925081253,91,0.32967032967032966,0.0004395605116100102
light,9,train,16,0.5416666666666666,0.24504421651363373,77,0.6493506493506493,0.0
light,9,train,17,0.9166666666666666,0.8211522102355957,22,0.9545454545454546,0.04011141923679547
light,9,train,18,0.625,0.26287582516670227,89,0.6067415730337079,0.0
light,9,train,19,0.75,0.38949814438819885,46,0.8043478260869565,0.010135456555239532
light,9,train,20,0.9166666666666666,0.9040870070457458,27,1.0,0.033662248506314225
light,9,train,21,0.5833333333333334,0.2591143846511841,94,0.35106382978723405,0.00021276599232186662
light,9,train,22,0.7916666666666666,0.3804991543292999,46,0.5869565217391305,0.0062277310568353405
light,9,train,23,0.625,0.24110937118530273,77,0.7142857142857143,0.0020110760996868084
light,9,train,24,0.7916666666666666,0.35218167304992676,38,0.9210526315789473,0.005015780708115352
light,9,train,25,0.9583333333333334,1.115968108177185,16,1.0,0.04688739008270204
light,9,train,26,0.7916666666666666,0.9050552845001221,11,1.0,0.0478954054415226
light,9,train,27,1.0,0.6939167976379395,25,1.0,0.035831697285175323
light,9,train,28,0.875,0.7670232653617859,15,0.7333333333333333,0.03268691394478083
light,9,train,29,0.9583333333333334,1.118815302848816,21,1.0,0.06345548223526705
light,9,train,30,0.875,1.3633655309677124,18,0.8888888888888888,0.026190735606683627
light,9,train,31,0.4166666666666667,0.2205914705991745,81,0.35802469135802467,0.0
light,9,train,32,0.8333333333333334,0.24102990329265594,91,0.8681318681318682,0.0
light,9,train,33,1.0,0.6912603378295898,31,1.0,0.009946536963745471
light,9,train,34,0.625,0.2654781639575958,79,0.6075949367088608,0.0008860760946062547
light,9,train,35,0.8333333333333334,0.37254154682159424,39,0.8461538461538461,0.0017948721845944722
light,9,train,36,0.4166666666666667,0.28052660822868347,72,0.5833333333333334,0.00013888891165455183
light,9,train,37,1.0,0.803920567035675,19,1.0,0.01833084490346281
light,9,train,38,0.875,0.35083648562431335,74,0.8648648648648649,0.001045779702631203
light,9,train,39,0.9583333333333334,0.8073351979255676,17,1.0,0.018734134295407462
light,9,test,0,0.75,0.2533252537250519,85,0.5411764705882353,0.0
light,9,test,1,0.9166666666666666,1.145135521888733,19,0.8947368421052632,0.02768885167805772
light,9,test,2,0.5,0.21995194256305695,111,0.45045045045045046,0.0
light,9,test,3,0.75,0.33963701128959656,49,0.6938775510204082,0.006772839749345974
light,9,test,4,1.0,0.8299821019172668,11,1.0,0.028568827885795723
light,9,test,5,0.75,0.3883095979690552,36,0.9166666666666666,0.005457656406280067
light,9,test,6,0.875,0.9925598502159119,14,1.0,0.03319051396101713
light,9,test,7,0.9166666666666666,0.35632291436195374,40,0.775,0.006435093493200839
light,9,test,8,0.6666666666666666,0.4068078100681305,34,0.6470588235294118,0.006309823516537161
light,9,test,9,0.7083333333333334,0.34134939312934875,47,0.5531914893617021,0.006963387785598319
light,9,test,10,0.8333333333333334,0.7344852089881897,19,1.0,0.030546047283630622
light,9,test,11,0.9583333333333334,0.5446810126304626,17,1.0,0.013829147114473231
light,9,test,12,0.2916666666666667,0.24845099449157715,78,0.32051282051282054,0.0
light,9,test,13,0.9583333333333334,1.2464423179626465,14,1.0,0.026111833551632508
light,9,test,14,0.5,0.32208362221717834,48,0.625,0.009419872735937437
light,9,test,15,0.9583333333333334,1.1571491956710815,24,0.9583333333333334,0.019901282309244078
light,9,test,16,0.5,0.36872735619544983,51,0.5686274509803921,0.0051259079984590115
light,9,test,17,0.7083333333333334,0.31288424134254456,36,0.5833333333333334,0.007619319716468453
light,9,test,18,0.9166666666666666,0.7979357838630676,16,1.0,0.03158048423938453
light,9,test,19,0.875,0.9492679238319397,17,1.0,0.018031917128931072
light,17,train,0,0.4166666666666667,0.2768639028072357,85,0.5294117647058824,0.0008235295467516955
light,17,train,1,0.9166666666666666,0.39309653639793396,36,0.8611111111111112,0.003489022712326712
light,17,train,2,0.6666666666666666,0.39206042885780334,54,0.6666666666666666,0.00698743705396299
light,17,train,3,0.625,0.4001578986644745,38,0.7631578947368421,0.007037322429057799
light,17,train,4,0.5416666666666666,0.44762101769447327,36,0.6944444444444444,0.006883130822744634
light,17,train,5,0.875,1.2670458555221558,21,1.0,0.07222308533354885
light,17,train,6,0.4166666666666667,0.22667932510375977,123,0.4715447154471545,0.0
light,17,train,7,0.5,0.25725820660591125,103,0.47572815533980584,0.0
light,17,train,8,0.7083333333333334,0.24055106937885284,91,0.8241758241758241,0.0
light,17,train,9,0.4583333333333333,0.30657634139060974,80,0.5875,0.00017677675932645798
light,17,train,10,0.6666666666666666,0.39899301528930664,36,0.6944444444444444,0.004301468376070261
light,17,train,11,0.9583333333333334,1.3265902996063232,12,1.0,0.024747299263253808
light,17,train,12,1.0,0.8701884150505066,17,1.0,0.02735437173396349
light,17,train,13,0.9583333333333334,0.5484641194343567,26,1.0,0.018768935679243162
light,17,train,14,0.7916666666666666,0.4305499494075775,39,0.8205128205128205,0.00743739440655097
light,17,train,15,0.5,0.24924392998218536,91,0.4175824175824176,0.0
light,17,train,16,0.4166666666666667,0.35507526993751526,40,0.6,0.00555833587422967
light,17,train,17,0.75,0.42827507853507996,50,0.86,0.0034684841334819794
light,17,train,18,0.25,0.31156304478645325,118,0.3728813559322034,0.0
light,17,train,19,0.5833333333333334,0.3661748468875885,50,0.58,0.004262742996215821
light,17,train,20,0.6666666666666666,0.2689588963985443,91,0.5714285714285714,0.0004395605116100102
light,17,train,21,0.5416666666666666,0.2775614261627197,79,0.5063291139240507,0.00037974689768839484
light,17,train,22,0.6666666666666666,0.26122865080833435,77,0.7792207792207793,0.0007792209069450181
light,17,train,23,0.5833333333333334,0.37796369194984436,55,0.5272727272727272,0.008262681994925846
light,17,train,24,0.875,1.1320632696151733,12,1.0,0.047381039087971054
light,17,train,25,0.4166666666666667,0.2591138184070587,105,0.45714285714285713,0.0
light,17,train,26,1.0,0.9596127867698669,13,1.0,0.03254627665648094
light,17,train,27,0.9583333333333334,0.8943551182746887,17,1.0,0.031906240948421115
light,17,train,28,0.9583333333333334,1.1307917833328247,18,1.0,0.028337541967630386
light,17,train,29,0.7916666666666666,1.8919552564620972,22,0.9545454545454546,0.0516003074801781
light,17,train,30,0.8333333333333334,0.25944122672080994,72,0.8194444444444444,0.0008333334699273109
light,17,train,31,0.4583333333333333,0.36364200711250305,80,0.3625,0.0
light,17,train,32,0.5416666666666666,0.31588107347488403,64,0.6875,0.0016651341575197875
light,17,train,33,0.375,0.282330185174942,79,0.379746835443038,0.0
light,17,train,34,0.9583333333333334,1.2831016778945923,27,1.0,0.05647259478077844
light,17,train,35,0.625,0.4824872314929962,51,0.5882352941176471,0.007178382765428692
light,17,train,36,0.5,0.23941326141357422,88,0.3409090909090909,0.0007954546758397059
light,17,train,37,1.0,1.0634828805923462,17,1.0,0.03334040698759696
light,17,train,38,0.375,0.2550450563430786,101,0.37623762376237624,9.900991721908645e-05
light,17,train,39,0.5416666666666666,0.2789059579372406,91,0.4835164835164835,0.0
light,17,test,0,1.0,0.712033748626709,17,1.0,0.03135538457290215
light,17,test,1,0.75,0.37163519859313965,38,0.6578947368421053,0.008185036137307944
light,17,test,2,0.75,0.3690444529056549,34,0.6764705882352942,0.0034284867510637816
light,17,test,3,0.875,0.6320297122001648,20,0.95,0.023221634328365326
light,17,test,4,0.2916666666666667,0.27622485160827637,73,0.3424657534246575,0.0
light,17,test,5,0.9583333333333334,0.401766300201416,38,0.9210526315789473,0.0085498599923755
light,17,test,6,0.5416666666666666,0.3103346824645996,72,0.4166666666666667,0.00019641862147384218
light,17,test,7,0.4583333333333333,0.24152147769927979,105,0.4857142857142857,0.0
light,17,test,8,0.9166666666666666,1.1508820056915283,28,1.0,0.019300546031445265
light,17,test,9,0.5416666666666666,0.2864955961704254,79,0.6075949367088608,0.0
light,17,test,10,0.4166666666666667,0.35210391879081726,49,0.4897959183673469,0.004215686068851121
light,17,test,11,0.3333333333333333,0.2885299623012543,67,0.47761194029850745,0.0002985075116157532
light,17,test,12,0.5,0.43456482887268066,40,0.55,0.005172878690063954
light,17,test,13,0.9166666666666666,0.8655151724815369,17,0.9411764705882353,0.04830282718381461
light,17,test,14,0.625,0.48911669850349426,46,0.6086956521739131,0.0072728920242060785
light,17,test,15,0.875,0.507234513759613,44,0.7272727272727273,0.0016070612155917015
light,17,test,16,0.3333333333333333,0.29482951760292053,93,0.43010752688172044,0.0
light,17,test,17,0.9583333333333334,0.7445171475410461,31,0.9354838709677419,0.037953409156010996
light,17,test,18,0.75,0.23294921219348907,75,0.7066666666666667,0.0
light,17,test,19,0.7916666666666666,0.42504575848579407,31,1.0,0.004835712573220653
light,23,train,0,0.875,0.390710711479187,32,0.90625,0.005723035312257707
light,23,train,1,0.9166666666666666,0.964735209941864,26,1.0,0.03631343943281816
light,23,train,2,1.0,0.6615673899650574,26,1.0,0.01629290794237302
light,23,train,3,0.3333333333333333,0.2768109142780304,82,0.32926829268292684,0.0
light,23,train,4,0.9583333333333334,0.37159886956214905,43,0.9534883720930233,0.004049818118124507
light,23,train,5,0.7083333333333334,0.37387093901634216,42,0.7619047619047619,0.007043413906579926
light,23,train,6,0.5833333333333334,0.3762497901916504,50,0.64,0.0073800463974475865
light,23,train,7,0.5416666666666666,0.27110281586647034,83,0.37349397590361444,0.000481927789837481
light,23,train,8,0.7916666666666666,0.3827597200870514,38,0.7894736842105263,0.009093477880876315
light,23,train,9,0.875,1.0137120485305786,16,0.875,0.026957883732393384
light,23,train,10,0.5,0.2469661980867386,79,0.43037974683544306,0.0008860760946062547
light,23,train,11,0.9166666666666666,0.9686262011528015,17,0.9411764705882353,0.07635686568477575
light,23,train,12,0.5,0.3438710868358612,39,0.7435897435897436,0.005781441329954526
light,23,train,13,0.9166666666666666,0.3945680856704712,36,1.0,0.005538996981663836
light,23,train,14,0.875,0.7966272234916687,18,1.0,0.015979668746391933
light,23,train,15,0.8333333333333334,0.9845747947692871,16,0.9375,0.020653992134612054
light,23,train,16,0.4583333333333333,0.2558172047138214,82,0.3902439024390244,0.0
light,23,train,17,0.6666666666666666,0.37556982040405273,30,0.8,0.008261775846282642
light,23,train,18,0.7083333333333334,0.45557379722595215,24,0.75,0.02835049949741612
light,23,train,19,0.875,0.8907535672187805,17,0.9411764705882353,0.039808898945065105
light,23,train,20,0.9583333333333334,1.1739239692687988,20,1.0,0.02586102457717061
light,23,train,21,0.25,0.254709929227829,83,0.3132530120481928,0.0
light,23,train,22,0.8333333333333334,0.3711510896682739,38,0.8157894736842105,0.003853145619168093
light,23,train,23,0.7083333333333334,0.34519442915916443,51,0.8823529411764706,0.004705883270385219
light,23,train,24,1.0,0.787857711315155,25,0.96,0.022802749201655387
light,23,train,25,0.75,0.24903564155101776,73,0.821917808219178,0.0
light,23,train,26,0.5,0.22577746212482452,94,0.5,0.0
light,23,train,27,0.16666666666666666,0.2238801270723343,85,0.36470588235294116,0.0
light,23,train,28,0.625,0.3769586980342865,58,0.6206896551724138,0.009051831824512318
light,23,train,29,0.9583333333333334,0.31496933102607727,36,0.9444444444444444,0.009446514977349175
light,23,train,30,0.875,0.5348796248435974,29,0.896551724137931,0.02270039081059653
light,23,train,31,0.875,0.8966918587684631,26,1.0,0.008905756932038527
light,23,train,32,1.0,0.9417079091072083,21,1.0,0.017885692195878142
light,23,train,33,0.4583333333333333,0.26534488797187805,87,0.5172413793103449,0.0013004267352750931
light,23,train,34,0.5833333333333334,0.3695197105407715,60,0.75,0.008107125634948413
light,23,train,35,0.5416666666666666,0.2760098874568939,75,0.44,0.00045522863666216533
light,23,train,36,1.0,0.7100909352302551,18,1.0,0.029715798743483093
light,23,train,37,0.5,0.26867565512657166,78,0.4230769230769231,0.0
light,23,train,38,0.9166666666666666,1.1385949850082397,18,1.0,0.02176889715095361
light,23,train,39,0.6666666666666666,0.27644073963165283,91,0.6813186813186813,0.0
light,23,test,0,0.9166666666666666,0.30536845326423645,45,1.0,0.0034411745766798657
light,23,test,1,0.6666666666666666,0.2340899109840393,91,0.5824175824175825,0.0003751883958722209
light,23,test,2,0.5833333333333334,0.37193262577056885,36,0.7222222222222222,0.00562295602220628
light,23,test,3,0.2916666666666667,0.2275814265012741,88,0.4659090909090909,0.0005681819113140756
light,23,test,4,0.8333333333333334,0.37614163756370544,36,0.8333333333333334,0.004496364647315608
light,23,test,5,0.4583333333333333,0.24553106725215912,97,0.4020618556701031,0.0006185568024202721
light,23,test,6,0.6666666666666666,0.40570417046546936,42,0.7857142857142857,0.009508133311534212
light,23,test,7,0.3333333333333333,0.259914755821228,85,0.4588235294117647,0.0
light,23,test,8,0.9166666666666666,1.1001189947128296,16,1.0,0.021317013073712587
light,23,test,9,0.7083333333333334,0.4243464171886444,50,0.56,0.00514336496591568
light,23,test,10,0.9166666666666666,0.7887127995491028,15,1.0,0.023097666104634602
light,23,test,11,0.5833333333333334,0.26982763409614563,77,0.45454545454545453,0.0
light,23,test,12,0.625,0.42402514815330505,31,0.7096774193548387,0.008749790639886934
light,23,test,13,0.5,0.24355287849903107,101,0.6237623762376238,0.0
light,23,test,14,0.7083333333333334,0.38264039158821106,40,0.7,0.006496164761483669
light,23,test,15,0.2916666666666667,0.22962874174118042,112,0.5,0.0
light,23,test,16,0.3333333333333333,0.25646618008613586,69,0.4492753623188406,0.0002898552279541458
light,23,test,17,0.875,0.8118548393249512,24,0.75,0.010903508014356097
light,23,test,18,0.9583333333333334,0.8274919986724854,29,1.0,0.05095287756030929
light,23,test,19,0.9583333333333334,0.4779944121837616,30,1.0,0.01642882820839683
medium,9,train,0,1.0,0.405998557806015,49,1.0,0.0031939356454781125
medium,9,train,1,0.5833333333333334,0.2666456699371338,81,0.5679012345679012,0.0006172840517980081
medium,9,train,2,0.7916666666666666,0.4292469322681427,45,0.6888888888888889,0.002327141828007168
medium,9,train,3,0.8333333333333334,0.33090996742248535,44,0.7727272727272727,0.011253191708502445
medium,9,train,4,0.9166666666666666,0.7787200808525085,21,1.0,0.019869194587781316
medium,9,train,5,0.9166666666666666,0.7853100895881653,15,0.9333333333333333,0.0317485557248195
medium,9,train,6,0.8333333333333334,0.271026074886322,73,0.8767123287671232,0.00019372795542625532
medium,9,train,7,0.7916666666666666,1.1998521089553833,26,0.7692307692307693,0.0284222590808685
medium,9,train,8,1.0,0.3991573750972748,49,1.0,0.005502856545606438
medium,9,train,9,0.6666666666666666,0.22533850371837616,80,0.5875,0.0
medium,9,train,10,0.9166666666666666,0.3358650207519531,44,0.8636363636363636,0.0077644662127237425
medium,9,train,11,0.7916666666666666,0.26938605308532715,75,0.6933333333333334,0.0011771238843599956
medium,9,train,12,0.7916666666666666,0.7953006625175476,22,0.9090909090909091,0.026835922913795166
medium,9,train,13,0.9166666666666666,0.40064772963523865,33,0.9696969696969697,0.007161075587977062
medium,9,train,14,0.625,0.26657870411872864,75,0.7066666666666667,0.00013333335518836976
medium,9,train,15,0.875,0.2165582925081253,91,0.9560439560439561,0.0004395605116100102
medium,9,train,16,0.5416666666666666,0.24504421651363373,77,0.6493506493506493,0.0
medium,9,train,17,0.8333333333333334,0.8211522102355957,22,0.9545454545454546,0.04011141923679547
medium,9,train,18,0.625,0.26287582516670227,89,0.6067415730337079,0.0
medium,9,train,19,1.0,0.38949814438819885,46,1.0,0.010135456555239532
medium,9,train,20,1.0,0.9040870070457458,27,1.0,0.033662248506314225
medium,9,train,21,0.5833333333333334,0.2591143846511841,94,0.35106382978723405,0.00021276599232186662
medium,9,train,22,0.8333333333333334,0.3804991543292999,46,0.6521739130434783,0.0062277310568353405
medium,9,train,23,0.625,0.24110937118530273,77,0.6883116883116883,0.0020110760996868084
medium,9,train,24,0.7916666666666666,0.35218167304992676,38,0.9210526315789473,0.005015780708115352
medium,9,train,25,0.9583333333333334,1.115968108177185,16,1.0,0.04688739008270204
medium,9,train,26,0.8333333333333334,0.9050552845001221,11,1.0,0.0478954054415226
medium,9,train,27,1.0,0.6939167976379395,25,1.0,0.035831697285175323
medium,9,train,28,0.875,0.7670232653617859,15,1.0,0.03268691394478083
medium,9,train,29,1.0,1.118815302848816,21,1.0,0.06345548223526705
medium,9,train,30,0.9166666666666666,1.3633655309677124,18,0.8888888888888888,0.026190735606683627
