load_level,seed,split,scenario_index,teacher_k,group_index,group_size
light,9,train,0,3,0,3
light,9,train,0,3,1,17
light,9,train,0,3,2,4
light,9,train,1,3,0,3
light,9,train,1,3,1,4
light,9,train,1,3,2,17
light,9,train,2,3,0,11
light,9,train,2,3,1,8
light,9,train,2,3,2,5
light,9,train,3,2,0,11
light,9,train,3,2,1,13
light,9,train,4,3,0,9
light,9,train,4,3,1,11
light,9,train,4,3,2,4
light,9,train,5,3,0,18
light,9,train,5,3,1,5
light,9,train,5,3,2,1
light,9,train,6,3,0,2
light,9,train,6,3,1,6
light,9,train,6,3,2,16
light,9,train,7,3,0,5
light,9,train,7,3,1,16
light,9,train,7,3,2,3
light,9,train,8,3,0,14
light,9,train,8,3,1,5
light,9,train,8,3,2,5
light,9,train,9,3,0,7
light,9,train,9,3,1,6
light,9,train,9,3,2,11
light,9,train,10,3,0,2
light,9,train,10,3,1,19
light,9,train,10,3,2,3
light,9,train,11,3,0,3
light,9,train,11,3,1,5
light,9,train,11,3,2,16
light,9,train,12,3,0,19
light,9,train,12,3,1,4
light,9,train,12,3,2,1
light,9,train,13,3,0,2
light,9,train,13,3,1,1
light,9,train,13,3,2,21
light,9,train,14,3,0,1
light,9,train,14,3,1,7
light,9,train,14,3,2,16
light,9,train,15,3,0,11
light,9,train,15,3,1,3
light,9,train,15,3,2,10
light,9,train,16,3,0,3
light,9,train,16,3,1,18
light,9,train,16,3,2,3
light,9,train,17,3,0,7
light,9,train,17,3,1,14
light,9,train,17,3,2,3
light,9,train,18,3,0,6
light,9,train,18,3,1,16
light,9,train,18,3,2,2
light,9,train,19,3,0,15
light,9,train,19,3,1,8
light,9,train,19,3,2,1
light,9,train,20,2,0,21
light,9,train,20,2,1,3
light,9,train,21,3,0,10
light,9,train,21,3,1,11
light,9,train,21,3,2,3
light,9,train,22,3,0,11
light,9,train,22,3,1,8
light,9,train,22,3,2,5
light,9,train,23,2,0,19
light,9,train,23,2,1,5
light,9,train,24,2,0,10
light,9,train,24,2,1,14
light,9,train,25,2,0,18
light,9,train,25,2,1,6
light,9,train,26,3,0,13
light,9,train,26,3,1,2
light,9,train,26,3,2,9
light,9,train,27,2,0,16
light,9,train,27,2,1,8
light,9,train,28,2,0,17
light,9,train,28,2,1,7
light,9,train,29,3,0,5
light,9,train,29,3,1,11
light,9,train,29,3,2,8
light,9,train,30,3,0,14
light,9,train,30,3,1,9
light,9,train,30,3,2,1
light,9,train,31,3,0,9
light,9,train,31,3,1,4
light,9,train,31,3,2,11
