load_level,seed,split,scenario_index,dispersion,teacher_k,teacher_group_ids,teacher_utility,no_group_utility,teacher_gain_over_no_group,top1_top2_gap,near_optimal_within_0.001,near_optimal_within_0.005,candidate_count
light,9,train,0,mid,3,0|1|0|0|1|1|1|1|1|2|1|1|2|1|2|1|1|1|1|1|1|1|2|1,0.8881796852750458,0.8833333333333333,0.004846351941712457,0.0,26,277,277
light,9,train,1,low,3,0|0|0|1|1|1|1|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2,0.9173463519417124,0.9125,0.004846351941712457,0.0,2,277,277
light,9,train,2,mid,3,0|0|0|2|2|0|0|1|0|1|0|2|0|0|0|0|1|1|1|1|2|2|1|1,0.8574173104772318,0.8416666666666665,0.015750643810565346,1.1102230246251565e-16,23,105,277
light,9,train,3,mid,2,1|0|1|0|1|0|1|0|1|0|0|0|1|1|1|1|0|1|0|0|0|1|1|1,0.8574173104772317,0.8416666666666667,0.015750643810565013,0.0,23,105,277
light,9,train,4,high,3,0|0|2|1|0|2|0|1|1|1|0|1|2|1|1|0|2|0|1|0|1|0|1|1,0.6431449260308737,0.4101030583591543,0.23304186767171942,0.002200659246499259,1,3,277
light,9,train,5,high,3,1|0|0|1|0|1|1|0|0|0|1|0|0|0|0|0|0|0|0|0|0|2|0|0,0.6867583764425652,0.414269725025821,0.2724886514167442,0.0001534002200211937,2,3,277
light,9,train,6,low,3,0|0|1|1|1|1|1|1|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2,0.9031028612459018,0.8958333333333334,0.007269527912568408,0.0012115879854279754,1,18,277
light,9,train,7,high,3,1|1|2|1|2|1|1|1|1|1|0|1|1|1|1|2|1|0|0|1|0|1|0|1,0.5849031919565932,0.44343639169248766,0.14146680026410557,0.0040836457234959544,1,2,277
light,9,train,8,mid,3,2|0|0|0|0|0|1|0|1|1|2|2|0|0|1|2|0|2|0|0|0|0|0|1,0.8685579399271405,0.8625000000000002,0.006057939927140321,0.0012115879854279754,1,121,277
light,9,train,9,low,3,0|0|0|0|0|0|0|1|1|1|1|1|1|2|2|2|2|2|2|2|2|2|2|2,0.9072695279125685,0.9,0.007269527912568519,0.0012115879854281975,1,84,277
light,9,train,10,mid,3,1|2|1|1|2|0|2|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,0.8810579399271403,0.875,0.006057939927140321,0.0012115879854279754,1,128,277
light,9,train,11,low,3,0|0|0|1|1|1|1|1|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2,0.9060579399271403,0.9,0.006057939927140321,0.0012115879854280864,1,98,277
light,9,train,12,high,3,0|0|1|1|0|0|0|0|0|0|2|0|1|0|0|1|0|0|0|0|0|0|0|0,0.6403723494654988,0.12911306645419182,0.511259283011307,0.007463044435591315,1,1,277
light,9,train,13,mid,3,0|0|2|1|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2,0.8528665236648458,0.8457447783169405,0.007121745347905328,0.0,2,84,277
light,9,train,14,low,3,0|1|1|1|1|1|1|1|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2,0.8834811158979967,0.875,0.008481115897996716,0.0012115879854280864,1,21,277
light,9,train,15,low,3,0|0|0|0|0|0|0|0|0|0|0|1|1|1|2|2|2|2|2|2|2|2|2|2,0.9369680972896175,0.9333333333333332,0.0036347639562842593,0.0012115879854279754,1,277,277
light,9,train,16,low,3,0|0|0|1|2|1|1|1|1|1|1|1|1|1|1|1|2|1|1|1|1|2|1|1,0.9322695279125686,0.9249999999999999,0.00726952791256863,0.0012115879854280864,1,91,277
light,9,train,17,high,3,0|1|0|2|1|2|1|0|1|1|1|1|1|1|1|1|0|2|0|1|0|1|1|0,0.649913237189118,0.42676972502582106,0.22314351216329692,0.009694389638148837,1,1,277
light,9,train,18,low,3,0|0|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|2|2,0.9055260372167578,0.8958333333333334,0.00969270388342447,0.0012115879854279754,1,69,277
light,9,train,19,mid,3,1|0|0|1|1|0|0|0|0|0|0|0|1|2|1|1|0|1|0|0|0|1|0|0,0.8596927038834247,0.8500000000000001,0.00969270388342458,0.0012115879854281975,1,16,277
light,9,train,20,high,2,0|0|0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|1|0|0,0.681165814334097,0.4101030583591543,0.27106275597494267,0.0,4,4,277
light,9,train,21,low,3,0|0|0|0|0|0|0|0|0|0|1|2|1|1|1|1|1|1|1|1|1|2|1|2,0.8990839771438983,0.8833333333333334,0.0157506438105649,0.0012115879854279754,1,51,277
light,9,train,22,mid,3,0|2|2|0|1|0|2|1|0|2|1|0|0|0|0|0|1|2|1|1|0|0|1|1,0.9013593705500913,0.8916666666666667,0.00969270388342458,0.0010638054207648961,1,91,277
light,9,train,23,low,2,1|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|1,0.9102246065938071,0.9041666666666667,0.006057939927140432,0.0,23,145,277
light,9,train,24,mid,2,1|1|1|0|0|1|0|1|0|0|1|0|0|1|1|0|1|1|1|1|1|0|1|0,0.8794622317959933,0.8625000000000002,0.0169622317959931,0.0,23,105,277
light,9,train,25,high,2,0|1|0|1|1|0|0|0|0|1|0|0|0|0|1|1|0|0|0|0|0|0|0|0,0.5999201836845867,0.4226030583591543,0.17731712532543237,0.0015464713210057157,1,3,277
light,9,train,26,high,3,1|0|2|0|2|0|2|0|0|0|0|2|0|2|2|2|0|2|0|0|0|2|0|1,0.5634954325613625,0.10827973312085848,0.455215699440504,0.0022633411738218756,1,7,277
light,9,train,27,high,2,0|0|0|1|1|1|1|0|1|0|0|1|1|0|1|0|0|0|0|0|0|0|0|0,0.7228121305641625,0.41010305835915434,0.31270907220500815,0.005929256474460853,1,1,277
light,9,train,28,high,2,0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|0|0|1|0,0.6952451099959195,0.4226030583591544,0.2726420516367651,0.006824494463854469,1,1,277
light,9,train,29,high,3,1|0|1|1|2|0|0|2|2|2|2|1|2|1|2|1|0|2|1|1|1|0|1|1,0.47284186834378744,0.18327973312085852,0.28956213522292895,0.006002650346146332,1,1,277
light,9,train,30,high,3,1|0|0|0|0|0|1|0|1|0|0|1|0|0|0|1|0|1|0|1|0|1|1|2,0.6462717120140092,0.43510305835915436,0.21116865365485488,0.02216090999081244,1,1,277
light,9,train,31,low,3,0|0|0|0|0|0|0|0|0|1|1|1|1|2|2|2|2|2|2|2|2|2|2|2,0.921513018608379,0.9166666666666666,0.004846351941712346,0.0012115879854280864,1,277,277
light,9,train,32,low,3,0|0|0|1|1|2|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,0.9298463519417123,0.9249999999999999,0.004846351941712346,0.0,2,277,277
light,9,train,33,high,2,0|0|0|0|0|0|0|0|0|0|0|0|1|1|0|1|0|0|0|0|0|0|1|0,0.7627211583239761,0.41843639169248764,0.3442847666314885,0.0072142383315743075,1,1,277
light,9,train,34,low,3,0|0|0|0|0|2|0|0|2|0|0|0|0|0|0|0|0|0|1|1|0|0|1|1,0.9131796852750457,0.9083333333333333,0.004846351941712346,0.0012115879854280864,1,277,277
light,9,train,35,mid,3,0|1|1|1|2|1|1|1|2|1|1|1|1|1|1|1|2|1|1|2|1|1|1|1,0.8893912732604736,0.8833333333333333,0.006057939927140321,0.0012115879854278644,1,120,277
light,9,train,36,low,3,0|1|1|1|1|1|1|1|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2,0.9084811158979965,0.9,0.008481115897996494,0.0012115879854279754,1,16,277
light,9,train,37,high,2,0|0|0|0|0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|1|0|1|0,0.6915839374509268,0.41843639169248764,0.2731475457584392,0.006824494463854691,1,1,277
light,9,train,38,mid,3,0|0|1|1|1|2|1|1|1|1|1|1|1|1|1|2|1|1|1|1|1|1|1|1,0.9006796852750455,0.8958333333333334,0.004846351941712124,0.0012115879854279754,1,277,277
light,9,train,39,high,2,0|0|1|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0,0.7457476912172671,0.43510305835915436,0.3106446328581128,0.0019579059133348897,1,7,277
light,9,test,0,low,3,0|0|0|1|1|1|1|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2,0.8840130186083789,0.8791666666666668,0.004846351941712124,0.0012115879854280864,1,277,277
