scenario_mode,load_level,rb_budget_ratio,seed,test_index,kmax,feature_mode,method,pairwise_accuracy,ari,nmi,teacher_groups,predicted_groups,training_loads
ambiguous,light,0.5,9,0,3,history_cost_quality,Multi-feature k-means,0.5253623188405797,0.0,0.0,3,1,light+medium
ambiguous,light,0.5,9,0,3,history_cost_quality,LE-GRA MVP,0.4855072463768116,-0.013708551032021139,0.06489534914580038,3,3,light+medium
ambiguous,light,0.5,9,1,3,history_cost_quality,Multi-feature k-means,0.8115942028985508,0.6187845303867403,0.5532134008379241,3,2,light+medium
ambiguous,light,0.5,9,1,3,history_cost_quality,LE-GRA MVP,0.7137681159420289,0.4497829817300898,0.5502028916079095,3,3,light+medium
ambiguous,light,0.5,9,2,3,history_cost_quality,Multi-feature k-means,0.4855072463768116,-0.03196587498025177,0.07616191456978497,3,2,light+medium
ambiguous,light,0.5,9,2,3,history_cost_quality,LE-GRA MVP,0.5181159420289855,0.035117232677951804,0.10752855553990598,3,2,light+medium
ambiguous,light,0.5,9,3,3,history_cost_quality,Multi-feature k-means,0.8623188405797102,0.7091352820455933,0.7727737058147917,3,3,light+medium
ambiguous,light,0.5,9,3,3,history_cost_quality,LE-GRA MVP,0.5543478260869565,0.09875756610385474,0.10967091630647904,3,2,light+medium
ambiguous,light,0.5,9,4,3,history_cost_quality,Multi-feature k-means,0.8152173913043478,0.601427115188583,0.7290394147377214,3,3,light+medium
ambiguous,light,0.5,9,4,3,history_cost_quality,LE-GRA MVP,1.0,1.0,0.9999999999999998,3,3,light+medium
ambiguous,light,0.5,9,5,3,history_cost_quality,Multi-feature k-means,0.8840579710144928,0.7688442211055276,0.8261230797267559,3,2,light+medium
ambiguous,light,0.5,9,5,3,history_cost_quality,LE-GRA MVP,0.5362318840579711,0.07226890756302522,0.2902021120278643,3,2,light+medium
ambiguous,light,0.5,9,6,3,history_cost_quality,Multi-feature k-means,0.6304347826086957,0.24114507520621062,0.4265383288322028,3,3,light+medium
ambiguous,light,0.5,9,6,3,history_cost_quality,LE-GRA MVP,0.8478260869565217,0.689372420815692,0.6604718790865706,3,3,light+medium
ambiguous,light,0.5,9,7,3,history_cost_quality,Multi-feature k-means,0.37318840579710144,0.0,0.0,3,1,light+medium
ambiguous,light,0.5,9,7,3,history_cost_quality,LE-GRA MVP,0.6304347826086957,0.25401452117229323,0.30844237503276806,3,2,light+medium
ambiguous,light,0.5,9,8,3,history_cost_quality,Multi-feature k-means,0.4927536231884058,0.0,0.0,3,1,light+medium
ambiguous,light,0.5,9,8,3,history_cost_quality,LE-GRA MVP,0.5833333333333334,0.16306296804134587,0.18260671967220496,3,3,light+medium
