scenario_mode,load_level,rb_budget_ratio,seed,test_index,kmax,feature_mode,method,pairwise_accuracy,ari,nmi,teacher_groups,predicted_groups
ambiguous,light,0.5,9,0,3,history_cost,Multi-feature k-means,0.5253623188405797,0.0,0.0,3,1
ambiguous,light,0.5,9,0,3,history_cost,LE-GRA MVP,0.5253623188405797,0.0,0.0,3,1
ambiguous,light,0.5,9,1,3,history_cost,Multi-feature k-means,0.8115942028985508,0.6187845303867403,0.5532134008379241,3,2
ambiguous,light,0.5,9,1,3,history_cost,LE-GRA MVP,0.9710144927536232,0.9399477806788512,0.8828570207618651,3,2
ambiguous,light,0.5,9,2,3,history_cost,Multi-feature k-means,0.4855072463768116,-0.03196587498025177,0.07616191456978497,3,2
ambiguous,light,0.5,9,2,3,history_cost,LE-GRA MVP,0.5144927536231884,0.026173047553846925,0.12274660469503254,3,2
ambiguous,light,0.5,9,3,3,history_cost,Multi-feature k-means,0.8623188405797102,0.7091352820455933,0.7727737058147917,3,3
ambiguous,light,0.5,9,3,3,history_cost,LE-GRA MVP,0.6666666666666666,0.27030289097074545,0.38709444508266505,3,3
ambiguous,light,0.5,9,4,3,history_cost,Multi-feature k-means,0.8152173913043478,0.601427115188583,0.7290394147377214,3,3
ambiguous,light,0.5,9,4,3,history_cost,LE-GRA MVP,0.8695652173913043,0.731212465508846,0.7806034428048458,3,3
ambiguous,light,0.5,9,5,3,history_cost,Multi-feature k-means,0.8840579710144928,0.7688442211055276,0.8261230797267559,3,2
ambiguous,light,0.5,9,5,3,history_cost,LE-GRA MVP,0.7536231884057971,0.507763323541754,0.5320843724588034,3,2
ambiguous,light,0.5,9,6,3,history_cost,Multi-feature k-means,0.6304347826086957,0.24114507520621062,0.4265383288322028,3,3
ambiguous,light,0.5,9,6,3,history_cost,LE-GRA MVP,0.5942028985507246,0.17165978884184577,0.3861630906075212,3,3
ambiguous,light,0.5,9,7,3,history_cost,Multi-feature k-means,0.37318840579710144,0.0,0.0,3,1
ambiguous,light,0.5,9,7,3,history_cost,LE-GRA MVP,0.37318840579710144,0.0,0.0,3,1
ambiguous,light,0.5,9,8,3,history_cost,Multi-feature k-means,0.4927536231884058,0.0,0.0,3,1
ambiguous,light,0.5,9,8,3,history_cost,LE-GRA MVP,0.4927536231884058,0.0,0.0,3,1
ambiguous,light,0.5,9,9,3,history_cost,Multi-feature k-means,0.5579710144927537,0.10394379690244294,0.32854590134864414,3,3
ambiguous,light,0.5,9,9,3,history_cost,LE-GRA MVP,0.644927536231884,0.29175176747839743,0.2926543436748511,3,2
ambiguous,light,0.5,9,10,3,history_cost,Multi-feature k-means,0.6014492753623188,0.2301840864141184,0.40151504161819535,3,3
ambiguous,light,0.5,9,10,3,history_cost,LE-GRA MVP,0.605072463768116,0.2587957031634966,0.43958208996303144,3,3
ambiguous,light,0.5,9,11,3,history_cost,Multi-feature k-means,0.8007246376811594,0.5961477067149091,0.735621080980445,3,3
ambiguous,light,0.5,9,11,3,history_cost,LE-GRA MVP,0.48188405797101447,0.0,0.0,3,1
ambiguous,light,0.5,9,12,3,history_cost,Multi-feature k-means,0.4782608695652174,-0.05764010857416568,0.0028880029419294066,3,2
ambiguous,light,0.5,9,12,3,history_cost,LE-GRA MVP,0.5362318840579711,-0.023466017729880093,0.057170649997980376,3,3
ambiguous,light,0.5,9,13,3,history_cost,Multi-feature k-means,0.9420289855072463,0.8824969400244798,0.8428345581204094,3,3
ambiguous,light,0.5,9,13,3,history_cost,LE-GRA MVP,0.7391304347826086,0.46560533534125753,0.5279797468008878,3,3
ambiguous,light,0.5,9,14,3,history_cost,Multi-feature k-means,0.37318840579710144,0.0,0.0,3,1
ambiguous,light,0.5,9,14,3,history_cost,LE-GRA MVP,0.7391304347826086,0.42893269728145295,0.4451246999292748,3,3
ambiguous,light,0.5,9,15,3,history_cost,Multi-feature k-means,0.8478260869565217,0.6915216349992016,0.7251757027253889,3,3
ambiguous,light,0.5,9,15,3,history_cost,LE-GRA MVP,0.6159420289855072,0.257047082127076,0.35508391919228643,3,2
ambiguous,light,0.5,9,16,3,history_cost,Multi-feature k-means,0.39492753623188404,0.04078914509281609,0.20060079389023006,3,2
ambiguous,light,0.5,9,16,3,history_cost,LE-GRA MVP,0.572463768115942,0.06985777117724334,0.27444705655010854,3,3
ambiguous,light,0.5,9,17,3,history_cost,Multi-feature k-means,0.7753623188405797,0.5479951397326852,0.5779764908176217,3,2
ambiguous,light,0.5,9,17,3,history_cost,LE-GRA MVP,0.7028985507246377,0.3700384122919334,0.465731608949544,3,3
ambiguous,light,0.5,9,18,3,history_cost,Multi-feature k-means,0.7681159420289855,0.5232903330274734,0.6079168322989245,3,3
ambiguous,light,0.5,9,18,3,history_cost,LE-GRA MVP,0.9166666666666666,0.8342904876266054,0.7821461328562928,3,2
