scenario_mode,load_level,rb_budget_ratio,seed,test_index,kmax,feature_mode,method,pairwise_accuracy,ari,nmi,teacher_groups,predicted_groups
ambiguous,light,0.5,9,0,3,history_cost,Multi-feature k-means,0.5253623188405797,0.0,0.0,3,1
ambiguous,light,0.5,9,0,3,history_cost,LE-GRA MVP,0.5253623188405797,0.0,0.0,3,1
ambiguous,light,0.5,9,1,3,history_cost,Multi-feature k-means,0.8115942028985508,0.6187845303867403,0.5532134008379241,3,2
ambiguous,light,0.5,9,1,3,history_cost,LE-GRA MVP,0.8876811594202898,0.7703210565875658,0.6708598678481897,3,2
ambiguous,light,0.5,9,2,3,history_cost,Multi-feature k-means,0.4855072463768116,-0.03196587498025177,0.07616191456978497,3,2
ambiguous,light,0.5,9,2,3,history_cost,LE-GRA MVP,0.4927536231884058,-0.003479977146418746,0.012396372321626468,3,2
ambiguous,light,0.5,9,3,3,history_cost,Multi-feature k-means,0.8623188405797102,0.7091352820455933,0.7727737058147917,3,3
ambiguous,light,0.5,9,3,3,history_cost,LE-GRA MVP,0.6521739130434783,0.24765744789596225,0.3801910247703505,3,3
ambiguous,light,0.5,9,4,3,history_cost,Multi-feature k-means,0.8152173913043478,0.601427115188583,0.7290394147377214,3,3
ambiguous,light,0.5,9,4,3,history_cost,LE-GRA MVP,0.7246376811594203,0.4668293426872045,0.5231707074689391,3,2
ambiguous,light,0.5,9,5,3,history_cost,Multi-feature k-means,0.8840579710144928,0.7688442211055276,0.8261230797267559,3,2
ambiguous,light,0.5,9,5,3,history_cost,LE-GRA MVP,0.7536231884057971,0.507763323541754,0.5320843724588034,3,2
ambiguous,light,0.5,9,6,3,history_cost,Multi-feature k-means,0.6304347826086957,0.24114507520621062,0.4265383288322028,3,3
ambiguous,light,0.5,9,6,3,history_cost,LE-GRA MVP,0.6304347826086957,0.24114507520621062,0.4265383288322028,3,3
ambiguous,light,0.5,9,7,3,history_cost,Multi-feature k-means,0.37318840579710144,0.0,0.0,3,1
ambiguous,light,0.5,9,7,3,history_cost,LE-GRA MVP,0.717391304347826,0.3737855605328989,0.5468353996572253,3,3
ambiguous,light,0.5,9,8,3,history_cost,Multi-feature k-means,0.4927536231884058,0.0,0.0,3,1
ambiguous,light,0.5,9,8,3,history_cost,LE-GRA MVP,0.4927536231884058,0.0,0.0,3,1
ambiguous,light,0.5,9,9,3,history_cost,Multi-feature k-means,0.5579710144927537,0.10394379690244294,0.32854590134864414,3,3
ambiguous,light,0.5,9,9,3,history_cost,LE-GRA MVP,0.6086956521739131,0.20098643649815043,0.2822110543214443,3,3
ambiguous,light,0.5,9,10,3,history_cost,Multi-feature k-means,0.6014492753623188,0.2301840864141184,0.40151504161819535,3,3
ambiguous,light,0.5,9,10,3,history_cost,LE-GRA MVP,0.605072463768116,0.2587957031634966,0.43958208996303144,3,3
ambiguous,light,0.5,9,11,3,history_cost,Multi-feature k-means,0.8007246376811594,0.5961477067149091,0.735621080980445,3,3
ambiguous,light,0.5,9,11,3,history_cost,LE-GRA MVP,0.48188405797101447,0.0,0.0,3,1
ambiguous,light,0.5,9,12,3,history_cost,Multi-feature k-means,0.4782608695652174,-0.05764010857416568,0.0028880029419294066,3,2
ambiguous,light,0.5,9,12,3,history_cost,LE-GRA MVP,0.4384057971014493,-0.03966170895304757,0.017545646239266983,3,2
ambiguous,light,0.5,9,13,3,history_cost,Multi-feature k-means,0.9420289855072463,0.8824969400244798,0.8428345581204094,3,3
ambiguous,light,0.5,9,13,3,history_cost,LE-GRA MVP,0.7608695652173914,0.5269308679166883,0.5204208250521145,3,2
ambiguous,light,0.5,9,14,3,history_cost,Multi-feature k-means,0.37318840579710144,0.0,0.0,3,1
ambiguous,light,0.5,9,14,3,history_cost,LE-GRA MVP,0.37318840579710144,0.0,0.0,3,1
ambiguous,light,0.5,9,15,3,history_cost,Multi-feature k-means,0.8478260869565217,0.6915216349992016,0.7251757027253889,3,3
ambiguous,light,0.5,9,15,3,history_cost,LE-GRA MVP,0.7971014492753623,0.5826988498299044,0.5996661917697035,3,3
ambiguous,light,0.5,9,16,3,history_cost,Multi-feature k-means,0.39492753623188404,0.04078914509281609,0.20060079389023006,3,2
ambiguous,light,0.5,9,16,3,history_cost,LE-GRA MVP,0.5579710144927537,0.02653946227233301,0.1867495209352275,3,3
ambiguous,light,0.5,9,17,3,history_cost,Multi-feature k-means,0.7753623188405797,0.5479951397326852,0.5779764908176217,3,2
ambiguous,light,0.5,9,17,3,history_cost,LE-GRA MVP,0.7753623188405797,0.5479951397326852,0.5779764908176217,3,2
ambiguous,light,0.5,9,18,3,history_cost,Multi-feature k-means,0.7681159420289855,0.5232903330274734,0.6079168322989245,3,3
ambiguous,light,0.5,9,18,3,history_cost,LE-GRA MVP,0.9166666666666666,0.8342904876266054,0.7821461328562928,3,2
