timestamp_s,ue_id,serving_gnb,rb_index,rate_kbps,sinr_db,cqi
0.0,veh0,gnb_0,0,100,4.0,7
0.0,veh0,gnb_0,1,110,5.0,8
0.0,veh0,gnb_0,2,120,6.0,9
0.0,veh0,gnb_0,3,105,4.5,8
0.0,veh1,gnb_0,0,140,7.0,10
0.0,veh1,gnb_0,1,150,8.0,11
0.0,veh1,gnb_0,2,145,7.5,10
0.0,veh1,gnb_0,3,155,8.5,11
0.1,veh0,gnb_0,0,115,5.0,8
0.1,veh0,gnb_0,1,125,6.0,9
0.1,veh0,gnb_0,2,130,6.5,9
0.1,veh0,gnb_0,3,120,5.5,8
0.1,veh1,gnb_0,0,130,6.0,9
0.1,veh1,gnb_0,1,140,7.0,10
0.1,veh1,gnb_0,2,135,6.5,9
0.1,veh1,gnb_0,3,145,7.5,10
0.2,veh0,gnb_0,0,135,6.0,9
0.2,veh0,gnb_0,1,145,7.0,10
0.2,veh0,gnb_0,2,150,7.5,10
0.2,veh0,gnb_0,3,140,6.5,9
0.2,veh1,gnb_0,0,115,5.0,8
0.2,veh1,gnb_0,1,125,6.0,9
0.2,veh1,gnb_0,2,120,5.5,8
0.2,veh1,gnb_0,3,130,6.5,9
0.3,veh0,gnb_0,0,150,7.0,10
0.3,veh0,gnb_0,1,160,8.0,11
0.3,veh0,gnb_0,2,165,8.5,11
0.3,veh0,gnb_0,3,155,7.5,10
0.3,veh1,gnb_0,0,100,4.0,7
0.3,veh1,gnb_0,1,110,5.0,8
0.3,veh1,gnb_0,2,105,4.5,7
0.3,veh1,gnb_0,3,115,5.5,8
0.4,veh0,gnb_0,0,170,8.0,11
0.4,veh0,gnb_0,1,180,9.0,12
0.4,veh0,gnb_0,2,185,9.5,12
0.4,veh0,gnb_0,3,175,8.5,11
0.4,veh1,gnb_0,0,85,3.0,6
0.4,veh1,gnb_0,1,95,4.0,7
0.4,veh1,gnb_0,2,90,3.5,6
0.4,veh1,gnb_0,3,100,4.5,7
0.5,veh0,gnb_0,0,190,9.0,12
0.5,veh0,gnb_0,1,200,10.0,13
0.5,veh0,gnb_0,2,205,10.5,13
0.5,veh0,gnb_0,3,195,9.5,12
0.5,veh1,gnb_0,0,70,2.0,5
0.5,veh1,gnb_0,1,80,3.0,6
0.5,veh1,gnb_0,2,75,2.5,5
0.5,veh1,gnb_0,3,85,3.5,6
