timestamp_s,ue_id,serving_gnb,wideband_cqi,previous_quality,total_rbs,rb_available,wideband_sinr_db,rsrp_dbm,rsrq_db,mcs
0.0,veh0,gnb_0,8,2,4,3,5.0,-95,-12,10
0.0,veh1,gnb_0,10,3,4,3,8.0,-90,-10,14
0.1,veh0,gnb_0,9,2,4,3,6.0,-94,-12,11
0.1,veh1,gnb_0,9,3,4,3,7.0,-91,-10,13
0.2,veh0,gnb_0,10,3,4,3,7.0,-93,-11,13
0.2,veh1,gnb_0,8,2,4,3,6.0,-92,-11,11
0.3,veh0,gnb_0,11,3,4,3,8.0,-92,-10,15
0.3,veh1,gnb_0,7,2,4,3,5.0,-93,-12,9
0.4,veh0,gnb_0,12,4,4,3,9.0,-91,-9,17
0.4,veh1,gnb_0,6,1,4,3,4.0,-94,-13,7
0.5,veh0,gnb_0,13,4,4,2,10.0,-90,-8,19
0.5,veh1,gnb_0,5,1,4,2,3.0,-95,-14,5
