scenario_id,ue_id,user_index,rb_index,rate_kbps,sinr_db,cqi
simu5g_00000000,veh0,0,0,170.0,8.0,11.0
simu5g_00000000,veh0,0,1,180.0,9.0,12.0
simu5g_00000000,veh0,0,2,185.0,9.5,12.0
simu5g_00000000,veh0,0,3,175.0,8.5,11.0
simu5g_00000000,veh1,1,0,85.0,3.0,6.0
simu5g_00000000,veh1,1,1,95.0,4.0,7.0
simu5g_00000000,veh1,1,2,90.0,3.5,6.0
simu5g_00000000,veh1,1,3,100.0,4.5,7.0
simu5g_00000001,veh0,0,0,190.0,9.0,12.0
simu5g_00000001,veh0,0,1,200.0,10.0,13.0
simu5g_00000001,veh0,0,2,205.0,10.5,13.0
simu5g_00000001,veh0,0,3,195.0,9.5,12.0
simu5g_00000001,veh1,1,0,70.0,2.0,5.0
simu5g_00000001,veh1,1,1,80.0,3.0,6.0
simu5g_00000001,veh1,1,2,75.0,2.5,5.0
simu5g_00000001,veh1,1,3,85.0,3.5,6.0
