timestamp_s,ue_id,serving_gnb,wideband_cqi,previous_quality,total_rbs,rb_available,wideband_sinr_db,rsrp_dbm,rsrq_db,mcs
0.0,ue_2049,gnb_1,14.500000,3,6,3,,,,
0.0,ue_2050,gnb_1,15.000000,3,6,3,,,,
0.0,ue_2051,gnb_1,14.500000,3,6,3,,,,
0.0,ue_2052,gnb_1,13.333333,3,6,3,,,,
0.0,ue_2053,gnb_1,15.000000,3,6,3,,,,
0.1,ue_2049,gnb_1,14.500000,3,6,3,,,,
0.1,ue_2050,gnb_1,15.000000,3,6,3,,,,
0.1,ue_2051,gnb_1,14.500000,3,6,3,,,,
0.1,ue_2052,gnb_1,13.333333,3,6,3,,,,
0.1,ue_2053,gnb_1,15.000000,3,6,3,,,,
0.2,ue_2049,gnb_1,14.500000,3,6,3,,,,
0.2,ue_2050,gnb_1,15.000000,3,6,3,,,,
0.2,ue_2051,gnb_1,14.500000,3,6,3,,,,
0.2,ue_2052,gnb_1,13.333333,3,6,3,,,,
0.2,ue_2053,gnb_1,15.000000,3,6,3,,,,
0.3,ue_2049,gnb_1,14.500000,3,6,3,,,,
0.3,ue_2050,gnb_1,15.000000,3,6,3,,,,
0.3,ue_2051,gnb_1,14.500000,3,6,3,,,,
0.3,ue_2052,gnb_1,13.333333,3,6,3,,,,
0.3,ue_2053,gnb_1,15.000000,3,6,3,,,,
0.4,ue_2049,gnb_1,14.500000,3,6,3,,,,
0.4,ue_2050,gnb_1,15.000000,3,6,3,,,,
0.4,ue_2051,gnb_1,14.500000,3,6,3,,,,
0.4,ue_2052,gnb_1,13.333333,3,6,3,,,,
0.4,ue_2053,gnb_1,15.000000,3,6,3,,,,
0.5,ue_2049,gnb_1,14.500000,3,6,3,,,,
0.5,ue_2050,gnb_1,15.000000,3,6,3,,,,
0.5,ue_2051,gnb_1,14.500000,3,6,3,,,,
0.5,ue_2052,gnb_1,13.333333,3,6,3,,,,
0.5,ue_2053,gnb_1,15.000000,3,6,3,,,,
0.6,ue_2049,gnb_1,14.500000,3,6,3,,,,
0.6,ue_2050,gnb_1,15.000000,3,6,3,,,,
0.6,ue_2051,gnb_1,14.500000,3,6,3,,,,
0.6,ue_2052,gnb_1,13.333333,3,6,3,,,,
0.6,ue_2053,gnb_1,15.000000,3,6,3,,,,
0.7,ue_2049,gnb_1,14.500000,3,6,3,,,,
0.7,ue_2050,gnb_1,15.000000,3,6,3,,,,
0.7,ue_2051,gnb_1,14.500000,3,6,3,,,,
0.7,ue_2052,gnb_1,13.333333,3,6,3,,,,
0.7,ue_2053,gnb_1,15.000000,3,6,3,,,,
