timestamp_s,ue_node_id,gnb_node_id,band_index,cqi,tbs_bits_per_slot,total_bands
0.002,2049,1,0,15,1160,6
0.002,2049,1,1,15,1160,6
0.002,2049,1,2,15,1160,6
0.002,2049,1,3,15,1160,6
0.002,2049,1,4,15,1160,6
0.002,2049,1,5,15,1160,6
0.008,2049,1,0,15,1160,6
0.008,2049,1,1,15,1160,6
0.008,2049,1,2,15,1160,6
0.008,2049,1,3,15,1160,6
0.008,2049,1,4,15,1160,6
0.008,2049,1,5,15,1160,6
0.014,2049,1,0,15,1160,6
0.014,2049,1,1,15,1160,6
0.014,2049,1,2,15,1160,6
0.014,2049,1,3,15,1160,6
0.014,2049,1,4,15,1160,6
0.014,2049,1,5,15,1160,6
0.02,2049,1,0,15,1160,6
0.02,2049,1,1,15,1160,6
0.02,2049,1,2,15,1160,6
0.02,2049,1,3,15,1160,6
0.02,2049,1,4,15,1160,6
0.02,2049,1,5,15,1160,6
0.026,2049,1,0,15,1160,6
0.026,2049,1,1,15,1160,6
0.026,2049,1,2,15,1160,6
0.026,2049,1,3,15,1160,6
0.026,2049,1,4,15,1160,6
0.026,2049,1,5,15,1160,6
0.032,2049,1,0,15,1160,6
0.032,2049,1,1,15,1160,6
0.032,2049,1,2,15,1160,6
0.032,2049,1,3,15,1160,6
0.032,2049,1,4,15,1160,6
0.032,2049,1,5,15,1160,6
0.038,2049,1,0,15,1160,6
0.038,2049,1,1,15,1160,6
0.038,2049,1,2,15,1160,6
0.038,2049,1,3,15,1160,6
0.038,2049,1,4,15,1160,6
0.038,2049,1,5,15,1160,6
0.044,2049,1,0,15,1160,6
0.044,2049,1,1,15,1160,6
0.044,2049,1,2,15,1160,6
0.044,2049,1,3,15,1160,6
0.044,2049,1,4,15,1160,6
0.044,2049,1,5,15,1160,6
0.05,2049,1,0,15,1160,6
0.05,2049,1,1,15,1160,6
0.05,2049,1,2,15,1160,6
0.05,2049,1,3,15,1160,6
0.05,2049,1,4,15,1160,6
0.05,2049,1,5,15,1160,6
0.056,2049,1,0,15,1160,6
0.056,2049,1,1,15,1160,6
0.056,2049,1,2,15,1160,6
0.056,2049,1,3,15,1160,6
0.056,2049,1,4,15,1160,6
0.056,2049,1,5,15,1160,6
0.062,2049,1,0,15,1160,6
0.062,2049,1,1,15,1160,6
0.062,2049,1,2,15,1160,6
0.062,2049,1,3,15,1160,6
0.062,2049,1,4,15,1160,6
0.062,2049,1,5,15,1160,6
0.068,2049,1,0,15,1160,6
0.068,2049,1,1,15,1160,6
0.068,2049,1,2,15,1160,6
0.068,2049,1,3,15,1160,6
0.068,2049,1,4,15,1160,6
0.068,2049,1,5,15,1160,6
