scenario_id,timestamp_s,ue_id_a,ue_id_b,cqi_a,cqi_b,cqi_gap,mean_profile_gap_kbps,max_profile_gap_kbps,ambiguous_pair
simu5g_00000034,3.9,0,16,15,15,0.000000,3.840000,32.000000,1
simu5g_00000036,4.0,0,16,15,15,0.000000,3.840000,32.000000,1
simu5g_00000038,4.1,0,16,15,15,0.000000,3.840000,32.000000,1
simu5g_00000040,4.2,0,16,15,15,0.000000,3.840000,32.000000,1
simu5g_00000042,4.3,0,16,15,15,0.000000,2.560000,32.000000,1
simu5g_00000044,4.4,0,16,15,15,0.000000,2.560000,32.000000,1
simu5g_00000046,4.5,0,16,15,15,0.000000,2.560000,32.000000,1
simu5g_00000048,4.6,0,16,15,15,0.000000,2.560000,32.000000,1
simu5g_00000050,4.7,0,16,15,15,0.000000,2.560000,32.000000,1
simu5g_00000051,4.8,11,23,14,15,1.000000,69.120000,352.000000,0
simu5g_00000052,4.8,0,16,15,15,0.000000,2.560000,32.000000,1
simu5g_00000053,4.9,11,23,14,15,1.000000,69.120000,352.000000,0
simu5g_00000054,4.9,0,16,15,15,0.000000,2.560000,32.000000,1
simu5g_00000055,5.0,11,23,14,15,1.000000,69.120000,352.000000,0
simu5g_00000056,5.0,0,16,15,15,0.000000,2.560000,32.000000,1
simu5g_00000057,5.1,11,23,14,15,1.000000,69.120000,352.000000,0
simu5g_00000058,5.1,0,16,15,15,0.000000,2.560000,32.000000,1
simu5g_00000059,5.2,11,23,14,15,1.000000,69.120000,352.000000,0
simu5g_00000060,5.2,0,16,15,15,0.000000,2.560000,32.000000,1
simu5g_00000061,5.3,11,23,14,15,1.000000,69.120000,352.000000,0
simu5g_00000062,5.3,0,16,15,15,0.000000,2.560000,32.000000,1
simu5g_00000063,5.4,11,23,14,15,1.000000,69.120000,352.000000,0
simu5g_00000064,5.4,0,16,15,15,0.000000,2.560000,32.000000,1
simu5g_00000065,5.5,11,23,14,15,1.000000,69.120000,352.000000,0
simu5g_00000066,5.5,0,16,15,15,0.000000,2.560000,32.000000,1
simu5g_00000067,5.6,11,23,14,15,1.000000,69.120000,352.000000,0
simu5g_00000068,5.6,0,16,15,15,0.000000,32.640000,272.000000,1
simu5g_00000069,5.7,11,23,14,15,1.000000,65.920000,352.000000,0
simu5g_00000070,5.7,0,16,15,15,0.000000,32.640000,272.000000,1
simu5g_00000071,5.8,11,23,14,15,1.000000,65.920000,352.000000,0
simu5g_00000072,5.8,0,1,15,14,1.000000,95.360000,696.000000,0
simu5g_00000072,5.8,0,16,15,15,0.000000,32.640000,272.000000,1
simu5g_00000072,5.8,1,16,14,15,1.000000,92.160000,728.000000,0
simu5g_00000073,5.9,11,23,15,15,0.000000,24.960000,176.000000,1
simu5g_00000074,5.9,0,1,15,14,1.000000,95.360000,696.000000,0
simu5g_00000074,5.9,0,16,15,15,0.000000,32.640000,272.000000,1
simu5g_00000074,5.9,1,16,14,15,1.000000,92.160000,728.000000,0
simu5g_00000075,6.0,11,23,15,15,0.000000,24.960000,176.000000,1
simu5g_00000076,6.0,0,1,15,14,1.000000,95.360000,696.000000,0
simu5g_00000076,6.0,0,16,15,15,0.000000,32.640000,272.000000,1
simu5g_00000076,6.0,1,16,14,15,1.000000,92.160000,728.000000,0
simu5g_00000077,6.1,11,23,15,15,0.000000,24.960000,176.000000,1
simu5g_00000078,6.1,0,1,15,14,1.000000,95.360000,696.000000,0
simu5g_00000078,6.1,0,16,15,15,0.000000,32.640000,272.000000,1
simu5g_00000078,6.1,1,16,14,15,1.000000,92.160000,728.000000,0
simu5g_00000079,6.2,11,23,15,15,0.000000,24.960000,176.000000,1
simu5g_00000080,6.2,0,1,15,14,1.000000,95.360000,696.000000,0
simu5g_00000080,6.2,0,16,15,15,0.000000,32.640000,272.000000,1
simu5g_00000080,6.2,1,16,14,15,1.000000,92.160000,728.000000,0
simu5g_00000081,6.3,11,23,15,15,0.000000,24.960000,176.000000,1
simu5g_00000082,6.3,0,1,15,14,1.000000,91.520000,696.000000,0
simu5g_00000082,6.3,0,16,15,15,0.000000,28.800000,272.000000,1
simu5g_00000082,6.3,1,16,14,15,1.000000,92.160000,728.000000,0
simu5g_00000083,6.4,11,23,15,15,0.000000,24.960000,176.000000,1
simu5g_00000084,6.4,0,1,15,14,1.000000,91.520000,696.000000,0
simu5g_00000084,6.4,0,16,15,15,0.000000,28.800000,272.000000,1
simu5g_00000084,6.4,1,16,14,15,1.000000,92.160000,728.000000,0
simu5g_00000085,6.5,11,23,15,15,0.000000,24.960000,176.000000,1
simu5g_00000086,6.5,0,1,15,14,1.000000,91.520000,696.000000,0
simu5g_00000086,6.5,0,16,15,15,0.000000,28.800000,272.000000,1
simu5g_00000086,6.5,1,16,14,15,1.000000,92.160000,728.000000,0
simu5g_00000087,6.6,11,23,15,15,0.000000,24.960000,176.000000,1
simu5g_00000088,6.6,0,1,15,14,1.000000,91.520000,696.000000,0
simu5g_00000088,6.6,0,16,15,15,0.000000,28.800000,272.000000,1
simu5g_00000088,6.6,1,16,14,15,1.000000,92.160000,728.000000,0
simu5g_00000089,6.7,11,23,15,15,0.000000,24.960000,176.000000,1
simu5g_00000090,6.7,0,1,14,14,0.000000,112.640000,600.000000,1
simu5g_00000090,6.7,0,16,14,15,1.000000,71.680000,456.000000,0
simu5g_00000090,6.7,1,16,14,15,1.000000,92.160000,728.000000,0
simu5g_00000091,6.8,11,23,15,15,0.000000,24.960000,176.000000,1
simu5g_00000092,6.8,0,1,14,14,0.000000,112.640000,600.000000,1
simu5g_00000092,6.8,0,16,14,15,1.000000,71.680000,456.000000,0
simu5g_00000092,6.8,1,16,14,15,1.000000,92.160000,728.000000,0
simu5g_00000093,6.9,11,23,15,15,0.000000,23.680000,176.000000,1
simu5g_00000094,6.9,0,1,14,14,0.000000,112.640000,600.000000,1
simu5g_00000094,6.9,0,16,14,15,1.000000,71.680000,456.000000,0
simu5g_00000094,6.9,1,16,14,15,1.000000,92.160000,728.000000,0
simu5g_00000095,7.0,11,23,15,15,0.000000,23.680000,176.000000,1
simu5g_00000096,7.0,0,1,14,14,0.000000,112.640000,600.000000,1
simu5g_00000096,7.0,0,16,14,15,1.000000,71.680000,456.000000,0
simu5g_00000096,7.0,1,16,14,15,1.000000,92.160000,728.000000,0
simu5g_00000097,7.1,11,23,15,15,0.000000,23.680000,176.000000,1
simu5g_00000098,7.1,0,1,14,14,0.000000,112.640000,600.000000,1
simu5g_00000098,7.1,0,16,14,15,1.000000,71.680000,456.000000,0
simu5g_00000098,7.1,1,16,14,15,1.000000,92.160000,728.000000,0
simu5g_00000099,7.2,11,23,15,15,0.000000,23.680000,176.000000,1
simu5g_00000100,7.2,0,1,14,14,0.000000,112.640000,600.000000,1
simu5g_00000100,7.2,0,16,14,15,1.000000,71.680000,456.000000,0
simu5g_00000100,7.2,1,16,14,15,1.000000,92.160000,728.000000,0
simu5g_00000101,7.3,11,23,15,15,0.000000,23.680000,176.000000,1
simu5g_00000102,7.3,0,1,14,14,0.000000,112.640000,600.000000,1
simu5g_00000102,7.3,0,16,14,15,1.000000,71.680000,456.000000,0
simu5g_00000102,7.3,1,16,14,15,1.000000,92.160000,728.000000,0
simu5g_00000103,7.4,11,23,15,15,0.000000,23.680000,176.000000,1
simu5g_00000104,7.4,0,1,14,14,0.000000,112.640000,600.000000,1
simu5g_00000104,7.4,0,16,14,15,1.000000,71.680000,456.000000,0
simu5g_00000104,7.4,1,16,14,15,1.000000,92.160000,728.000000,0
simu5g_00000105,7.5,11,23,15,15,0.000000,5.120000,32.000000,1
simu5g_00000106,7.5,0,1,14,14,0.000000,108.480000,600.000000,1
simu5g_00000106,7.5,0,16,14,15,1.000000,67.520000,456.000000,0
simu5g_00000106,7.5,1,16,14,15,1.000000,92.160000,728.000000,0
simu5g_00000107,7.6,11,23,15,15,0.000000,5.120000,32.000000,1
simu5g_00000108,7.6,0,1,14,14,0.000000,107.200000,600.000000,1
simu5g_00000108,7.6,0,16,14,15,1.000000,66.240000,456.000000,0
simu5g_00000108,7.6,1,16,14,15,1.000000,92.160000,728.000000,0
simu5g_00000109,7.7,11,23,15,15,0.000000,5.120000,32.000000,1
simu5g_00000110,7.7,0,1,14,14,0.000000,99.200000,600.000000,1
simu5g_00000110,7.7,0,16,14,15,1.000000,55.680000,352.000000,0
simu5g_00000110,7.7,1,16,14,15,1.000000,92.160000,728.000000,0
simu5g_00000111,7.8,11,23,15,15,0.000000,5.120000,32.000000,1
simu5g_00000112,7.8,0,1,14,14,0.000000,99.200000,600.000000,1
simu5g_00000112,7.8,0,16,14,15,1.000000,55.680000,352.000000,0
simu5g_00000112,7.8,1,16,14,15,1.000000,92.160000,728.000000,0
simu5g_00000113,7.9,11,23,15,15,0.000000,5.120000,32.000000,1
simu5g_00000114,7.9,0,1,14,14,0.000000,99.200000,600.000000,1
simu5g_00000114,7.9,0,16,14,15,1.000000,55.680000,352.000000,0
simu5g_00000114,7.9,1,16,14,15,1.000000,92.160000,728.000000,0
simu5g_00000115,8.0,11,23,15,15,0.000000,5.120000,32.000000,1
simu5g_00000116,8.0,0,1,14,14,0.000000,77.440000,520.000000,1
simu5g_00000116,8.0,0,16,14,15,1.000000,55.680000,352.000000,0
simu5g_00000116,8.0,1,16,14,15,1.000000,57.600000,552.000000,0
simu5g_00000117,8.1,11,23,15,15,0.000000,5.120000,32.000000,1
simu5g_00000118,8.1,0,1,14,14,0.000000,77.440000,520.000000,1
simu5g_00000118,8.1,0,16,14,15,1.000000,55.680000,352.000000,0
simu5g_00000118,8.1,1,16,14,15,1.000000,57.600000,552.000000,0
simu5g_00000119,8.2,11,23,15,15,0.000000,5.120000,32.000000,1
simu5g_00000120,8.2,0,1,14,14,0.000000,77.440000,520.000000,1
simu5g_00000120,8.2,0,16,14,15,1.000000,55.680000,352.000000,0
simu5g_00000120,8.2,1,16,14,15,1.000000,57.600000,552.000000,0
simu5g_00000121,8.3,11,23,15,15,0.000000,3.840000,32.000000,1
simu5g_00000122,8.3,0,1,14,14,0.000000,77.440000,520.000000,1
simu5g_00000122,8.3,0,16,14,15,1.000000,55.680000,352.000000,0
simu5g_00000122,8.3,1,16,14,15,1.000000,57.600000,552.000000,0
simu5g_00000123,8.4,11,23,15,15,0.000000,3.840000,32.000000,1
simu5g_00000124,8.4,0,1,14,14,0.000000,77.440000,520.000000,1
simu5g_00000124,8.4,0,16,14,15,1.000000,55.680000,352.000000,0
simu5g_00000124,8.4,1,16,14,15,1.000000,57.600000,552.000000,0
simu5g_00000125,8.5,11,23,15,15,0.000000,3.840000,32.000000,1
simu5g_00000126,8.5,0,1,14,14,0.000000,77.440000,520.000000,1
simu5g_00000126,8.5,0,16,14,15,1.000000,55.680000,352.000000,0
simu5g_00000126,8.5,1,16,14,15,1.000000,57.600000,552.000000,0
simu5g_00000127,8.6,11,23,15,15,0.000000,5.120000,32.000000,1
simu5g_00000128,8.6,0,1,15,14,1.000000,57.600000,552.000000,0
simu5g_00000128,8.6,0,16,15,15,0.000000,0.000000,0.000000,0
