scenario_id,ue_id,user_index,cqi_t_minus_4,cqi_t_minus_3,cqi_t_minus_2,cqi_t_minus_1,cqi_now_raw,cqi_now,previous_quality,distance_m,speed_mps,direction_to_gnb,x_m,y_m,rsrp_dbm,rsrq_db,wideband_sinr_db,mcs
simu5g_00000000,0,0,14.88,14.88,14.88,14.88,14.88,15,3,99.66915413591211,0.367894945409685,0.9635898811780971,226.65,416.040188390945,,,,
simu5g_00000001,0,0,14.88,14.88,14.88,14.88,14.88,15,3,99.62781171186089,0.429052705669725,0.9635590852684494,226.65,415.997283120378,,,,
simu5g_00000002,0,0,14.88,14.88,14.88,14.88,14.88,15,3,99.58179566869829,0.477571778158592,0.9635247617122651,226.65,415.949525942562,,,,
simu5g_00000003,0,0,14.88,14.88,14.88,14.88,14.88,15,3,99.53252065338816,0.511413491961299,0.9634879531215967,226.65,415.898384593366,,,,
simu5g_00000004,0,0,14.88,14.88,14.88,14.88,14.88,15,3,99.47609995591506,0.585600816356153,0.9634457377621705,226.65,415.83982451173,,,,
simu5g_00000005,0,0,14.88,14.88,14.88,14.88,14.88,15,3,99.41604776586465,0.623320963168361,0.9634007242068217,226.65,415.777492415414,,,,
simu5g_00000006,0,0,14.88,14.88,14.88,14.88,14.88,15,3,99.35249323248185,0.659705828237297,0.9633529941581628,226.65,415.71152183259,,,,
simu5g_00000007,0,0,14.88,14.88,14.88,14.88,14.88,15,3,99.28460823113794,0.704692891839035,0.9633019079931339,226.65,415.641052543406,,,,
simu5g_00000008,0,0,14.88,14.88,14.88,14.88,14.88,15,3,99.20942818108838,0.780464164608605,0.9632452064184113,226.65,415.563006126945,,,,
simu5g_00000009,0,0,14.88,14.88,14.88,14.88,14.88,15,3,99.13298827488035,0.793590228067227,0.963187418898104,226.65,415.483647104138,,,,
simu5g_00000010,0,0,14.88,14.88,14.88,14.88,14.88,15,3,99.05624979808131,0.796737903406359,0.9631292675451757,226.65,415.403973313798,,,,
simu5g_00000011,0,0,14.88,14.88,14.88,14.88,14.88,15,3,98.97206154709168,0.874140657776482,0.9630653111400295,226.65,415.31655924802,,,,
simu5g_00000012,0,0,14.88,14.88,14.88,14.88,14.88,15,3,98.88772812164956,0.875706307863332,0.9630010763325997,226.65,415.228988617234,,,,
simu5g_00000013,0,0,14.88,14.88,14.88,14.88,14.88,15,3,98.79624849448923,0.949977591553219,0.962931207487949,226.65,415.133990858078,,,,
simu5g_00000014,0,0,14.88,14.88,14.88,14.88,14.88,15,3,98.70108681871925,0.988287379642464,0.962858314768729,226.65,415.035162120114,,,,
simu5g_00000015,0,0,14.88,14.88,14.88,14.88,14.88,15,3,98.59990442945295,1.05089679937202,0.9627805725521603,226.65,414.930072440177,,,,
simu5g_00000016,0,0,14.88,14.88,14.88,14.88,14.88,15,3,98.49593109751794,1.07997253188256,0.9627004296564136,226.65,414.822075186989,,,,
simu5g_00000017,0,0,14.88,14.88,14.88,14.88,14.88,15,3,98.38961477729441,1.10440231063727,0.9626182109799437,226.65,414.711634955925,,,,
simu5g_00000018,0,0,14.88,14.88,14.88,14.88,14.88,15,3,98.28149611466067,1.12322175461192,0.9625343174477031,226.65,414.599312780464,,,,
simu5g_00000019,0,0,14.88,14.88,14.88,14.88,14.88,15,3,98.16621790729373,1.19770877349515,0.9624445549317043,226.65,414.479541903114,,,,
simu5g_00000020,0,0,14.88,14.88,14.88,14.88,14.88,15,3,98.04914090055787,1.21651234991241,0.962353058899531,226.65,414.357890668123,,,,
simu5g_00000021,0,0,14.88,14.88,14.88,14.88,14.88,15,3,97.92949649580751,1.24330914060909,0.9622592081650934,226.65,414.233559754062,,,,
simu5g_00000022,0,0,14.88,14.88,14.88,14.88,14.88,15,3,97.80538152874045,1.28989429436017,0.9621614767380982,226.65,414.104570324626,,,,
simu5g_00000023,0,0,14.88,14.88,14.88,14.88,14.88,15,3,97.67748381361514,1.32934475508843,0.962060366219409,226.65,413.971635849117,,,,
simu5g_00000024,0,0,14.88,14.88,14.88,14.88,14.88,15,3,97.54782036902759,1.34784033063192,0.9619574426272688,226.65,413.836851816054,,,,
simu5g_00000025,0,0,14.88,14.88,14.88,14.88,14.88,15,3,97.41423966998534,1.38871098851178,0.9618509679347488,226.65,413.697980717203,,,,
simu5g_00000026,0,0,14.88,14.88,14.88,14.88,14.88,15,3,97.27623593757997,1.43485484832291,0.9617404942806674,226.65,413.554495232371,,,,
simu5g_00000027,0,0,14.88,14.88,14.88,14.88,14.88,15,3,97.13383172598317,1.48078077168528,0.9616259906095717,226.65,413.406417155202,,,,
simu5g_00000028,0,0,14.88,14.88,14.88,14.88,14.88,15,3,96.99087608955755,1.48669248554248,0.9615105220880513,226.65,413.257747906648,,,,
simu5g_00000029,0,0,14.88,14.88,14.88,14.88,14.88,15,3,96.84226941855374,1.54565113921974,0.9613899318110012,226.65,413.103182792726,,,,
simu5g_00000030,0,0,14.88,14.88,14.88,14.88,14.88,15,3,96.69123539898597,1.57109702024002,0.9612667860449815,226.65,412.946073090702,,,,
simu5g_00000031,0,0,14.88,14.88,14.88,14.88,14.88,15,3,96.53608863084797,1.61408904518325,0.9611396680985351,226.65,412.784664186184,,,,
simu5g_00000032,0,0,14.88,14.88,14.88,14.88,14.88,15,3,96.37610706663222,1.66461259766806,0.9610079276431337,226.65,412.618202926417,,,,
simu5g_00000033,11,0,14.04,14.04,14.04,14.04,14.04,14,3,51.62854070285691,0.326899091902853,0.8918814661837513,223.35,33.9534614210085,,,,
simu5g_00000034,0,0,14.88,14.88,14.88,14.88,14.88,15,3,96.2110471414176,1.71769290239874,0.9608712968303204,226.65,412.446433636177,,,,
simu5g_00000034,16,1,15.0,15.0,15.0,15.0,15.0,15,3,236.67222817637133,0.376615649809688,0.9128161827161841,416.038239878889,223.35,,,,
simu5g_00000035,11,0,14.04,14.04,14.04,14.04,14.04,14,3,51.59580623215275,0.367057087685037,0.8917359031701928,223.35,33.990167129777,,,,
simu5g_00000036,0,0,14.88,14.88,14.88,14.88,14.88,15,3,96.04492634541437,1.72898011404414,0.9607330562462094,226.65,412.273535624772,,,,
simu5g_00000036,16,1,15.0,15.0,15.0,15.0,15.0,15,3,236.63084701260289,0.453343058083358,0.9127842303737234,415.992905573081,223.35,,,,
simu5g_00000037,11,0,14.04,14.04,14.04,14.04,14.04,14,3,51.556279947170104,0.44329479190997,0.8915597370123098,223.35,34.034496608968,,,,
simu5g_00000038,0,0,14.88,14.88,14.88,14.88,14.88,15,3,95.87377498676936,1.78159898226474,0.9605898561859617,226.65,412.095375726546,,,,
simu5g_00000038,16,1,15.0,15.0,15.0,15.0,15.0,15,3,236.58472431620154,0.505306677070446,0.9127485957916771,415.942374905374,223.35,,,,
simu5g_00000039,11,0,14.04,14.04,14.04,14.04,14.04,14,3,51.51148630560811,0.502475231523945,0.8913595619329036,223.35,34.0847441321204,,,,
simu5g_00000040,0,0,14.88,14.88,14.88,14.88,14.88,15,3,95.69788921600399,1.83115932769466,0.9604418712550361,226.65,411.912259793776,,,,
simu5g_00000040,16,1,15.0,15.0,15.0,15.0,15.0,15,3,236.53569204381222,0.537204775759805,0.9127106888706255,415.888654427798,223.35,,,,
simu5g_00000041,11,0,14.04,14.04,14.04,14.04,14.04,14,3,51.46255080255826,0.549065985392403,0.8911402282659612,223.35,34.1396507306596,,,,
simu5g_00000042,0,0,14.88,14.88,14.88,14.88,14.92,15,3,95.51958137955762,1.85666447430242,0.9602909897799935,226.65,411.726593346346,,,,
simu5g_00000042,16,1,15.0,15.0,15.0,15.0,15.0,15,3,236.48022251942453,0.607759161545211,0.9126677749718155,415.827878511643,223.35,,,,
simu5g_00000043,11,0,14.04,14.04,14.04,14.04,14.04,14,3,51.4104158626193,0.585113240411358,0.890905805307869,223.35,34.1981620547007,,,,
simu5g_00000044,0,0,14.88,14.88,14.88,14.92,14.92,15,3,95.33434989719582,1.92906813348968,0.9601333268827317,226.65,411.533686532997,,,,
simu5g_00000044,16,1,15.0,15.0,15.0,15.0,15.0,15,3,236.42214411540792,0.636374332693812,0.912622808179297,415.764241078374,223.35,,,,
simu5g_00000045,11,0,14.04,14.04,14.04,14.04,14.04,14,3,51.352839572384,0.646361053637404,0.8906460133614829,223.35,34.2627981600644,,,,
simu5g_00000046,0,0,14.88,14.88,14.92,14.92,14.92,15,3,95.14578801522856,1.96407850967113,0.9599718556896181,226.65,411.33727868203,,,,
simu5g_00000046,16,1,15.0,15.0,15.0,15.0,15.0,15,3,236.36003676146333,0.680554888270631,0.9125746828649781,415.696185589547,223.35,,,,
simu5g_00000047,11,0,14.04,14.04,14.04,14.04,14.04,14,3,51.29424408514523,0.657996689220214,0.8903806457348672,223.35,34.3285978289865,,,,
simu5g_00000048,0,0,14.88,14.92,14.92,14.92,14.92,15,3,94.9520741439637,2.01808725263316,0.959804941370632,226.65,411.135469956767,,,,
simu5g_00000048,16,1,15.0,15.0,15.0,15.0,15.0,15,3,236.29608439550736,0.700809531912979,0.9125250855847682,415.626104636356,223.35,,,,
simu5g_00000049,11,0,14.04,14.04,14.04,14.04,14.04,14,3,51.2302287603931,0.719083268686088,0.890089600368886,223.35,34.4005061558551,,,,
simu5g_00000050,0,0,14.92,14.92,14.92,14.92,14.92,15,3,94.75403833861265,2.06347661017764,0.9596332134236333,226.65,410.929122295749,,,,
simu5g_00000050,16,1,15.0,15.0,15.0,15.0,15.0,15,3,236.2266602562374,0.76081403195886,0.9124711960934078,415.55002323316,223.35,,,,
simu5g_00000051,11,0,14.04,14.04,14.04,14.04,14.04,14,3,51.160536954432544,0.783115059645905,0.8897713950642255,223.35,34.4788176618197,,,,
