timestamp_s,ue_id,serving_gnb,active_ues_same_gnb,raw_feedback_timestamp_s,achievable_kbps_if_all_budget_assigned,effective_capacity_kbps,ewma_capacity_kbps,buffer_s,previous_quality,next_quality,stalled
0.2,0,gnb_2,1,0.294,13920.000000,13920.000000,7656.000000,4.430909,1,2,0
0.3,0,gnb_2,1,0.396,13920.000000,13920.000000,9848.400000,5.258909,2,3,0
0.4,0,gnb_2,1,0.498,13920.000000,13920.000000,11273.460000,5.622909,3,4,0
0.5,0,gnb_2,1,0.594,13920.000000,13920.000000,12199.749000,5.762909,4,5,0
0.6,0,gnb_2,1,0.696,13920.000000,13920.000000,12801.836850,5.848509,5,5,0
0.7,0,gnb_2,1,0.798,13920.000000,13920.000000,13193.193952,5.934109,5,5,0
0.8,0,gnb_2,1,0.894,13920.000000,13920.000000,13447.576069,6.019709,5,5,0
0.9,0,gnb_2,1,0.996,13920.000000,13920.000000,13612.924445,6.105309,5,5,0
1.0,0,gnb_2,1,1.098,13920.000000,13920.000000,13720.400889,6.190909,5,5,0
1.1,0,gnb_2,1,1.194,13920.000000,13920.000000,13790.260578,6.276509,5,5,0
1.2,0,gnb_2,1,1.296,13920.000000,13920.000000,13835.669376,6.362109,5,5,0
1.3,0,gnb_2,1,1.398,13920.000000,13920.000000,13865.185094,6.447709,5,5,0
1.4,0,gnb_2,1,1.494,13920.000000,13920.000000,13884.370311,6.533309,5,5,0
1.5,0,gnb_2,1,1.596,13920.000000,13920.000000,13896.840702,6.618909,5,5,0
1.6,0,gnb_2,1,1.698,13920.000000,13920.000000,13904.946456,6.704509,5,5,0
1.7,0,gnb_2,1,1.794,13920.000000,13920.000000,13910.215197,6.790109,5,5,0
1.8,0,gnb_2,1,1.896,13920.000000,13920.000000,13913.639878,6.875709,5,5,0
1.9,0,gnb_2,1,1.998,13920.000000,13920.000000,13915.865921,6.961309,5,5,0
2.0,0,gnb_2,1,2.094,13920.000000,13920.000000,13917.312848,7.046909,5,5,0
2.1,0,gnb_2,1,2.196,13920.000000,13920.000000,13918.253351,7.132509,5,5,0
2.2,0,gnb_2,1,2.298,13920.000000,13920.000000,13918.864678,7.218109,5,5,0
2.3,0,gnb_2,1,2.394,13920.000000,13920.000000,13919.262041,7.303709,5,5,0
2.4,0,gnb_2,1,2.496,13920.000000,13920.000000,13919.520327,7.389309,5,5,0
