scenario_id,timestamp_s,serving_gnb,user_count,ue_ids
simu5g_00000051,4.8,gnb_1,2,11|23
simu5g_00000053,4.9,gnb_1,2,11|23
simu5g_00000055,5.0,gnb_1,2,11|23
simu5g_00000057,5.1,gnb_1,2,11|23
simu5g_00000059,5.2,gnb_1,2,11|23
simu5g_00000061,5.3,gnb_1,2,11|23
simu5g_00000063,5.4,gnb_1,2,11|23
simu5g_00000065,5.5,gnb_1,2,11|23
simu5g_00000067,5.6,gnb_1,2,11|23
simu5g_00000069,5.7,gnb_1,2,11|23
simu5g_00000071,5.8,gnb_1,2,11|23
simu5g_00000073,5.9,gnb_1,2,11|23
simu5g_00000075,6.0,gnb_1,2,11|23
simu5g_00000077,6.1,gnb_1,2,11|23
simu5g_00000079,6.2,gnb_1,2,11|23
simu5g_00000081,6.3,gnb_1,2,11|23
simu5g_00000083,6.4,gnb_1,2,11|23
simu5g_00000085,6.5,gnb_1,2,11|23
simu5g_00000087,6.6,gnb_1,2,11|23
simu5g_00000089,6.7,gnb_1,2,11|23
simu5g_00000091,6.8,gnb_1,2,11|23
simu5g_00000093,6.9,gnb_1,2,11|23
simu5g_00000095,7.0,gnb_1,2,11|23
simu5g_00000097,7.1,gnb_1,2,11|23
simu5g_00000099,7.2,gnb_1,2,11|23
simu5g_00000101,7.3,gnb_1,2,11|23
simu5g_00000103,7.4,gnb_1,2,11|23
simu5g_00000105,7.5,gnb_1,2,11|23
simu5g_00000107,7.6,gnb_1,2,11|23
simu5g_00000109,7.7,gnb_1,2,11|23
simu5g_00000111,7.8,gnb_1,2,11|23
simu5g_00000113,7.9,gnb_1,2,11|23
simu5g_00000115,8.0,gnb_1,2,11|23
simu5g_00000117,8.1,gnb_1,2,11|23
simu5g_00000119,8.2,gnb_1,2,11|23
simu5g_00000121,8.3,gnb_1,2,11|23
simu5g_00000123,8.4,gnb_1,2,11|23
simu5g_00000125,8.5,gnb_1,2,11|23
simu5g_00000127,8.6,gnb_1,2,11|23
simu5g_00000129,8.7,gnb_1,2,11|23
simu5g_00000131,8.8,gnb_1,2,11|23
simu5g_00000133,8.9,gnb_1,2,11|23
simu5g_00000135,9.0,gnb_1,2,11|23
simu5g_00000137,9.1,gnb_1,2,11|23
simu5g_00000139,9.2,gnb_1,2,11|23
simu5g_00000140,9.2,gnb_2,2,1|17
simu5g_00000141,9.3,gnb_1,2,11|23
simu5g_00000142,9.3,gnb_2,2,1|17
simu5g_00000143,9.4,gnb_1,2,11|23
simu5g_00000144,9.4,gnb_2,2,1|17
simu5g_00000145,9.5,gnb_1,2,11|23
simu5g_00000146,9.5,gnb_2,2,1|17
simu5g_00000147,9.6,gnb_1,2,11|23
simu5g_00000148,9.6,gnb_2,2,1|17
simu5g_00000149,9.7,gnb_1,2,11|23
simu5g_00000150,9.7,gnb_2,2,1|17
simu5g_00000151,9.8,gnb_1,2,11|23
simu5g_00000152,9.8,gnb_2,2,1|17
simu5g_00000153,9.9,gnb_1,2,11|23
simu5g_00000154,9.9,gnb_2,2,1|17
simu5g_00000155,10.0,gnb_1,2,11|23
simu5g_00000156,10.0,gnb_2,2,1|17
simu5g_00000157,10.1,gnb_1,2,11|23
simu5g_00000158,10.1,gnb_2,2,1|17
simu5g_00000159,10.2,gnb_1,2,11|23
simu5g_00000160,10.2,gnb_2,2,1|17
simu5g_00000161,10.3,gnb_1,2,11|23
simu5g_00000162,10.3,gnb_2,2,1|17
simu5g_00000163,10.4,gnb_1,2,11|23
simu5g_00000164,10.4,gnb_2,2,1|17
simu5g_00000165,10.5,gnb_1,2,11|23
simu5g_00000166,10.5,gnb_2,2,1|17
simu5g_00000167,10.6,gnb_1,2,11|23
simu5g_00000168,10.6,gnb_2,2,1|17
simu5g_00000169,10.7,gnb_1,2,11|23
simu5g_00000170,10.7,gnb_2,2,1|17
simu5g_00000171,10.8,gnb_1,2,11|23
simu5g_00000172,10.8,gnb_2,2,1|17
simu5g_00000173,10.9,gnb_1,2,11|23
simu5g_00000174,10.9,gnb_2,2,1|17
simu5g_00000175,11.0,gnb_1,2,11|23
simu5g_00000176,11.0,gnb_2,2,1|17
simu5g_00000177,11.1,gnb_1,2,11|23
simu5g_00000178,11.1,gnb_2,2,1|17
simu5g_00000179,11.2,gnb_1,2,11|23
simu5g_00000180,11.2,gnb_2,2,1|17
simu5g_00000181,11.3,gnb_1,2,11|23
simu5g_00000182,11.3,gnb_2,2,1|17
simu5g_00000183,11.4,gnb_1,2,11|23
simu5g_00000184,11.4,gnb_2,2,1|17
simu5g_00000185,11.5,gnb_1,2,11|23
simu5g_00000186,11.5,gnb_2,2,1|17
simu5g_00000187,11.6,gnb_1,2,11|23
simu5g_00000188,11.6,gnb_2,2,1|17
simu5g_00000189,11.7,gnb_1,2,11|23
simu5g_00000190,11.7,gnb_2,2,1|17
simu5g_00000191,11.8,gnb_1,2,11|23
simu5g_00000192,11.8,gnb_2,2,1|17
simu5g_00000193,11.9,gnb_1,2,11|23
simu5g_00000194,11.9,gnb_2,2,1|17
simu5g_00000195,12.0,gnb_1,2,11|23
simu5g_00000196,12.0,gnb_2,2,1|17
simu5g_00000197,12.1,gnb_1,2,11|23
simu5g_00000198,12.1,gnb_2,2,1|17
simu5g_00000199,12.2,gnb_1,2,11|23
simu5g_00000200,12.2,gnb_2,2,1|17
simu5g_00000201,12.3,gnb_1,2,11|23
simu5g_00000202,12.3,gnb_2,2,1|17
simu5g_00000203,12.4,gnb_1,2,11|23
simu5g_00000204,12.4,gnb_2,2,1|17
simu5g_00000205,12.5,gnb_1,2,11|23
simu5g_00000206,12.5,gnb_2,2,1|17
simu5g_00000207,12.6,gnb_1,2,11|23
simu5g_00000208,12.6,gnb_2,2,1|17
simu5g_00000209,12.7,gnb_1,2,11|23
simu5g_00000210,12.7,gnb_2,2,1|17
simu5g_00000211,12.8,gnb_1,2,11|23
simu5g_00000212,12.8,gnb_2,2,1|17
simu5g_00000213,12.9,gnb_1,2,11|23
simu5g_00000214,12.9,gnb_2,2,1|17
simu5g_00000215,13.0,gnb_1,2,11|23
simu5g_00000216,13.0,gnb_2,2,1|17
simu5g_00000217,13.1,gnb_1,2,11|23
simu5g_00000218,13.1,gnb_2,2,1|17
simu5g_00000219,13.2,gnb_1,2,11|23
simu5g_00000220,13.2,gnb_2,2,1|17
simu5g_00000221,13.3,gnb_1,2,11|23
simu5g_00000222,13.3,gnb_2,2,1|17
simu5g_00000223,13.4,gnb_1,2,11|23
simu5g_00000224,13.4,gnb_2,2,1|17
simu5g_00000225,13.5,gnb_1,2,11|23
simu5g_00000226,13.5,gnb_2,2,1|17
simu5g_00000227,13.6,gnb_1,2,11|23
simu5g_00000228,13.6,gnb_2,2,1|17
simu5g_00000229,13.7,gnb_1,2,11|23
simu5g_00000230,13.7,gnb_2,2,1|17
simu5g_00000231,13.8,gnb_1,2,11|23
simu5g_00000232,13.8,gnb_2,2,1|17
simu5g_00000233,13.9,gnb_1,2,11|23
simu5g_00000234,13.9,gnb_2,2,1|17
simu5g_00000235,14.0,gnb_1,2,11|23
simu5g_00000236,14.0,gnb_2,2,1|17
simu5g_00000237,14.1,gnb_1,2,11|23
simu5g_00000238,14.1,gnb_2,2,1|17
simu5g_00000239,14.2,gnb_1,2,11|23
simu5g_00000240,14.2,gnb_2,2,1|17
simu5g_00000241,14.3,gnb_1,2,11|23
simu5g_00000242,14.3,gnb_2,2,1|17
simu5g_00000243,14.4,gnb_1,2,11|23
simu5g_00000244,14.4,gnb_2,2,1|17
simu5g_00000245,14.5,gnb_1,2,11|23
simu5g_00000246,14.5,gnb_2,2,1|17
simu5g_00000247,14.6,gnb_1,2,11|23
simu5g_00000248,14.6,gnb_2,2,1|17
simu5g_00000249,14.7,gnb_1,2,11|23
simu5g_00000250,14.7,gnb_2,2,1|17
simu5g_00000251,14.8,gnb_1,2,11|23
simu5g_00000252,14.8,gnb_2,2,1|17
simu5g_00000253,14.9,gnb_1,2,11|23
simu5g_00000254,14.9,gnb_2,2,1|17
simu5g_00000255,15.0,gnb_1,2,11|23
simu5g_00000256,15.0,gnb_2,2,1|17
simu5g_00000257,15.1,gnb_1,2,11|23
simu5g_00000258,15.1,gnb_2,2,1|17
simu5g_00000259,15.2,gnb_1,2,11|23
simu5g_00000260,15.2,gnb_2,2,1|17
simu5g_00000261,15.3,gnb_1,2,11|23
simu5g_00000262,15.3,gnb_2,2,1|17
simu5g_00000263,15.4,gnb_1,2,11|23
simu5g_00000264,15.4,gnb_2,2,1|17
simu5g_00000265,15.5,gnb_1,2,11|23
simu5g_00000266,15.5,gnb_2,2,1|17
simu5g_00000267,15.6,gnb_1,2,11|23
simu5g_00000268,15.6,gnb_2,2,1|17
simu5g_00000269,15.7,gnb_1,2,11|23
simu5g_00000270,15.7,gnb_2,2,1|17
simu5g_00000271,15.8,gnb_1,2,11|23
simu5g_00000272,15.8,gnb_2,2,1|17
simu5g_00000273,15.9,gnb_1,2,11|23
simu5g_00000274,15.9,gnb_2,2,1|17
simu5g_00000275,16.0,gnb_1,2,11|23
simu5g_00000276,16.0,gnb_2,2,1|17
simu5g_00000277,16.1,gnb_1,2,11|23
simu5g_00000278,16.1,gnb_2,2,1|17
simu5g_00000279,16.2,gnb_1,2,11|23
simu5g_00000280,16.2,gnb_2,2,1|17
simu5g_00000281,16.3,gnb_1,2,11|23
simu5g_00000282,16.3,gnb_2,2,1|17
simu5g_00000283,16.4,gnb_1,2,11|23
simu5g_00000284,16.4,gnb_2,3,1|17|3
simu5g_00000285,16.5,gnb_1,2,11|23
simu5g_00000286,16.5,gnb_2,3,1|17|3
