split_name,scenario_id,timestamp_s,serving_gnb,ue_ids,user_count,rb_available,total_rbs,rb_budget_ratio_snapshot,cqi_min,cqi_max,cqi_range,cqi_mean,previous_quality_min,previous_quality_max,previous_quality_range,previous_quality_mean,distance_mean_m,distance_range_m,mean_resource_cost,resource_cost_range,teacher_group_count,teacher_group_sizes,teacher_groups,teacher_utility,single_group_utility,teacher_gain_vs_single,teacher_avg_quality,single_avg_quality,teacher_switching,single_switching,teacher_rb_utilization,single_rb_utilization
full_bundle,simu5g_00000182,11.3,gnb_2,0|1|16|17|2,5,12,25,0.48,14,15,1,14.6,1,2,1,1.8,145.09067464853067,160.94119135772235,3.1666666666666665,0.0,2,4|1,"[[0], [1, 2, 3, 4]]",0.7090781116502739,0.7090781116502738,1.1102230246251565e-16,4.0,4.0,0.44000000000000006,0.44000000000000006,0.9166666666666666,0.5
full_bundle,simu5g_00000034,3.9,gnb_2,0|16,2,12,25,0.48,15,15,0,15.0,3,4,1,3.5,166.44163765889448,140.46118103495374,3.1666666666666665,0.0,1,2,"[[0, 1]]",0.8790781116502739,0.8790781116502739,0.0,4.0,4.0,0.1,0.1,0.4166666666666667,0.4166666666666667
full_bundle,simu5g_00000036,4.0,gnb_2,0|16,2,12,25,0.48,15,15,0,15.0,3,4,1,3.5,166.33788667900862,140.58592066718853,3.1666666666666665,0.0,1,2,"[[0, 1]]",0.8790781116502739,0.8790781116502739,0.0,4.0,4.0,0.1,0.1,0.4166666666666667,0.4166666666666667
full_bundle,simu5g_00000038,4.1,gnb_2,0|16,2,12,25,0.48,15,15,0,15.0,4,4,0,4.0,166.22924965148545,140.7109493294322,3.1666666666666665,0.0,1,2,"[[0, 1]]",0.9290781116502739,0.9290781116502739,0.0,4.0,4.0,0.0,0.0,0.4166666666666667,0.4166666666666667
full_bundle,simu5g_00000040,4.2,gnb_2,0|16,2,12,25,0.48,15,15,0,15.0,4,4,0,4.0,166.1167906299081,140.83780282780822,3.1666666666666665,0.0,1,2,"[[0, 1]]",0.9290781116502739,0.9290781116502739,0.0,4.0,4.0,0.0,0.0,0.4166666666666667,0.4166666666666667
full_bundle,simu5g_00000042,4.3,gnb_2,0|16,2,12,25,0.48,15,15,0,15.0,4,4,0,4.0,165.99990194949106,140.9606411398669,3.1666666666666665,0.0,1,2,"[[0, 1]]",0.9290781116502739,0.9290781116502739,0.0,4.0,4.0,0.0,0.0,0.4166666666666667,0.4166666666666667
full_bundle,simu5g_00000044,4.4,gnb_2,0|16,2,12,25,0.48,15,15,0,15.0,4,4,0,4.0,165.87824700630188,141.08779421821208,3.1666666666666665,0.0,1,2,"[[0, 1]]",0.9290781116502739,0.9290781116502739,0.0,4.0,4.0,0.0,0.0,0.4166666666666667,0.4166666666666667
full_bundle,simu5g_00000046,4.5,gnb_2,0|16,2,12,25,0.48,15,15,0,15.0,4,4,0,4.0,165.75291238834595,141.21424874623477,3.1666666666666665,0.0,1,2,"[[0, 1]]",0.9290781116502739,0.9290781116502739,0.0,4.0,4.0,0.0,0.0,0.4166666666666667,0.4166666666666667
full_bundle,simu5g_00000048,4.6,gnb_2,0|16,2,12,25,0.48,15,15,0,15.0,4,4,0,4.0,165.62407926973555,141.34401025154366,3.1666666666666665,0.0,1,2,"[[0, 1]]",0.9290781116502739,0.9290781116502739,0.0,4.0,4.0,0.0,0.0,0.4166666666666667,0.4166666666666667
full_bundle,simu5g_00000050,4.7,gnb_2,0|16,2,12,25,0.48,15,15,0,15.0,4,4,0,4.0,165.49034929742504,141.47262191762476,3.1666666666666665,0.0,1,2,"[[0, 1]]",0.9290781116502739,0.9290781116502739,0.0,4.0,4.0,0.0,0.0,0.4166666666666667,0.4166666666666667
full_bundle,simu5g_00000051,4.8,gnb_1,11|23,2,12,25,0.48,14,15,1,14.5,3,4,1,3.5,120.82212392482563,139.32317394078615,3.1666666666666665,0.0,1,2,"[[0, 1]]",0.8790781116502739,0.8790781116502739,0.0,4.0,4.0,0.1,0.1,0.4166666666666667,0.4166666666666667
full_bundle,simu5g_00000052,4.8,gnb_2,0|16,2,12,25,0.48,15,15,0,15.0,4,4,0,4.0,165.35346136570968,141.6038253797935,3.1666666666666665,0.0,1,2,"[[0, 1]]",0.9290781116502739,0.9290781116502739,0.0,4.0,4.0,0.0,0.0,0.4166666666666667,0.4166666666666667
full_bundle,simu5g_00000053,4.9,gnb_1,11|23,2,12,25,0.48,14,15,1,14.5,3,4,1,3.5,120.7681327053893,139.3607302190138,3.1666666666666665,0.0,1,2,"[[0, 1]]",0.8790781116502739,0.8790781116502739,0.0,4.0,4.0,0.1,0.1,0.4166666666666667,0.4166666666666667
full_bundle,simu5g_00000054,4.9,gnb_2,0|16,2,12,25,0.48,15,15,0,15.0,4,4,0,4.0,165.21296669987424,141.73558115894798,3.1666666666666665,0.0,1,2,"[[0, 1]]",0.9290781116502739,0.9290781116502739,0.0,4.0,4.0,0.0,0.0,0.4166666666666667,0.4166666666666667
full_bundle,simu5g_00000055,5.0,gnb_1,11|23,2,12,25,0.48,14,15,1,14.5,4,4,0,4.0,120.7096273588347,139.39589593125424,3.1666666666666665,0.0,1,2,"[[0, 1]]",0.9290781116502739,0.9290781116502739,0.0,4.0,4.0,0.0,0.0,0.4166666666666667,0.4166666666666667
full_bundle,simu5g_00000056,5.0,gnb_2,0|16,2,12,25,0.48,15,15,0,15.0,4,4,0,4.0,165.07056225939192,141.86739404440016,3.1666666666666665,0.0,1,2,"[[0, 1]]",0.9290781116502739,0.9290781116502739,0.0,4.0,4.0,0.0,0.0,0.4166666666666667,0.4166666666666667
full_bundle,simu5g_00000057,5.1,gnb_1,11|23,2,12,25,0.48,14,15,1,14.5,4,4,0,4.0,120.64513807281351,139.43012738429192,3.1666666666666665,0.0,1,2,"[[0, 1]]",0.9290781116502739,0.9290781116502739,0.0,4.0,4.0,0.0,0.0,0.4166666666666667,0.4166666666666667
full_bundle,simu5g_00000058,5.1,gnb_2,0|16,2,12,25,0.48,15,15,0,15.0,4,4,0,4.0,164.92641039854414,141.9961183469311,3.1666666666666665,0.0,1,2,"[[0, 1]]",0.9290781116502739,0.9290781116502739,0.0,4.0,4.0,0.0,0.0,0.4166666666666667,0.4166666666666667
full_bundle,simu5g_00000059,5.2,gnb_1,11|23,2,12,25,0.48,14,15,1,14.5,4,4,0,4.0,120.5787744044038,139.4627798350535,3.1666666666666665,0.0,1,2,"[[0, 1]]",0.9290781116502739,0.9290781116502739,0.0,4.0,4.0,0.0,0.0,0.4166666666666667,0.4166666666666667
full_bundle,simu5g_00000060,5.2,gnb_2,0|16,2,12,25,0.48,15,15,0,15.0,4,4,0,4.0,164.78060895398082,142.1267099444321,3.1666666666666665,0.0,1,2,"[[0, 1]]",0.9290781116502739,0.9290781116502739,0.0,4.0,4.0,0.0,0.0,0.4166666666666667,0.4166666666666667
