scenario_id,timestamp_s,serving_gnb,user_count,rb_available,total_rbs,resource_pressure_ratio,cqi_min,cqi_median,cqi_max,cqi_unique_count,cqi_saturation_ratio,per_band_rate_min_kbps,per_band_rate_median_kbps,per_band_rate_max_kbps,mean_user_profile_range_kbps,mean_user_profile_std_kbps,pair_count,ambiguous_pair_count,ambiguous_pair_ratio
simu5g_00000000,0.6,gnb_2,1,8,25,0.320000,14.000000,14.000000,14.000000,1,0.000000,528.000000,1128.000000,1160.000000,632.000000,146.502696,0,0,
simu5g_00000001,0.7,gnb_2,1,8,25,0.320000,14.000000,14.000000,14.000000,1,0.000000,528.000000,1128.000000,1160.000000,632.000000,146.502696,0,0,
simu5g_00000002,0.8,gnb_2,1,8,25,0.320000,14.000000,14.000000,14.000000,1,0.000000,528.000000,1128.000000,1160.000000,632.000000,146.011200,0,0,
simu5g_00000003,0.9,gnb_2,1,8,25,0.320000,14.000000,14.000000,14.000000,1,0.000000,528.000000,1128.000000,1160.000000,632.000000,146.011200,0,0,
simu5g_00000004,1.0,gnb_2,1,8,25,0.320000,14.000000,14.000000,14.000000,1,0.000000,528.000000,1128.000000,1160.000000,632.000000,146.011200,0,0,
simu5g_00000005,1.1,gnb_2,1,8,25,0.320000,14.000000,14.000000,14.000000,1,0.000000,528.000000,1128.000000,1160.000000,632.000000,146.011200,0,0,
simu5g_00000006,1.2,gnb_2,1,8,25,0.320000,14.000000,14.000000,14.000000,1,0.000000,528.000000,1128.000000,1160.000000,632.000000,146.011200,0,0,
simu5g_00000007,1.3,gnb_2,1,8,25,0.320000,14.000000,14.000000,14.000000,1,0.000000,528.000000,1128.000000,1160.000000,632.000000,146.011200,0,0,
simu5g_00000008,1.4,gnb_2,1,8,25,0.320000,14.000000,14.000000,14.000000,1,0.000000,528.000000,1128.000000,1160.000000,632.000000,146.011200,0,0,
simu5g_00000009,1.5,gnb_2,1,8,25,0.320000,14.000000,14.000000,14.000000,1,0.000000,528.000000,1128.000000,1160.000000,632.000000,146.011200,0,0,
simu5g_00000010,1.6,gnb_2,1,8,25,0.320000,14.000000,14.000000,14.000000,1,0.000000,528.000000,1128.000000,1160.000000,632.000000,146.011200,0,0,
simu5g_00000011,1.7,gnb_2,1,8,25,0.320000,14.000000,14.000000,14.000000,1,0.000000,528.000000,1128.000000,1160.000000,632.000000,146.011200,0,0,
simu5g_00000012,1.8,gnb_2,1,8,25,0.320000,14.000000,14.000000,14.000000,1,0.000000,528.000000,1128.000000,1160.000000,632.000000,146.011200,0,0,
simu5g_00000013,1.9,gnb_2,1,8,25,0.320000,14.000000,14.000000,14.000000,1,0.000000,528.000000,1128.000000,1160.000000,632.000000,146.011200,0,0,
simu5g_00000014,2.0,gnb_2,1,8,25,0.320000,13.000000,13.000000,13.000000,1,0.000000,368.000000,984.000000,1160.000000,792.000000,192.105038,0,0,
simu5g_00000015,2.1,gnb_1,2,8,25,0.320000,13.000000,13.500000,14.000000,2,0.000000,368.000000,1128.000000,1160.000000,572.000000,125.220127,1,0,0.000000
simu5g_00000016,2.1,gnb_2,1,8,25,0.320000,13.000000,13.000000,13.000000,1,0.000000,368.000000,984.000000,1160.000000,792.000000,192.105038,0,0,
simu5g_00000017,2.2,gnb_1,2,8,25,0.320000,13.000000,13.500000,14.000000,2,0.000000,368.000000,1128.000000,1160.000000,572.000000,125.220127,1,0,0.000000
simu5g_00000018,2.2,gnb_2,1,8,25,0.320000,13.000000,13.000000,13.000000,1,0.000000,368.000000,984.000000,1160.000000,792.000000,192.105038,0,0,
simu5g_00000019,2.3,gnb_1,2,8,25,0.320000,13.000000,13.500000,14.000000,2,0.000000,368.000000,1128.000000,1160.000000,572.000000,125.220127,1,0,0.000000
simu5g_00000020,2.3,gnb_2,1,8,25,0.320000,13.000000,13.000000,13.000000,1,0.000000,368.000000,984.000000,1160.000000,792.000000,192.105038,0,0,
simu5g_00000021,2.4,gnb_1,2,8,25,0.320000,13.000000,13.500000,14.000000,2,0.000000,368.000000,1128.000000,1160.000000,572.000000,125.220127,1,0,0.000000
simu5g_00000022,2.4,gnb_2,1,8,25,0.320000,13.000000,13.000000,13.000000,1,0.000000,368.000000,984.000000,1160.000000,792.000000,192.105038,0,0,
simu5g_00000023,2.5,gnb_1,2,8,25,0.320000,13.000000,13.500000,14.000000,2,0.000000,368.000000,1128.000000,1160.000000,572.000000,125.220127,1,0,0.000000
simu5g_00000024,2.5,gnb_2,1,8,25,0.320000,13.000000,13.000000,13.000000,1,0.000000,368.000000,984.000000,1160.000000,792.000000,192.105038,0,0,
simu5g_00000025,2.6,gnb_1,2,8,25,0.320000,13.000000,13.500000,14.000000,2,0.000000,368.000000,1128.000000,1160.000000,572.000000,125.220127,1,0,0.000000
simu5g_00000026,2.6,gnb_2,1,8,25,0.320000,13.000000,13.000000,13.000000,1,0.000000,368.000000,984.000000,1160.000000,792.000000,192.105038,0,0,
simu5g_00000027,2.7,gnb_1,2,8,25,0.320000,13.000000,13.500000,14.000000,2,0.000000,368.000000,1128.000000,1160.000000,572.000000,125.220127,1,0,0.000000
simu5g_00000028,2.7,gnb_2,1,8,25,0.320000,13.000000,13.000000,13.000000,1,0.000000,368.000000,984.000000,1160.000000,792.000000,192.105038,0,0,
simu5g_00000029,2.8,gnb_1,2,8,25,0.320000,13.000000,13.500000,14.000000,2,0.000000,368.000000,1128.000000,1160.000000,572.000000,125.220127,1,0,0.000000
simu5g_00000030,2.8,gnb_2,1,8,25,0.320000,13.000000,13.000000,13.000000,1,0.000000,368.000000,984.000000,1160.000000,792.000000,192.105038,0,0,
simu5g_00000031,2.9,gnb_1,2,8,25,0.320000,13.000000,13.500000,14.000000,2,0.000000,368.000000,1128.000000,1160.000000,572.000000,125.220127,1,0,0.000000
simu5g_00000032,2.9,gnb_2,1,8,25,0.320000,13.000000,13.000000,13.000000,1,0.000000,368.000000,984.000000,1160.000000,792.000000,192.105038,0,0,
simu5g_00000033,3.0,gnb_1,2,8,25,0.320000,13.000000,13.500000,14.000000,2,0.000000,368.000000,1128.000000,1160.000000,572.000000,125.220127,1,0,0.000000
simu5g_00000034,3.0,gnb_2,1,8,25,0.320000,13.000000,13.000000,13.000000,1,0.000000,368.000000,1128.000000,1160.000000,792.000000,193.776845,0,0,
simu5g_00000035,3.1,gnb_1,2,8,25,0.320000,13.000000,13.500000,14.000000,2,0.000000,368.000000,1128.000000,1160.000000,572.000000,125.220127,1,0,0.000000
simu5g_00000036,3.1,gnb_2,1,8,25,0.320000,13.000000,13.000000,13.000000,1,0.000000,368.000000,1128.000000,1160.000000,792.000000,193.776845,0,0,
simu5g_00000037,3.2,gnb_1,2,8,25,0.320000,13.000000,13.500000,14.000000,2,0.000000,368.000000,1128.000000,1160.000000,572.000000,125.220127,1,0,0.000000
simu5g_00000038,3.2,gnb_2,1,8,25,0.320000,13.000000,13.000000,13.000000,1,0.000000,368.000000,1128.000000,1160.000000,792.000000,193.776845,0,0,
simu5g_00000039,3.3,gnb_1,2,8,25,0.320000,13.000000,13.500000,14.000000,2,0.000000,368.000000,1128.000000,1160.000000,572.000000,125.220127,1,0,0.000000
simu5g_00000040,3.3,gnb_2,1,8,25,0.320000,13.000000,13.000000,13.000000,1,0.000000,368.000000,1128.000000,1160.000000,792.000000,193.776845,0,0,
simu5g_00000041,3.4,gnb_1,2,8,25,0.320000,13.000000,13.500000,14.000000,2,0.000000,368.000000,1128.000000,1160.000000,572.000000,125.220127,1,0,0.000000
simu5g_00000042,3.4,gnb_2,1,8,25,0.320000,13.000000,13.000000,13.000000,1,0.000000,368.000000,1128.000000,1160.000000,792.000000,193.776845,0,0,
simu5g_00000043,3.5,gnb_1,2,8,25,0.320000,13.000000,13.500000,14.000000,2,0.000000,368.000000,1128.000000,1160.000000,572.000000,125.220127,1,0,0.000000
simu5g_00000044,3.5,gnb_2,1,8,25,0.320000,13.000000,13.000000,13.000000,1,0.000000,368.000000,1128.000000,1160.000000,792.000000,193.776845,0,0,
simu5g_00000045,3.6,gnb_1,2,8,25,0.320000,13.000000,13.500000,14.000000,2,0.000000,368.000000,1128.000000,1160.000000,572.000000,125.220127,1,0,0.000000
simu5g_00000046,3.6,gnb_2,1,8,25,0.320000,13.000000,13.000000,13.000000,1,0.000000,368.000000,1128.000000,1160.000000,792.000000,193.776845,0,0,
simu5g_00000047,3.7,gnb_1,2,8,25,0.320000,14.000000,14.000000,14.000000,1,0.000000,432.000000,1144.000000,1160.000000,540.000000,120.148313,1,1,1.000000
simu5g_00000048,3.7,gnb_2,1,8,25,0.320000,13.000000,13.000000,13.000000,1,0.000000,368.000000,1128.000000,1160.000000,792.000000,193.776845,0,0,
simu5g_00000049,3.8,gnb_1,2,8,25,0.320000,14.000000,14.000000,14.000000,1,0.000000,432.000000,1144.000000,1160.000000,540.000000,120.148313,1,1,1.000000
simu5g_00000050,3.8,gnb_2,1,8,25,0.320000,13.000000,13.000000,13.000000,1,0.000000,368.000000,1128.000000,1160.000000,792.000000,193.776845,0,0,
simu5g_00000051,3.9,gnb_1,2,8,25,0.320000,14.000000,14.000000,14.000000,1,0.000000,432.000000,1144.000000,1160.000000,540.000000,120.148313,1,1,1.000000
simu5g_00000052,3.9,gnb_2,1,8,25,0.320000,13.000000,13.000000,13.000000,1,0.000000,368.000000,984.000000,1128.000000,760.000000,197.818503,0,0,
simu5g_00000053,4.0,gnb_1,2,8,25,0.320000,14.000000,14.000000,14.000000,1,0.000000,432.000000,1160.000000,1160.000000,540.000000,120.524266,1,1,1.000000
simu5g_00000054,4.0,gnb_2,1,8,25,0.320000,13.000000,13.000000,13.000000,1,0.000000,368.000000,984.000000,1128.000000,760.000000,197.818503,0,0,
simu5g_00000055,4.1,gnb_1,2,8,25,0.320000,14.000000,14.000000,14.000000,1,0.000000,432.000000,1160.000000,1160.000000,540.000000,120.524266,1,1,1.000000
simu5g_00000056,4.1,gnb_2,1,8,25,0.320000,13.000000,13.000000,13.000000,1,0.000000,368.000000,984.000000,1128.000000,760.000000,197.818503,0,0,
simu5g_00000057,4.2,gnb_1,2,8,25,0.320000,14.000000,14.000000,14.000000,1,0.000000,432.000000,1160.000000,1160.000000,540.000000,118.473379,1,1,1.000000
simu5g_00000058,4.2,gnb_2,1,8,25,0.320000,13.000000,13.000000,13.000000,1,0.000000,368.000000,984.000000,1128.000000,760.000000,197.818503,0,0,
simu5g_00000059,4.3,gnb_1,2,8,25,0.320000,14.000000,14.500000,15.000000,2,0.500000,432.000000,1160.000000,1160.000000,500.000000,109.436607,1,0,0.000000
simu5g_00000060,4.3,gnb_2,1,8,25,0.320000,13.000000,13.000000,13.000000,1,0.000000,368.000000,984.000000,1128.000000,760.000000,197.818503,0,0,
simu5g_00000061,4.4,gnb_1,2,8,25,0.320000,14.000000,14.500000,15.000000,2,0.500000,432.000000,1160.000000,1160.000000,500.000000,109.436607,1,0,0.000000
simu5g_00000062,4.4,gnb_2,1,8,25,0.320000,13.000000,13.000000,13.000000,1,0.000000,368.000000,984.000000,1128.000000,760.000000,197.818503,0,0,
simu5g_00000063,4.5,gnb_1,2,8,25,0.320000,14.000000,14.500000,15.000000,2,0.500000,432.000000,1160.000000,1160.000000,500.000000,109.436607,1,0,0.000000
simu5g_00000064,4.5,gnb_2,1,8,25,0.320000,13.000000,13.000000,13.000000,1,0.000000,368.000000,984.000000,1128.000000,760.000000,197.818503,0,0,
simu5g_00000065,4.6,gnb_1,2,8,25,0.320000,14.000000,14.500000,15.000000,2,0.500000,432.000000,1160.000000,1160.000000,500.000000,109.436607,1,0,0.000000
simu5g_00000066,4.6,gnb_2,1,8,25,0.320000,13.000000,13.000000,13.000000,1,0.000000,368.000000,984.000000,1160.000000,792.000000,198.980827,0,0,
simu5g_00000067,4.7,gnb_1,2,8,25,0.320000,14.000000,14.500000,15.000000,2,0.500000,432.000000,1160.000000,1160.000000,500.000000,107.962848,1,0,0.000000
simu5g_00000068,4.7,gnb_2,1,8,25,0.320000,13.000000,13.000000,13.000000,1,0.000000,368.000000,984.000000,1160.000000,792.000000,198.980827,0,0,
simu5g_00000069,4.8,gnb_1,2,8,25,0.320000,14.000000,14.500000,15.000000,2,0.500000,432.000000,1160.000000,1160.000000,500.000000,107.962848,1,0,0.000000
simu5g_00000070,4.8,gnb_2,1,8,25,0.320000,13.000000,13.000000,13.000000,1,0.000000,368.000000,984.000000,1160.000000,792.000000,200.128215,0,0,
simu5g_00000071,4.9,gnb_1,2,8,25,0.320000,14.000000,14.500000,15.000000,2,0.500000,432.000000,1160.000000,1160.000000,500.000000,107.885025,1,0,0.000000
simu5g_00000072,4.9,gnb_2,1,8,25,0.320000,13.000000,13.000000,13.000000,1,0.000000,368.000000,984.000000,1160.000000,792.000000,200.128215,0,0,
simu5g_00000073,5.0,gnb_1,2,8,25,0.320000,14.000000,14.500000,15.000000,2,0.500000,432.000000,1160.000000,1160.000000,452.000000,94.333995,1,0,0.000000
simu5g_00000074,5.0,gnb_2,1,8,25,0.320000,13.000000,13.000000,13.000000,1,0.000000,368.000000,984.000000,1160.000000,792.000000,202.626972,0,0,
simu5g_00000075,5.1,gnb_1,2,8,25,0.320000,13.000000,14.000000,15.000000,2,0.500000,368.000000,1160.000000,1160.000000,484.000000,103.359073,1,0,0.000000
simu5g_00000076,5.1,gnb_2,1,8,25,0.320000,13.000000,13.000000,13.000000,1,0.000000,368.000000,984.000000,1160.000000,792.000000,202.626972,0,0,
simu5g_00000077,5.2,gnb_1,2,8,25,0.320000,13.000000,14.000000,15.000000,2,0.500000,368.000000,1160.000000,1160.000000,484.000000,103.359073,1,0,0.000000
simu5g_00000078,5.2,gnb_2,1,8,25,0.320000,13.000000,13.000000,13.000000,1,0.000000,368.000000,984.000000,1160.000000,792.000000,202.626972,0,0,
simu5g_00000079,5.3,gnb_1,2,8,25,0.320000,13.000000,14.000000,15.000000,2,0.500000,368.000000,1160.000000,1160.000000,484.000000,103.359073,1,0,0.000000
simu5g_00000080,5.3,gnb_2,1,8,25,0.320000,13.000000,13.000000,13.000000,1,0.000000,368.000000,984.000000,1160.000000,792.000000,202.626972,0,0,
simu5g_00000081,5.4,gnb_1,2,8,25,0.320000,13.000000,14.000000,15.000000,2,0.500000,368.000000,1160.000000,1160.000000,484.000000,103.359073,1,0,0.000000
simu5g_00000082,5.4,gnb_2,1,8,25,0.320000,15.000000,15.000000,15.000000,1,1.000000,888.000000,1160.000000,1160.000000,272.000000,53.546242,0,0,
simu5g_00000083,5.5,gnb_1,2,8,25,0.320000,13.000000,14.000000,15.000000,2,0.500000,368.000000,1160.000000,1160.000000,484.000000,103.359073,1,0,0.000000
simu5g_00000084,5.5,gnb_2,1,8,25,0.320000,15.000000,15.000000,15.000000,1,1.000000,888.000000,1160.000000,1160.000000,272.000000,53.546242,0,0,
simu5g_00000085,5.6,gnb_1,2,8,25,0.320000,13.000000,14.000000,15.000000,2,0.500000,368.000000,1160.000000,1160.000000,484.000000,103.359073,1,0,0.000000
simu5g_00000086,5.6,gnb_2,1,8,25,0.320000,15.000000,15.000000,15.000000,1,1.000000,888.000000,1160.000000,1160.000000,272.000000,53.546242,0,0,
simu5g_00000087,5.7,gnb_1,2,8,25,0.320000,13.000000,14.000000,15.000000,2,0.500000,368.000000,1160.000000,1160.000000,484.000000,102.291045,1,0,0.000000
simu5g_00000088,5.7,gnb_2,1,8,25,0.320000,15.000000,15.000000,15.000000,1,1.000000,888.000000,1160.000000,1160.000000,272.000000,53.546242,0,0,
simu5g_00000089,5.8,gnb_1,2,8,25,0.320000,13.000000,14.000000,15.000000,2,0.500000,368.000000,1160.000000,1160.000000,484.000000,102.291045,1,0,0.000000
simu5g_00000090,5.8,gnb_2,1,8,25,0.320000,15.000000,15.000000,15.000000,1,1.000000,888.000000,1160.000000,1160.000000,272.000000,53.546242,0,0,
simu5g_00000091,5.9,gnb_1,2,8,25,0.320000,13.000000,14.000000,15.000000,2,0.500000,368.000000,1160.000000,1160.000000,484.000000,102.632324,1,0,0.000000
simu5g_00000092,5.9,gnb_2,1,8,25,0.320000,15.000000,15.000000,15.000000,1,1.000000,888.000000,1160.000000,1160.000000,272.000000,53.546242,0,0,
simu5g_00000093,6.0,gnb_1,2,8,25,0.320000,13.000000,14.000000,15.000000,2,0.500000,368.000000,1160.000000,1160.000000,484.000000,102.632324,1,0,0.000000
simu5g_00000094,6.0,gnb_2,2,8,25,0.320000,12.000000,13.500000,15.000000,2,0.500000,368.000000,1128.000000,1160.000000,516.000000,118.316335,1,0,0.000000
simu5g_00000095,6.1,gnb_1,2,8,25,0.320000,14.000000,14.500000,15.000000,2,0.500000,608.000000,1160.000000,1160.000000,364.000000,75.016778,1,0,0.000000
simu5g_00000096,6.1,gnb_2,2,8,25,0.320000,12.000000,13.500000,15.000000,2,0.500000,368.000000,1128.000000,1160.000000,516.000000,118.316335,1,0,0.000000
simu5g_00000097,6.2,gnb_1,2,8,25,0.320000,14.000000,14.500000,15.000000,2,0.500000,608.000000,1160.000000,1160.000000,364.000000,75.016778,1,0,0.000000
simu5g_00000098,6.2,gnb_2,2,8,25,0.320000,12.000000,13.500000,15.000000,2,0.500000,368.000000,1128.000000,1160.000000,516.000000,118.316335,1,0,0.000000
simu5g_00000099,6.3,gnb_1,2,8,25,0.320000,14.000000,14.500000,15.000000,2,0.500000,608.000000,1160.000000,1160.000000,364.000000,75.016778,1,0,0.000000
simu5g_00000100,6.3,gnb_2,2,8,25,0.320000,12.000000,13.500000,15.000000,2,0.500000,368.000000,1128.000000,1160.000000,516.000000,118.316335,1,0,0.000000
simu5g_00000101,6.4,gnb_1,2,8,25,0.320000,14.000000,14.500000,15.000000,2,0.500000,608.000000,1160.000000,1160.000000,364.000000,75.016778,1,0,0.000000
simu5g_00000102,6.4,gnb_2,2,8,25,0.320000,12.000000,13.500000,15.000000,2,0.500000,368.000000,1128.000000,1160.000000,516.000000,118.316335,1,0,0.000000
simu5g_00000103,6.5,gnb_1,2,8,25,0.320000,14.000000,14.500000,15.000000,2,0.500000,608.000000,1160.000000,1160.000000,292.000000,60.754011,1,0,0.000000
simu5g_00000104,6.5,gnb_2,2,8,25,0.320000,12.000000,13.500000,15.000000,2,0.500000,368.000000,1128.000000,1160.000000,516.000000,118.316335,1,0,0.000000
simu5g_00000105,6.6,gnb_1,2,8,25,0.320000,14.000000,14.500000,15.000000,2,0.500000,608.000000,1160.000000,1160.000000,292.000000,60.754011,1,0,0.000000
simu5g_00000106,6.6,gnb_2,2,8,25,0.320000,12.000000,13.000000,14.000000,2,0.000000,368.000000,984.000000,1160.000000,696.000000,164.794562,1,0,0.000000
simu5g_00000107,6.7,gnb_1,2,8,25,0.320000,14.000000,14.500000,15.000000,2,0.500000,608.000000,1160.000000,1160.000000,292.000000,60.754011,1,0,0.000000
simu5g_00000108,6.7,gnb_2,2,8,25,0.320000,12.000000,13.000000,14.000000,2,0.000000,368.000000,984.000000,1160.000000,696.000000,164.794562,1,0,0.000000
simu5g_00000109,6.8,gnb_1,2,8,25,0.320000,14.000000,14.500000,15.000000,2,0.500000,608.000000,1160.000000,1160.000000,292.000000,60.754011,1,0,0.000000
simu5g_00000110,6.8,gnb_2,2,8,25,0.320000,12.000000,13.000000,14.000000,2,0.000000,368.000000,984.000000,1160.000000,696.000000,164.794562,1,0,0.000000
simu5g_00000111,6.9,gnb_1,2,8,25,0.320000,14.000000,14.500000,15.000000,2,0.500000,608.000000,1160.000000,1160.000000,292.000000,60.754011,1,0,0.000000
simu5g_00000112,6.9,gnb_2,2,8,25,0.320000,12.000000,13.000000,14.000000,2,0.000000,368.000000,984.000000,1160.000000,696.000000,164.548814,1,0,0.000000
simu5g_00000113,7.0,gnb_1,2,8,25,0.320000,15.000000,15.000000,15.000000,1,1.000000,808.000000,1160.000000,1160.000000,192.000000,37.564730,1,1,1.000000
simu5g_00000114,7.0,gnb_2,2,8,25,0.320000,12.000000,13.000000,14.000000,2,0.000000,368.000000,1128.000000,1160.000000,556.000000,134.694025,1,0,0.000000
simu5g_00000115,7.1,gnb_1,2,8,25,0.320000,15.000000,15.000000,15.000000,1,1.000000,808.000000,1160.000000,1160.000000,192.000000,37.564730,1,1,1.000000
simu5g_00000116,7.1,gnb_2,2,8,25,0.320000,12.000000,13.000000,14.000000,2,0.000000,368.000000,1128.000000,1160.000000,556.000000,134.694025,1,0,0.000000
simu5g_00000117,7.2,gnb_1,2,8,25,0.320000,15.000000,15.000000,15.000000,1,1.000000,808.000000,1160.000000,1160.000000,192.000000,37.564730,1,1,1.000000
simu5g_00000118,7.2,gnb_2,2,8,25,0.320000,12.000000,13.000000,14.000000,2,0.000000,368.000000,1128.000000,1160.000000,556.000000,134.694025,1,0,0.000000
simu5g_00000119,7.3,gnb_1,2,8,25,0.320000,15.000000,15.000000,15.000000,1,1.000000,808.000000,1160.000000,1160.000000,192.000000,37.600402,1,1,1.000000
simu5g_00000120,7.3,gnb_2,2,8,25,0.320000,12.000000,13.000000,14.000000,2,0.000000,368.000000,1128.000000,1160.000000,556.000000,134.694025,1,0,0.000000
simu5g_00000121,7.4,gnb_1,2,8,25,0.320000,15.000000,15.000000,15.000000,1,1.000000,808.000000,1160.000000,1160.000000,192.000000,37.600402,1,1,1.000000
simu5g_00000122,7.4,gnb_2,2,8,25,0.320000,12.000000,13.000000,14.000000,2,0.000000,368.000000,1128.000000,1160.000000,556.000000,134.694025,1,0,0.000000
simu5g_00000123,7.5,gnb_1,2,8,25,0.320000,15.000000,15.000000,15.000000,1,1.000000,808.000000,1160.000000,1160.000000,192.000000,37.600402,1,1,1.000000
simu5g_00000124,7.5,gnb_2,2,8,25,0.320000,12.000000,13.000000,14.000000,2,0.000000,368.000000,1128.000000,1160.000000,556.000000,134.694025,1,0,0.000000
simu5g_00000125,7.6,gnb_1,2,8,25,0.320000,15.000000,15.000000,15.000000,1,1.000000,808.000000,1160.000000,1160.000000,192.000000,37.600402,1,1,1.000000
simu5g_00000126,7.6,gnb_2,2,8,25,0.320000,12.000000,13.000000,14.000000,2,0.000000,368.000000,1128.000000,1160.000000,556.000000,134.694025,1,0,0.000000
simu5g_00000127,7.7,gnb_1,2,8,25,0.320000,15.000000,15.000000,15.000000,1,1.000000,808.000000,1160.000000,1160.000000,264.000000,51.992177,1,1,1.000000
simu5g_00000128,7.7,gnb_2,2,8,25,0.320000,12.000000,13.000000,14.000000,2,0.000000,368.000000,1128.000000,1160.000000,556.000000,134.694025,1,0,0.000000
simu5g_00000129,7.8,gnb_1,2,8,25,0.320000,14.000000,14.500000,15.000000,2,0.500000,528.000000,1160.000000,1160.000000,404.000000,86.820977,1,0,0.000000
simu5g_00000130,7.8,gnb_2,2,8,25,0.320000,12.000000,13.000000,14.000000,2,0.000000,368.000000,1128.000000,1160.000000,556.000000,134.694025,1,0,0.000000
simu5g_00000131,7.9,gnb_1,2,8,25,0.320000,14.000000,14.500000,15.000000,2,0.500000,528.000000,1160.000000,1160.000000,404.000000,86.387375,1,0,0.000000
simu5g_00000132,7.9,gnb_2,2,8,25,0.320000,12.000000,13.000000,14.000000,2,0.000000,368.000000,1128.000000,1160.000000,556.000000,134.694025,1,0,0.000000
simu5g_00000133,8.0,gnb_1,2,8,25,0.320000,14.000000,14.500000,15.000000,2,0.500000,528.000000,1160.000000,1160.000000,404.000000,86.387375,1,0,0.000000
