section,metric,value,note
bundle,scenario_count,875,
bundle,bundle_user_rows,3077,
bundle,bundle_rb_rows,76925,
bundle,mobility_scenario_rows,862,
bundle,mobility_user_rows,3117,
bundle,radio_user_rows,3117,
bundle,radio_rb_rows,77925,
join,dropped_radio_user_rows,40,
join,dropped_mobility_rows,342,
join,bundle_user_retention_ratio,0.987167,
snapshot,active_ues_min,1,
snapshot,active_ues_median,3.000000,
snapshot,active_ues_max,7,
snapshot,multi_ue_snapshot_count,820,
snapshot,serving_gnb_unique_count,2,
cqi,cqi_unique_values,8|9|10|11|12|13|14|15,
cqi,cqi_min,8.0,
cqi,cqi_median,14.000000,
cqi,cqi_max,15.0,
cqi,cqi_saturation_ratio,0.472863,
rate,per_user_profile_range_mean_kbps,382.343841,
rate,per_user_profile_range_max_kbps,1104.000000,
rate,per_user_profile_std_mean_kbps,92.651451,
rate,per_user_rate_mean_p50_kbps,1124.160000,
rate,per_user_rate_mean_p95_kbps,1160.000000,
ambiguity,pair_count,5052,
ambiguity,ambiguous_pair_count,1649,
ambiguity,ambiguous_pair_ratio,0.326405,
pressure,rb_available_unique_values,8,
pressure,total_rbs_unique_values,25,
pressure,resource_pressure_ratio_min,0.320000,
pressure,resource_pressure_ratio_median,0.320000,
pressure,resource_pressure_ratio_max,0.320000,
quality,previous_quality_unique_values,1|2|3|4|5,
quality,previous_quality_source,deterministic_adaptation_controller_from_radio_capacity_and_cell_load,
quality,quality_switch_count,93,
quality,quality_switch_ratio,0.029932,
quality,missing_previous_quality_ratio,0.000000,
handover,handover_count,14,
handover,handover_ue_count,8,
teacher,teacher_validation_pass,1,
