timestamp_s,ue_id,serving_gnb,active_ues_same_gnb,raw_feedback_timestamp_s,achievable_kbps_if_all_budget_assigned,effective_capacity_kbps,ewma_capacity_kbps,buffer_s,previous_quality,next_quality,stalled
0.2,0,gnb_2,1,0.294,11600.000000,11600.000000,6380.000000,4.009091,1,2,0
0.3,0,gnb_2,1,0.396,11600.000000,11600.000000,8207.000000,4.682424,2,3,0
0.4,0,gnb_2,1,0.498,11600.000000,11600.000000,9394.550000,4.969091,3,4,0
0.5,0,gnb_2,1,0.594,11600.000000,11600.000000,10166.457500,5.069091,4,5,0
0.6,0,gnb_2,1,0.696,11600.000000,11600.000000,10668.197375,5.123758,5,5,0
0.7,0,gnb_2,1,0.798,11600.000000,11600.000000,10994.328294,5.178424,5,5,0
0.8,0,gnb_2,1,0.894,11600.000000,11600.000000,11206.313391,5.233091,5,5,0
0.9,0,gnb_2,1,0.996,11600.000000,11600.000000,11344.103704,5.287758,5,5,0
1.0,0,gnb_2,1,1.098,11600.000000,11600.000000,11433.667408,5.342424,5,5,0
1.1,0,gnb_2,1,1.194,11600.000000,11600.000000,11491.883815,5.397091,5,5,0
1.2,0,gnb_2,1,1.296,11600.000000,11600.000000,11529.724480,5.451758,5,5,0
1.3,0,gnb_2,1,1.398,11600.000000,11600.000000,11554.320912,5.506424,5,5,0
1.4,0,gnb_2,1,1.494,11600.000000,11600.000000,11570.308593,5.561091,5,5,0
1.5,0,gnb_2,1,1.596,11600.000000,11600.000000,11580.700585,5.615758,5,5,0
1.6,0,gnb_2,1,1.698,11600.000000,11600.000000,11587.455380,5.670424,5,5,0
1.7,0,gnb_2,1,1.794,11600.000000,11600.000000,11591.845997,5.725091,5,5,0
1.8,0,gnb_2,1,1.896,11600.000000,11600.000000,11594.699898,5.779758,5,5,0
1.9,0,gnb_2,1,1.998,11600.000000,11600.000000,11596.554934,5.834424,5,5,0
2.0,0,gnb_2,1,2.094,11440.000000,11440.000000,11541.760707,5.886958,5,5,0
2.1,0,gnb_2,1,2.196,11440.000000,11440.000000,11506.144460,5.939491,5,5,0
