scenario_id,timestamp_s,ue_id_a,ue_id_b,cqi_a,cqi_b,cqi_gap,mean_profile_gap_kbps,max_profile_gap_kbps,ambiguous_pair
simu5g_00000015,2.1,15,31,14,13,1.000000,113.600000,616.000000,0
simu5g_00000017,2.2,15,31,14,13,1.000000,113.600000,616.000000,0
simu5g_00000019,2.3,15,31,14,13,1.000000,113.600000,616.000000,0
simu5g_00000021,2.4,15,31,14,13,1.000000,113.600000,616.000000,0
simu5g_00000023,2.5,15,31,14,13,1.000000,113.600000,616.000000,0
simu5g_00000025,2.6,15,31,14,13,1.000000,113.600000,616.000000,0
simu5g_00000027,2.7,15,31,14,13,1.000000,113.600000,616.000000,0
simu5g_00000029,2.8,15,31,14,13,1.000000,113.600000,616.000000,0
simu5g_00000031,2.9,15,31,14,13,1.000000,113.600000,616.000000,0
simu5g_00000033,3.0,15,31,14,13,1.000000,113.600000,616.000000,0
simu5g_00000035,3.1,15,31,14,13,1.000000,113.600000,616.000000,0
simu5g_00000037,3.2,15,31,14,13,1.000000,113.600000,616.000000,0
simu5g_00000039,3.3,15,31,14,13,1.000000,113.600000,616.000000,0
simu5g_00000041,3.4,15,31,14,13,1.000000,113.600000,616.000000,0
simu5g_00000043,3.5,15,31,14,13,1.000000,113.600000,616.000000,0
simu5g_00000045,3.6,15,31,14,13,1.000000,113.600000,616.000000,0
simu5g_00000047,3.7,15,31,14,14,0.000000,105.920000,552.000000,1
simu5g_00000049,3.8,15,31,14,14,0.000000,105.920000,552.000000,1
simu5g_00000051,3.9,15,31,14,14,0.000000,105.920000,552.000000,1
simu5g_00000053,4.0,15,31,14,14,0.000000,104.640000,552.000000,1
simu5g_00000055,4.1,15,31,14,14,0.000000,104.640000,552.000000,1
simu5g_00000057,4.2,15,31,14,14,0.000000,101.440000,552.000000,1
simu5g_00000059,4.3,15,31,15,14,1.000000,93.760000,552.000000,0
simu5g_00000061,4.4,15,31,15,14,1.000000,93.760000,552.000000,0
simu5g_00000063,4.5,15,31,15,14,1.000000,93.760000,552.000000,0
simu5g_00000065,4.6,15,31,15,14,1.000000,93.760000,552.000000,0
simu5g_00000067,4.7,15,31,15,14,1.000000,89.920000,552.000000,0
simu5g_00000069,4.8,15,31,15,14,1.000000,89.920000,552.000000,0
simu5g_00000071,4.9,15,31,15,14,1.000000,95.680000,552.000000,0
simu5g_00000073,5.0,15,31,15,14,1.000000,100.160000,696.000000,0
simu5g_00000075,5.1,15,31,15,13,2.000000,122.560000,760.000000,0
simu5g_00000077,5.2,15,31,15,13,2.000000,122.560000,760.000000,0
simu5g_00000079,5.3,15,31,15,13,2.000000,122.560000,760.000000,0
simu5g_00000081,5.4,15,31,15,13,2.000000,122.560000,760.000000,0
simu5g_00000083,5.5,15,31,15,13,2.000000,122.560000,760.000000,0
simu5g_00000085,5.6,15,31,15,13,2.000000,122.560000,760.000000,0
simu5g_00000087,5.7,15,31,15,13,2.000000,118.720000,760.000000,0
simu5g_00000089,5.8,15,31,15,13,2.000000,118.720000,760.000000,0
simu5g_00000091,5.9,15,31,15,13,2.000000,112.960000,760.000000,0
simu5g_00000093,6.0,15,31,15,13,2.000000,112.960000,760.000000,0
simu5g_00000094,6.0,0,1,15,12,3.000000,273.600000,792.000000,0
simu5g_00000095,6.1,15,31,15,14,1.000000,57.920000,520.000000,0
simu5g_00000096,6.1,0,1,15,12,3.000000,273.600000,792.000000,0
