timestamp_s,ue_id,serving_gnb,active_ues_same_gnb,raw_feedback_timestamp_s,achievable_kbps_if_all_budget_assigned,effective_capacity_kbps,ewma_capacity_kbps,buffer_s,previous_quality,next_quality,stalled
0.2,0,gnb_2,1,0.294,13856.000000,13856.000000,7620.800000,4.419273,1,2,0
0.3,0,gnb_2,1,0.396,13856.000000,13856.000000,9803.120000,5.243006,2,3,0
0.4,0,gnb_2,1,0.498,13856.000000,13856.000000,11221.628000,5.604873,3,4,0
0.5,0,gnb_2,1,0.594,13856.000000,13856.000000,12143.658200,5.743769,4,5,0
0.6,0,gnb_2,1,0.696,13856.000000,13856.000000,12742.977830,5.828516,5,5,0
0.7,0,gnb_2,1,0.798,13856.000000,13856.000000,13132.535589,5.913263,5,5,0
0.8,0,gnb_2,1,0.894,13856.000000,13856.000000,13385.748133,5.998009,5,5,0
0.9,0,gnb_2,1,0.996,13856.000000,13856.000000,13550.336287,6.082756,5,5,0
1.0,0,gnb_2,1,1.098,13856.000000,13856.000000,13657.318586,6.167503,5,5,0
1.1,0,gnb_2,1,1.194,13856.000000,13856.000000,13726.857081,6.252249,5,5,0
1.2,0,gnb_2,1,1.296,13856.000000,13856.000000,13772.057103,6.336996,5,5,0
1.3,0,gnb_2,1,1.398,13856.000000,13856.000000,13801.437117,6.421743,5,5,0
1.4,0,gnb_2,1,1.494,13856.000000,13856.000000,13820.534126,6.506489,5,5,0
1.5,0,gnb_2,1,1.596,13856.000000,13856.000000,13832.947182,6.591236,5,5,0
1.6,0,gnb_2,1,1.698,13856.000000,13856.000000,13841.015668,6.675983,5,5,0
1.7,0,gnb_2,1,1.794,13856.000000,13856.000000,13846.260184,6.760729,5,5,0
1.8,0,gnb_2,1,1.896,13856.000000,13856.000000,13849.669120,6.845476,5,5,0
1.9,0,gnb_2,1,1.998,13856.000000,13856.000000,13851.884928,6.930223,5,5,0
2.0,0,gnb_2,1,2.094,13696.000000,13696.000000,13797.325203,7.012836,5,5,0
2.1,0,gnb_2,1,2.196,13696.000000,13696.000000,13761.861382,7.095449,5,5,0
2.2,0,gnb_2,1,2.298,13696.000000,13696.000000,13738.809898,7.178063,5,5,0
2.3,0,gnb_2,1,2.394,13696.000000,13696.000000,13723.826434,7.260676,5,5,0
2.4,0,gnb_2,1,2.496,13696.000000,13696.000000,13714.087182,7.343289,5,5,0
2.5,0,gnb_2,1,2.598,13696.000000,13696.000000,13707.756668,7.425903,5,5,0
2.6,0,gnb_2,1,2.694,13696.000000,13696.000000,13703.641834,7.508516,5,5,0
2.7,0,gnb_2,1,2.796,13696.000000,13696.000000,13700.967192,7.591129,5,5,0
2.8,0,gnb_2,1,2.898,13696.000000,13696.000000,13699.228675,7.673743,5,5,0
2.9,0,gnb_2,1,2.994,13696.000000,13696.000000,13698.098639,7.756356,5,5,0
3.0,0,gnb_2,1,3.096,13696.000000,13696.000000,13697.364115,7.838969,5,5,0
3.1,0,gnb_2,1,3.198,13696.000000,13696.000000,13696.886675,7.921583,5,5,0
3.2,0,gnb_2,1,3.294,13696.000000,13696.000000,13696.576339,8.004196,5,5,0
3.3,0,gnb_2,1,3.396,13696.000000,13696.000000,13696.374620,8.086809,5,5,0
