segment_id,ue_ids,serving_gnb,segment_start_s,segment_end_s,suggested_split_s,focus_train_scenarios,focus_test_scenarios,focus_train_positive_gain_count,focus_test_positive_gain_count
seg_02,0|1|2|3,gnb_2,16.1,17.0,16.1,22,9,13,9
seg_02,0|1|2|3,gnb_2,16.1,17.0,16.2,23,8,14,8
seg_02,0|1|2|3,gnb_2,16.1,17.0,16.3,24,7,15,7
seg_01,0|1|2|3,gnb_2,14.0,15.1,14.5,6,6,6,6
seg_02,0|1|2|3,gnb_2,16.1,17.0,16.4,25,6,16,6
seg_01,0|1|2|3,gnb_2,14.0,15.1,14.4,5,7,5,7
seg_01,0|1|2|3,gnb_2,14.0,15.1,14.6,7,5,7,5
seg_02,0|1|2|3,gnb_2,16.1,17.0,16.5,26,5,17,5
seg_01,0|1|2|3,gnb_2,14.0,15.1,14.3,4,8,4,8
seg_01,0|1|2|3,gnb_2,14.0,15.1,14.7,8,4,8,4
seg_02,0|1|2|3,gnb_2,16.1,17.0,16.6,27,4,18,4
seg_01,0|1|2|3,gnb_2,14.0,15.1,14.2,3,9,3,9
seg_01,0|1|2|3,gnb_2,14.0,15.1,14.8,9,3,9,3
seg_02,0|1|2|3,gnb_2,16.1,17.0,16.7,28,3,19,3
seg_01,0|1|2|3,gnb_2,14.0,15.1,14.1,2,10,2,10
seg_01,0|1|2|3,gnb_2,14.0,15.1,14.9,10,2,10,2
seg_02,0|1|2|3,gnb_2,16.1,17.0,16.8,29,2,20,2
seg_01,0|1|2|3,gnb_2,14.0,15.1,14.0,1,11,1,11
seg_01,0|1|2|3,gnb_2,14.0,15.1,15.0,11,1,11,1
seg_02,0|1|2|3,gnb_2,16.1,17.0,16.9,30,1,21,1
seg_03,0|1|2|3,gnb_2,17.6,17.7,17.6,37,1,23,1
