ue_ids,serving_gnb,scenario_count,user_count,max_teacher_gain_vs_single,max_cqi_range,max_resource_cost_range,max_previous_quality_range,first_time_s,last_time_s
1|2|3|4|5|6,gnb_2,18,6,0.000000000000,6.0,1.166667,1.0,27.2,28.9
2|3|4|5|6,gnb_2,20,5,0.000000000000,6.0,0.833333,1.0,29.0,30.9
0|1|2|3|4|5,gnb_2,20,6,0.000000000000,5.0,0.833333,1.0,24.0,26.9
3|31|4|5|6,gnb_2,16,5,0.000000000000,5.0,0.833333,1.0,31.0,32.5
1|2|3|4|5,gnb_2,12,5,0.000000000000,5.0,0.833333,1.0,25.0,27.1
0|1|15|2|3|4|5,gnb_1,20,7,0.000000000000,6.0,0.500000,0.0,40.0,41.9
3|31|4|5|6|7,gnb_2,54,6,0.000000000000,4.0,0.500000,1.0,32.6,37.9
31|4|5|6|7,gnb_2,17,5,0.000000000000,4.0,0.333333,1.0,38.0,39.6
0|1|2|3|4,gnb_2,37,5,0.000000000000,4.0,0.166667,1.0,19.3,22.9
0|1|15|31,gnb_1,20,4,0.000000000000,4.0,0.166667,1.0,29.0,30.9
0|1|2|3|4|5,gnb_1,20,6,0.000000000000,4.0,0.166667,1.0,43.0,44.9
0|1|15|2|4|5,gnb_1,10,6,0.000000000000,3.0,0.166667,0.0,42.0,42.9
0|2|3|4|5,gnb_2,7,5,0.000000000000,3.0,0.166667,1.0,23.3,23.9
0|2|3|4,gnb_2,3,4,0.000000000000,3.0,0.166667,1.0,23.0,23.2
4|5|6|7,gnb_2,3,4,0.000000000000,3.0,0.166667,0.0,39.7,39.9
