scenario_mode,load_level,rb_budget_ratio,seed,test_index,kmax,feature_mode,method,pairwise_accuracy,ari,nmi,teacher_groups,predicted_groups
coupled_temporal_focus,coupled_trace_rb_0.32_temporal_focus,0.32,9,0,3,history_cost_quality,Multi-feature k-means,1.0,1.0,1.0,1,1
coupled_temporal_focus,coupled_trace_rb_0.32_temporal_focus,0.32,9,0,3,history_cost_quality,LE-GRA MVP,1.0,1.0,1.0,1,1
coupled_temporal_focus,coupled_trace_rb_0.32_temporal_focus,0.32,9,1,3,history_cost_quality,Multi-feature k-means,1.0,1.0,1.0,2,2
coupled_temporal_focus,coupled_trace_rb_0.32_temporal_focus,0.32,9,1,3,history_cost_quality,LE-GRA MVP,1.0,1.0,1.0,2,2
coupled_temporal_focus,coupled_trace_rb_0.32_temporal_focus,0.32,9,2,3,history_cost_quality,Multi-feature k-means,1.0,1.0,1.0,2,2
coupled_temporal_focus,coupled_trace_rb_0.32_temporal_focus,0.32,9,2,3,history_cost_quality,LE-GRA MVP,1.0,1.0,1.0,2,2
coupled_temporal_focus,coupled_trace_rb_0.32_temporal_focus,0.32,9,3,3,history_cost_quality,Multi-feature k-means,1.0,1.0,1.0,2,2
coupled_temporal_focus,coupled_trace_rb_0.32_temporal_focus,0.32,9,3,3,history_cost_quality,LE-GRA MVP,1.0,1.0,1.0,2,2
coupled_temporal_focus,coupled_trace_rb_0.32_temporal_focus,0.32,9,4,3,history_cost_quality,Multi-feature k-means,1.0,1.0,1.0,2,2
coupled_temporal_focus,coupled_trace_rb_0.32_temporal_focus,0.32,9,4,3,history_cost_quality,LE-GRA MVP,1.0,1.0,1.0,2,2
coupled_temporal_focus,coupled_trace_rb_0.32_temporal_focus,0.32,9,5,3,history_cost_quality,Multi-feature k-means,1.0,1.0,1.0,2,2
coupled_temporal_focus,coupled_trace_rb_0.32_temporal_focus,0.32,9,5,3,history_cost_quality,LE-GRA MVP,1.0,1.0,1.0,2,2
coupled_temporal_focus,coupled_trace_rb_0.32_temporal_focus,0.32,9,6,3,history_cost_quality,Multi-feature k-means,1.0,1.0,1.0,2,2
coupled_temporal_focus,coupled_trace_rb_0.32_temporal_focus,0.32,9,6,3,history_cost_quality,LE-GRA MVP,1.0,1.0,1.0,2,2
coupled_temporal_focus,coupled_trace_rb_0.32_temporal_focus,0.32,9,7,3,history_cost_quality,Multi-feature k-means,1.0,1.0,1.0,2,2
coupled_temporal_focus,coupled_trace_rb_0.32_temporal_focus,0.32,9,7,3,history_cost_quality,LE-GRA MVP,1.0,1.0,1.0,2,2
coupled_temporal_focus,coupled_trace_rb_0.32_temporal_focus,0.32,9,8,3,history_cost_quality,Multi-feature k-means,1.0,1.0,1.0,2,2
coupled_temporal_focus,coupled_trace_rb_0.32_temporal_focus,0.32,9,8,3,history_cost_quality,LE-GRA MVP,1.0,1.0,1.0,2,2
coupled_temporal_focus,coupled_trace_rb_0.32_temporal_focus,0.32,9,9,3,history_cost_quality,Multi-feature k-means,1.0,1.0,1.0,2,2
coupled_temporal_focus,coupled_trace_rb_0.32_temporal_focus,0.32,9,9,3,history_cost_quality,LE-GRA MVP,1.0,1.0,1.0,2,2
coupled_temporal_focus,coupled_trace_rb_0.32_temporal_focus,0.32,9,10,3,history_cost_quality,Multi-feature k-means,1.0,1.0,1.0,2,2
coupled_temporal_focus,coupled_trace_rb_0.32_temporal_focus,0.32,9,10,3,history_cost_quality,LE-GRA MVP,1.0,1.0,1.0,2,2
coupled_temporal_focus,coupled_trace_rb_0.32_temporal_focus,0.32,9,11,3,history_cost_quality,Multi-feature k-means,1.0,1.0,1.0,1,1
coupled_temporal_focus,coupled_trace_rb_0.32_temporal_focus,0.32,9,11,3,history_cost_quality,LE-GRA MVP,1.0,1.0,1.0,1,1
coupled_temporal_focus,coupled_trace_rb_0.32_temporal_focus,0.32,9,12,3,history_cost_quality,Multi-feature k-means,1.0,1.0,1.0,1,1
coupled_temporal_focus,coupled_trace_rb_0.32_temporal_focus,0.32,9,12,3,history_cost_quality,LE-GRA MVP,1.0,1.0,1.0,1,1
coupled_temporal_focus,coupled_trace_rb_0.32_temporal_focus,0.32,9,13,3,history_cost_quality,Multi-feature k-means,1.0,1.0,1.0,1,1
coupled_temporal_focus,coupled_trace_rb_0.32_temporal_focus,0.32,9,13,3,history_cost_quality,LE-GRA MVP,1.0,1.0,1.0,1,1
coupled_temporal_focus,coupled_trace_rb_0.32_temporal_focus,0.32,9,14,3,history_cost_quality,Multi-feature k-means,1.0,1.0,1.0,1,1
coupled_temporal_focus,coupled_trace_rb_0.32_temporal_focus,0.32,9,14,3,history_cost_quality,LE-GRA MVP,1.0,1.0,1.0,1,1
coupled_temporal_focus,coupled_trace_rb_0.32_temporal_focus,0.32,9,15,3,history_cost_quality,Multi-feature k-means,1.0,1.0,1.0,1,1
coupled_temporal_focus,coupled_trace_rb_0.32_temporal_focus,0.32,9,15,3,history_cost_quality,LE-GRA MVP,1.0,1.0,1.0,1,1
coupled_temporal_focus,coupled_trace_rb_0.32_temporal_focus,0.32,9,16,3,history_cost_quality,Multi-feature k-means,1.0,1.0,1.0,2,2
coupled_temporal_focus,coupled_trace_rb_0.32_temporal_focus,0.32,9,16,3,history_cost_quality,LE-GRA MVP,1.0,1.0,1.0,2,2
coupled_temporal_focus,coupled_trace_rb_0.32_temporal_focus,0.32,9,17,3,history_cost_quality,Multi-feature k-means,1.0,1.0,1.0,2,2
coupled_temporal_focus,coupled_trace_rb_0.32_temporal_focus,0.32,9,17,3,history_cost_quality,LE-GRA MVP,1.0,1.0,1.0,2,2
coupled_temporal_focus,coupled_trace_rb_0.32_temporal_focus,0.32,9,18,3,history_cost_quality,Multi-feature k-means,1.0,1.0,1.0,1,1
coupled_temporal_focus,coupled_trace_rb_0.32_temporal_focus,0.32,9,18,3,history_cost_quality,LE-GRA MVP,1.0,1.0,1.0,1,1
coupled_temporal_focus,coupled_trace_rb_0.32_temporal_focus,0.32,9,19,3,history_cost_quality,Multi-feature k-means,1.0,1.0,1.0,1,1
coupled_temporal_focus,coupled_trace_rb_0.32_temporal_focus,0.32,9,19,3,history_cost_quality,LE-GRA MVP,1.0,1.0,1.0,1,1
coupled_temporal_focus,coupled_trace_rb_0.32_temporal_focus,0.32,9,20,3,history_cost_quality,Multi-feature k-means,1.0,1.0,1.0,1,1
coupled_temporal_focus,coupled_trace_rb_0.32_temporal_focus,0.32,9,20,3,history_cost_quality,LE-GRA MVP,1.0,1.0,1.0,1,1
