timestamp_s,ue_id,demand_class,serving_gnb,active_ues_same_gnb,raw_feedback_timestamp_s,achievable_kbps_if_all_budget_assigned,effective_capacity_kbps,ewma_capacity_kbps,buffer_s,previous_quality,next_quality,stalled
0.2,0,conservative,gnb_2,1,0.294,6960.000000,6960.000000,3340.800000,6.580000,0,1,0
0.3,0,conservative,gnb_2,1,0.396,6960.000000,6960.000000,4137.024000,7.745455,1,2,0
0.4,0,conservative,gnb_2,1,0.498,6960.000000,6960.000000,4758.078720,8.109455,2,3,0
0.5,0,conservative,gnb_2,1,0.594,6960.000000,6960.000000,5242.501402,8.241455,3,3,0
0.6,0,conservative,gnb_2,1,0.696,6960.000000,6960.000000,5620.351093,8.373455,3,3,0
0.7,0,conservative,gnb_2,1,0.798,6960.000000,6960.000000,5915.073853,8.505455,3,3,0
0.8,0,conservative,gnb_2,1,0.894,6960.000000,6960.000000,6144.957605,8.637455,3,4,0
0.9,0,conservative,gnb_2,1,0.996,6960.000000,6960.000000,6324.266932,8.657455,4,4,0
1.0,0,conservative,gnb_2,1,1.098,6960.000000,6960.000000,6464.128207,8.677455,4,4,0
1.1,0,conservative,gnb_2,1,1.194,6960.000000,6960.000000,6573.220001,8.697455,4,4,0
1.2,0,conservative,gnb_2,1,1.296,6960.000000,6960.000000,6658.311601,8.717455,4,4,0
1.3,0,conservative,gnb_2,1,1.398,6960.000000,6960.000000,6724.683049,8.737455,4,4,0
1.4,0,conservative,gnb_2,1,1.494,6960.000000,6960.000000,6776.452778,8.757455,4,4,0
1.5,0,conservative,gnb_2,1,1.596,6960.000000,6960.000000,6816.833167,8.777455,4,4,0
1.6,0,conservative,gnb_2,1,1.698,6960.000000,6960.000000,6848.329870,8.797455,4,4,0
1.7,0,conservative,gnb_2,1,1.794,6960.000000,6960.000000,6872.897299,8.817455,4,4,0
1.8,0,conservative,gnb_2,1,1.896,6960.000000,6960.000000,6892.059893,8.837455,4,4,0
1.9,0,conservative,gnb_2,1,1.998,6960.000000,6960.000000,6907.006717,8.857455,4,4,0
2.0,0,conservative,gnb_2,1,2.094,6928.000000,6928.000000,6911.625239,8.876903,4,4,0
2.1,0,conservative,gnb_2,1,2.196,6928.000000,6928.000000,6915.227686,8.896351,4,4,0
2.2,0,conservative,gnb_2,1,2.298,6928.000000,6928.000000,6918.037595,8.915799,4,4,0
2.3,0,conservative,gnb_2,1,2.394,6928.000000,6928.000000,6920.229324,8.935248,4,4,0
2.4,0,conservative,gnb_2,1,2.496,6928.000000,6928.000000,6921.938873,8.954696,4,4,0
2.5,0,conservative,gnb_2,1,2.598,6928.000000,6928.000000,6923.272321,8.974144,4,4,0
2.6,0,conservative,gnb_2,1,2.694,6928.000000,6928.000000,6924.312410,8.993592,4,4,0
2.7,0,conservative,gnb_2,1,2.796,6928.000000,6928.000000,6925.123680,9.013041,4,4,0
2.8,0,conservative,gnb_2,1,2.898,6928.000000,6928.000000,6925.756470,9.032489,4,4,0
2.9,0,conservative,gnb_2,1,2.994,6928.000000,6928.000000,6926.250047,9.051937,4,4,0
3.0,0,conservative,gnb_2,1,3.096,6928.000000,6928.000000,6926.635037,9.071386,4,4,0
3.1,0,conservative,gnb_2,1,3.198,6928.000000,6928.000000,6926.935329,9.090834,4,4,0
3.2,0,conservative,gnb_2,1,3.294,6928.000000,6928.000000,6927.169556,9.110282,4,4,0
3.3,0,conservative,gnb_2,1,3.396,6928.000000,6928.000000,6927.352254,9.129730,4,4,0
3.4,0,conservative,gnb_2,1,3.498,6928.000000,6928.000000,6927.494758,9.149179,4,4,0
3.5,0,conservative,gnb_2,1,3.594,6928.000000,6928.000000,6927.605911,9.168627,4,4,0
3.6,0,conservative,gnb_2,1,3.696,6928.000000,6928.000000,6927.692611,9.188075,4,4,0
3.7,0,conservative,gnb_2,1,3.798,6928.000000,6928.000000,6927.760236,9.207524,4,4,0
3.8,0,conservative,gnb_2,1,3.894,6928.000000,6928.000000,6927.812984,9.226972,4,4,0
3.9,0,conservative,gnb_2,1,3.996,6768.000000,6768.000000,6892.654128,9.243661,4,4,0
4.0,0,conservative,gnb_2,1,4.098,6768.000000,6768.000000,6865.230220,9.260351,4,4,0
4.1,0,conservative,gnb_2,1,4.194,6768.000000,6768.000000,6843.839571,9.277041,4,4,0
4.2,0,conservative,gnb_2,1,4.296,6768.000000,6768.000000,6827.154866,9.293730,4,4,0
4.3,0,conservative,gnb_2,1,4.398,6768.000000,6768.000000,6814.140795,9.310420,4,4,0
4.4,0,conservative,gnb_2,1,4.494,6768.000000,6768.000000,6803.989820,9.327110,4,4,0
4.5,0,conservative,gnb_2,1,4.596,6768.000000,6768.000000,6796.072060,9.343799,4,4,0
4.6,0,conservative,gnb_2,1,4.698,6800.000000,6800.000000,6796.936207,9.361041,4,4,0
4.7,0,conservative,gnb_2,1,4.794,6800.000000,6800.000000,6797.610241,9.378282,4,4,0
