ratio_tag,rb_budget_ratio,ue_ids,serving_gnb,scenario_count,positive_snapshot_count,positive_ratio,max_teacher_gain_vs_single,max_cqi_range,max_resource_cost_range,first_time_s,last_time_s
rb_032,0.32,1|2|3|4|5|6,gnb_2,18,0,0.0,0.0,6.0,1.1666666666666665,27.2,28.9
rb_032,0.32,2|3|4|5|6,gnb_2,20,0,0.0,0.0,6.0,0.8333333333333335,29.0,30.9
rb_032,0.32,0|1|2|3|4|5,gnb_2,20,0,0.0,0.0,5.0,0.8333333333333335,24.0,26.9
rb_032,0.32,3|31|4|5|6,gnb_2,16,0,0.0,1.1102230246251565e-16,5.0,0.8333333333333335,31.0,32.5
rb_028,0.28,1|2|3|4|5|6,gnb_2,18,4,0.2222222222222222,0.05303698023995784,6.0,1.1666666666666665,27.2,28.9
rb_028,0.28,2|3|4|5|6,gnb_2,20,0,0.0,0.0,6.0,0.8333333333333335,29.0,30.9
rb_028,0.28,0|1|2|3|4|5,gnb_2,20,0,0.0,0.0,5.0,0.8333333333333335,24.0,26.9
rb_028,0.28,3|31|4|5|6,gnb_2,16,2,0.125,0.011900924527039058,5.0,0.8333333333333335,31.0,32.5
rb_024,0.24,1|2|3|4|5|6,gnb_2,18,1,0.05555555555555555,0.023566426033575172,6.0,1.1666666666666665,27.2,28.9
rb_024,0.24,2|3|4|5|6,gnb_2,20,0,0.0,0.0,6.0,0.8333333333333335,29.0,30.9
rb_024,0.24,0|1|2|3|4|5,gnb_2,20,0,0.0,0.0,5.0,0.8333333333333335,24.0,26.9
rb_024,0.24,3|31|4|5|6,gnb_2,16,0,0.0,0.0,5.0,0.8333333333333335,31.0,32.5
rb_020,0.2,1|2|3|4|5|6,gnb_2,18,0,0.0,0.0,6.0,1.1666666666666665,27.2,28.9
rb_020,0.2,2|3|4|5|6,gnb_2,20,0,0.0,0.0,6.0,0.8333333333333335,29.0,30.9
rb_020,0.2,0|1|2|3|4|5,gnb_2,20,0,0.0,0.0,5.0,0.8333333333333335,24.0,26.9
rb_020,0.2,3|31|4|5|6,gnb_2,16,0,0.0,0.0,5.0,0.8333333333333335,31.0,32.5
