timestamp_s,ue_id,serving_gnb,wideband_cqi,previous_quality,total_rbs,rb_available,wideband_sinr_db,rsrp_dbm,rsrq_db,mcs
0.2,0,gnb_2,13.760000,0,25,7,27.726338,-71.773662,,
0.3,0,gnb_2,13.760000,1,25,7,27.727020,-71.772980,,
0.4,0,gnb_2,13.760000,2,25,7,27.728071,-71.771929,,
0.5,0,gnb_2,13.760000,3,25,7,27.729478,-71.770522,,
0.6,0,gnb_2,13.760000,4,25,7,27.731231,-71.768769,,
0.7,0,gnb_2,13.760000,4,25,7,27.733296,-71.766704,,
0.8,0,gnb_2,13.800000,4,25,7,27.735633,-71.764367,,
0.9,0,gnb_2,13.800000,4,25,7,27.738194,-71.761806,,
1.0,0,gnb_2,13.800000,4,25,7,27.741105,-71.758895,,
1.1,0,gnb_2,13.800000,4,25,7,27.744250,-71.755750,,
1.2,0,gnb_2,13.800000,4,25,7,27.747622,-71.752378,,
1.3,0,gnb_2,13.800000,4,25,7,27.751248,-71.748752,,
1.4,0,gnb_2,13.800000,4,25,7,27.755230,-71.744770,,
1.5,0,gnb_2,13.800000,4,25,7,27.759379,-71.740621,,
1.6,0,gnb_2,13.800000,4,25,7,27.763665,-71.736335,,
1.7,0,gnb_2,13.800000,4,25,7,27.768310,-71.731690,,
1.7,15,gnb_1,14.440000,0,25,7,32.000167,-67.499833,,
1.7,31,gnb_1,13.400000,1,25,7,27.332243,-72.167757,,
1.8,0,gnb_2,13.800000,4,25,7,27.773087,-71.726913,,
1.8,15,gnb_1,14.440000,0,25,7,32.001614,-67.498386,,
1.8,31,gnb_1,13.400000,1,25,7,27.333981,-72.166019,,
1.9,0,gnb_2,13.800000,4,25,7,27.778213,-71.721787,,
1.9,15,gnb_1,14.440000,1,25,7,32.003843,-67.496157,,
1.9,31,gnb_1,13.400000,1,25,7,27.336450,-72.163550,,
2.0,0,gnb_2,14.000000,4,25,7,27.783580,-71.716420,,
2.0,15,gnb_1,14.440000,2,25,7,32.006711,-67.493289,,
2.0,31,gnb_1,13.400000,1,25,7,27.339753,-72.160247,,
2.1,0,gnb_2,14.000000,4,25,7,27.789261,-71.710739,,
2.1,15,gnb_1,14.440000,2,25,7,32.010107,-67.489893,,
2.1,31,gnb_1,13.400000,2,25,7,27.343869,-72.156131,,
2.2,0,gnb_2,14.000000,4,25,7,27.795154,-71.704846,,
2.2,15,gnb_1,14.440000,3,25,7,32.013946,-67.486054,,
2.2,31,gnb_1,13.400000,3,25,7,27.348638,-72.151362,,
2.3,0,gnb_2,14.000000,4,25,7,27.801245,-71.698755,,
2.3,15,gnb_1,14.440000,3,25,7,32.018564,-67.481436,,
2.3,31,gnb_1,13.400000,3,25,7,27.354186,-72.145814,,
2.4,0,gnb_2,14.000000,4,25,7,27.807518,-71.692482,,
2.4,15,gnb_1,14.440000,3,25,7,32.023803,-67.476197,,
2.4,31,gnb_1,13.400000,3,25,7,27.360582,-72.139418,,
2.5,0,gnb_2,14.000000,4,25,7,27.814137,-71.685863,,
2.5,15,gnb_1,14.440000,3,25,7,32.029545,-67.470455,,
2.5,31,gnb_1,13.400000,3,25,7,27.367472,-72.132528,,
2.6,0,gnb_2,14.000000,4,25,7,27.820937,-71.679063,,
2.6,15,gnb_1,14.440000,3,25,7,32.035690,-67.464310,,
2.6,31,gnb_1,13.400000,3,25,7,27.374734,-72.125266,,
2.7,0,gnb_2,14.000000,4,25,7,27.827940,-71.672060,,
2.7,15,gnb_1,14.440000,3,25,7,32.042474,-67.457526,,
2.7,31,gnb_1,13.400000,3,25,7,27.382710,-72.117290,,
2.8,0,gnb_2,14.000000,4,25,7,27.835205,-71.664795,,
2.8,15,gnb_1,14.440000,3,25,7,32.049432,-67.450568,,
2.8,31,gnb_1,13.400000,3,25,7,27.391339,-72.108661,,
2.9,0,gnb_2,14.000000,4,25,7,27.842711,-71.657289,,
2.9,15,gnb_1,14.440000,3,25,7,32.057027,-67.442973,,
2.9,31,gnb_1,13.400000,3,25,7,27.400324,-72.099676,,
3.0,0,gnb_2,14.000000,4,25,7,27.850394,-71.649606,,
3.0,15,gnb_1,14.440000,3,25,7,32.065292,-67.434708,,
3.0,31,gnb_1,13.400000,3,25,7,27.409908,-72.090092,,
3.1,0,gnb_2,14.000000,4,25,7,27.858320,-71.641680,,
3.1,15,gnb_1,14.440000,3,25,7,32.073962,-67.426038,,
3.1,31,gnb_1,13.400000,3,25,7,27.420111,-72.079889,,
3.2,0,gnb_2,14.000000,4,25,7,27.866504,-71.633496,,
3.2,15,gnb_1,14.440000,3,25,7,32.083061,-67.416939,,
3.2,31,gnb_1,13.400000,3,25,7,27.430745,-72.069255,,
3.3,0,gnb_2,14.000000,4,25,7,27.874946,-71.625054,,
3.3,15,gnb_1,14.440000,3,25,7,32.092817,-67.407183,,
3.3,31,gnb_1,13.400000,3,25,7,27.441935,-72.058065,,
3.4,0,gnb_2,14.000000,4,25,7,23.227174,-76.272826,,
3.4,15,gnb_1,14.440000,3,25,7,32.102774,-67.397226,,
3.4,31,gnb_1,13.400000,3,25,7,27.453744,-72.046256,,
3.5,0,gnb_2,14.000000,4,25,7,23.236048,-76.263952,,
3.5,15,gnb_1,14.440000,3,25,7,32.113074,-67.386926,,
3.5,31,gnb_1,13.400000,3,25,7,27.466230,-72.033770,,
3.6,0,gnb_2,14.400000,4,25,7,23.245116,-76.254884,,
3.6,15,gnb_1,14.440000,3,25,7,32.124155,-67.375845,,
3.6,31,gnb_1,13.400000,3,25,7,27.479210,-72.020790,,
3.7,0,gnb_2,14.400000,4,25,7,23.254430,-76.245570,,
3.7,15,gnb_1,14.440000,3,25,7,32.135596,-67.364404,,
3.7,31,gnb_1,14.640000,3,25,7,27.493023,-72.006977,,
3.8,0,gnb_2,14.400000,4,25,7,23.264011,-76.235989,,
3.8,15,gnb_1,14.440000,3,25,7,32.147327,-67.352673,,
3.8,31,gnb_1,14.640000,3,25,7,27.507189,-71.992811,,
3.9,0,gnb_2,14.400000,4,25,7,23.273865,-76.226135,,
3.9,15,gnb_1,14.440000,3,25,7,32.159577,-67.340423,,
3.9,31,gnb_1,14.640000,3,25,7,27.522172,-71.977828,,
4.0,0,gnb_2,14.400000,4,25,7,23.283870,-76.216130,,
4.0,15,gnb_1,14.440000,3,25,7,32.172191,-67.327809,,
4.0,31,gnb_1,14.640000,3,25,7,27.537599,-71.962401,,
4.1,0,gnb_2,14.400000,4,25,7,23.294144,-76.205856,,
4.1,15,gnb_1,14.440000,3,25,7,32.185331,-67.314669,,
