scenario_id,ue_id,user_index,cqi_t_minus_4,cqi_t_minus_3,cqi_t_minus_2,cqi_t_minus_1,cqi_now_raw,cqi_now,previous_quality,distance_m,speed_mps,direction_to_gnb,x_m,y_m,rsrp_dbm,rsrq_db,wideband_sinr_db,mcs
simu5g_00000348,0,0,12.04,12.04,12.8,12.8,12.8,13,1,102.03765985775428,9.79760345214605,0.4037750506418248,226.65,321.200261276438,-59.381104,,40.118896,
simu5g_00000348,1,1,13.08,14.72,14.72,14.72,14.72,15,2,109.4421061763091,9.37047771551961,0.5219723826717071,226.65,337.125756925458,-74.019077,,25.480923,
simu5g_00000348,2,2,14.68,14.4,14.4,14.44,14.44,14,2,124.82450909232318,9.83315107329905,0.663867823317211,226.65,362.86697514776,-67.848516,,31.651484,
simu5g_00000348,3,3,11.76,11.76,11.76,11.76,9.16,9,1,149.4196150392586,5.29943088757276,0.7808243329067601,226.65,396.670471236214,-71.853647,,27.646353,
simu5g_00000348,4,4,11.4,13.0,13.0,13.0,13.0,13,2,162.448756081255,1.54835861931149,0.8184043678814171,226.65,412.948771533802,-83.08915,,16.41085,
simu5g_00000350,0,0,12.04,12.8,12.8,12.8,12.8,13,1,101.64623569354798,9.79188060170785,0.39569663295283264,226.65,320.221073216267,-59.376371,,40.123629,
simu5g_00000350,1,1,14.72,14.72,14.72,14.72,13.88,14,2,108.95270841057614,9.43284836736675,0.5156592516911525,226.65,336.182472088722,-74.005341,,25.494659,
simu5g_00000350,2,2,14.4,14.4,14.44,14.44,14.12,14,2,124.16786674491708,9.92457549281622,0.6593857150391095,226.65,361.874517598478,-67.820277,,31.679723,
simu5g_00000350,3,3,11.76,11.76,11.76,9.16,9.16,9,1,149.00095137173642,5.36664746963821,0.7794165434522125,226.65,396.13380648925,-71.831282,,27.668718,
simu5g_00000350,4,4,13.0,13.0,13.0,13.0,13.0,13,2,162.31709479596037,1.60907769823879,0.8180768879020297,226.65,412.787863763978,-83.081776,,16.418224,
simu5g_00000352,0,0,12.8,12.8,12.8,12.8,12.6,13,1,101.26260897751675,9.7959672858268,0.3875218788447051,226.65,319.241476487684,-59.372234,,40.127766,
simu5g_00000352,1,1,14.72,14.72,14.72,13.88,13.88,14,2,108.46941411902885,9.43072206704332,0.5092624527445134,226.65,335.239399882017,-73.992136,,25.507864,
simu5g_00000352,2,2,14.4,14.44,14.44,14.12,14.12,14,2,123.50863135994017,10.0326485434395,0.654782195006692,226.65,360.871252744134,-67.792214,,31.707786,
simu5g_00000352,3,3,11.76,11.76,9.16,9.16,9.16,9,1,148.5755218865966,5.46336563334736,0.7779711520323019,226.65,395.587469925916,-71.697148,,27.802852,
simu5g_00000352,4,4,13.0,13.0,13.0,13.0,13.0,13,2,162.18084688589266,1.66581170929097,0.8177370209834877,226.65,412.621282593049,-83.074147,,16.425853,
simu5g_00000354,0,0,12.8,12.8,12.8,12.6,12.6,13,1,100.88800452641858,9.77041860700958,0.37927635506918045,226.65,318.264434626983,-59.368707,,40.131293,
simu5g_00000354,1,1,14.72,14.72,13.88,13.88,13.88,14,2,107.99021811233962,9.4699978816757,0.5027529441358377,226.65,334.29240009385,-73.979407,,25.520593,
