timestamp_s,ue_id,demand_class,serving_gnb,active_ues_same_gnb,raw_feedback_timestamp_s,achievable_kbps_if_all_budget_assigned,effective_capacity_kbps,ewma_capacity_kbps,buffer_s,previous_quality,next_quality,stalled
18.7,0,conservative,gnb_2,5,18.798,8024.000000,1604.800000,1604.156268,12.000000,1,1,0
18.8,0,conservative,gnb_2,5,18.894,8024.000000,1604.800000,1604.297889,12.000000,1,1,0
18.9,0,conservative,gnb_2,5,18.996,7960.000000,1592.000000,1601.592354,12.000000,1,1,0
19.0,0,conservative,gnb_2,5,19.098,7960.000000,1592.000000,1599.482036,12.000000,1,1,0
19.1,0,conservative,gnb_2,5,19.194,7960.000000,1592.000000,1597.835988,12.000000,1,1,0
19.2,0,conservative,gnb_2,5,19.296,7960.000000,1592.000000,1596.552071,12.000000,1,1,0
43.7,0,conservative,gnb_1,7,43.794,8120.000000,1160.000000,1160.000108,12.000000,1,1,0
43.8,0,conservative,gnb_1,7,43.896,8120.000000,1160.000000,1160.000084,12.000000,1,1,0
43.9,0,conservative,gnb_1,7,43.998,8120.000000,1160.000000,1160.000065,12.000000,1,1,0
18.7,1,balanced,gnb_2,5,18.798,8120.000000,1624.000000,1618.251763,10.865492,2,2,0
18.8,1,balanced,gnb_2,5,18.894,8120.000000,1624.000000,1620.263646,10.873758,2,2,0
18.9,1,balanced,gnb_2,5,18.996,8120.000000,1624.000000,1621.571370,10.882025,2,2,0
19.0,1,balanced,gnb_2,5,19.098,8120.000000,1624.000000,1622.421390,10.890292,2,2,0
19.1,1,balanced,gnb_2,5,19.194,8120.000000,1624.000000,1622.973904,10.898558,2,2,0
19.2,1,balanced,gnb_2,5,19.296,8024.000000,1604.800000,1616.613037,10.905545,2,2,0
43.7,1,balanced,gnb_1,7,43.794,8120.000000,1160.000000,1160.000000,12.000000,1,1,0
43.8,1,balanced,gnb_1,7,43.896,8120.000000,1160.000000,1160.000000,12.000000,1,1,0
43.9,1,balanced,gnb_1,7,43.998,8120.000000,1160.000000,1160.000000,12.000000,1,1,0
43.7,15,conservative,gnb_1,7,43.794,4488.000000,641.142857,1007.442252,12.000000,1,1,0
43.8,15,conservative,gnb_1,7,43.896,4488.000000,641.142857,926.856385,12.000000,1,1,0
43.9,15,conservative,gnb_1,7,43.998,4488.000000,641.142857,863.999409,12.000000,1,1,0
18.7,2,aggressive,gnb_2,5,18.794,8120.000000,1624.000000,1624.006109,7.172743,2,2,0
18.8,2,aggressive,gnb_2,5,18.896,8120.000000,1624.000000,1624.003299,7.181010,2,2,0
18.9,2,aggressive,gnb_2,5,18.998,8120.000000,1624.000000,1624.001781,7.189277,2,2,0
19.0,2,aggressive,gnb_2,5,19.094,8120.000000,1624.000000,1624.000962,7.197543,2,2,0
19.1,2,aggressive,gnb_2,5,19.196,8120.000000,1624.000000,1624.000519,7.205810,2,2,0
19.2,2,aggressive,gnb_2,5,19.298,8120.000000,1624.000000,1624.000280,7.214077,2,2,0
43.7,2,aggressive,gnb_1,7,43.796,8120.000000,1160.000000,1160.000000,12.000000,1,1,0
43.8,2,aggressive,gnb_1,7,43.898,8120.000000,1160.000000,1160.000000,12.000000,1,1,0
43.9,2,aggressive,gnb_1,7,43.994,8120.000000,1160.000000,1160.000000,12.000000,1,1,0
18.7,3,conservative,gnb_2,5,18.794,5816.000000,1163.200000,1413.398980,10.811040,1,1,0
18.8,3,conservative,gnb_2,5,18.896,5816.000000,1163.200000,1358.355204,10.922531,1,1,0
18.9,3,conservative,gnb_2,5,18.998,5816.000000,1163.200000,1315.421059,11.034022,1,1,0
19.0,3,conservative,gnb_2,5,19.094,5816.000000,1163.200000,1281.932426,11.145513,1,1,0
19.1,3,conservative,gnb_2,5,19.196,5816.000000,1163.200000,1255.811292,11.257004,1,1,0
19.2,3,conservative,gnb_2,5,19.298,5816.000000,1163.200000,1235.436808,11.368495,1,1,0
43.7,3,conservative,gnb_1,7,43.796,8120.000000,1160.000000,1160.000107,12.000000,1,1,0
43.8,3,conservative,gnb_1,7,43.898,8120.000000,1160.000000,1160.000083,12.000000,1,1,0
43.9,3,conservative,gnb_1,7,43.994,8120.000000,1160.000000,1160.000065,12.000000,1,1,0
18.7,4,balanced,gnb_2,5,18.796,7992.000000,1598.400000,1579.692178,6.708393,2,2,0
18.8,4,balanced,gnb_2,5,18.898,7992.000000,1598.400000,1586.239916,6.714953,2,2,0
18.9,4,balanced,gnb_2,5,18.994,7992.000000,1598.400000,1590.495945,6.721513,2,2,0
19.0,4,balanced,gnb_2,5,19.096,7992.000000,1598.400000,1593.262364,6.728073,2,2,0
19.1,4,balanced,gnb_2,5,19.198,7992.000000,1598.400000,1595.060537,6.734633,2,2,0
19.2,4,balanced,gnb_2,5,19.294,7992.000000,1598.400000,1596.229349,6.741193,2,2,0
43.7,4,balanced,gnb_1,7,43.798,8120.000000,1160.000000,1160.000000,12.000000,1,1,0
43.8,4,balanced,gnb_1,7,43.894,8120.000000,1160.000000,1160.000000,12.000000,1,1,0
43.9,4,balanced,gnb_1,7,43.996,8120.000000,1160.000000,1160.000000,12.000000,1,1,0
43.7,5,aggressive,gnb_1,7,43.796,8120.000000,1160.000000,1160.000000,12.000000,1,1,0
43.8,5,aggressive,gnb_1,7,43.898,8120.000000,1160.000000,1160.000000,12.000000,1,1,0
43.9,5,aggressive,gnb_1,7,43.994,8120.000000,1160.000000,1160.000000,12.000000,1,1,0
