timestamp_s,ue_id,serving_gnb,wideband_cqi,previous_quality,total_rbs,rb_available,wideband_sinr_db,rsrp_dbm,rsrq_db,mcs
18.7,0,gnb_2,12.800000,1,25,7,40.118896,-59.381104,,
18.7,1,gnb_2,14.720000,2,25,7,25.480923,-74.019077,,
18.7,2,gnb_2,14.440000,2,25,7,31.651484,-67.848516,,
18.7,3,gnb_2,9.160000,1,25,7,27.646353,-71.853647,,
18.7,4,gnb_2,13.000000,2,25,7,16.410850,-83.089150,,
18.8,0,gnb_2,12.800000,1,25,7,40.123629,-59.376371,,
18.8,1,gnb_2,13.880000,2,25,7,25.494659,-74.005341,,
18.8,2,gnb_2,14.120000,2,25,7,31.679723,-67.820277,,
18.8,3,gnb_2,9.160000,1,25,7,27.668718,-71.831282,,
18.8,4,gnb_2,13.000000,2,25,7,16.418224,-83.081776,,
18.9,0,gnb_2,12.600000,1,25,7,40.127766,-59.372234,,
18.9,1,gnb_2,13.880000,2,25,7,25.507864,-73.992136,,
18.9,2,gnb_2,14.120000,2,25,7,31.707786,-67.792214,,
18.9,3,gnb_2,9.160000,1,25,7,27.802852,-71.697148,,
18.9,4,gnb_2,13.000000,2,25,7,16.425853,-83.074147,,
19.0,0,gnb_2,12.600000,1,25,7,40.131293,-59.368707,,
19.0,1,gnb_2,13.880000,2,25,7,25.520593,-73.979407,,
19.0,2,gnb_2,14.120000,2,25,7,31.735656,-67.764344,,
19.0,3,gnb_2,9.200000,1,25,7,27.825839,-71.674161,,
19.0,4,gnb_2,13.040000,2,25,7,16.433613,-83.066387,,
19.1,0,gnb_2,12.600000,1,25,7,40.134227,-59.365773,,
19.1,1,gnb_2,13.880000,2,25,7,25.532772,-73.967228,,
19.1,2,gnb_2,14.520000,2,25,7,25.964733,-73.535267,,
19.1,3,gnb_2,9.200000,1,25,7,27.849021,-71.650979,,
19.1,4,gnb_2,13.040000,2,25,7,16.441661,-83.058339,,
19.2,0,gnb_2,12.640000,1,25,7,40.136558,-59.363442,,
19.2,1,gnb_2,13.520000,2,25,7,28.996749,-70.503251,,
19.2,2,gnb_2,14.520000,2,25,7,25.992154,-73.507846,,
19.2,3,gnb_2,9.200000,1,25,7,27.872469,-71.627531,,
19.2,4,gnb_2,13.040000,2,25,7,16.449916,-83.050084,,
43.7,0,gnb_1,14.720000,1,25,7,38.358463,-61.141537,,
43.7,1,gnb_1,15.000000,1,25,7,33.940692,-65.559308,,
43.7,15,gnb_1,6.880000,1,25,7,22.412008,-77.087992,,
43.7,2,gnb_1,15.000000,1,25,7,42.623961,-56.876039,,
43.7,3,gnb_1,15.000000,1,25,7,39.638332,-59.861668,,
43.7,4,gnb_1,14.880000,1,25,7,37.860640,-61.639360,,
43.7,5,gnb_1,14.920000,1,25,7,20.451821,-79.048179,,
43.8,0,gnb_1,14.720000,1,25,7,38.242543,-61.257457,,
43.8,1,gnb_1,15.000000,1,25,7,33.836693,-65.663307,,
43.8,15,gnb_1,6.880000,1,25,7,22.331670,-77.168330,,
43.8,2,gnb_1,15.000000,1,25,7,42.546558,-56.953442,,
43.8,3,gnb_1,15.000000,1,25,7,39.609040,-59.890960,,
43.8,4,gnb_1,14.880000,1,25,7,37.972913,-61.527087,,
43.8,5,gnb_1,14.920000,1,25,7,20.559688,-78.940312,,
43.9,0,gnb_1,14.720000,1,25,7,38.126209,-61.373791,,
43.9,1,gnb_1,15.000000,1,25,7,33.731382,-65.768618,,
43.9,15,gnb_1,6.760000,1,25,7,22.251523,-77.248477,,
43.9,2,gnb_1,15.000000,1,25,7,42.466971,-57.033029,,
43.9,3,gnb_1,15.000000,1,25,7,39.576355,-59.923645,,
43.9,4,gnb_1,14.600000,1,25,7,38.085739,-61.414261,,
43.9,5,gnb_1,14.920000,1,25,7,20.667950,-78.832050,,
