schema_version,scenario_id,timestamp_s,serving_gnb,rb_available,total_rbs,dispersion
1.0,simu5g_00000000,0.6,gnb_2,7,25,simu5g
1.0,simu5g_00000001,0.7,gnb_2,7,25,simu5g
1.0,simu5g_00000002,0.8,gnb_2,7,25,simu5g
1.0,simu5g_00000003,0.9,gnb_2,7,25,simu5g
1.0,simu5g_00000004,1.0,gnb_2,7,25,simu5g
1.0,simu5g_00000005,1.1,gnb_2,7,25,simu5g
1.0,simu5g_00000006,1.2,gnb_2,7,25,simu5g
1.0,simu5g_00000007,1.3,gnb_2,7,25,simu5g
1.0,simu5g_00000008,1.4,gnb_2,7,25,simu5g
1.0,simu5g_00000009,1.5,gnb_2,7,25,simu5g
1.0,simu5g_00000010,1.6,gnb_2,7,25,simu5g
1.0,simu5g_00000011,1.7,gnb_2,7,25,simu5g
1.0,simu5g_00000012,1.8,gnb_2,7,25,simu5g
1.0,simu5g_00000013,1.9,gnb_2,7,25,simu5g
1.0,simu5g_00000014,2.0,gnb_2,7,25,simu5g
1.0,simu5g_00000015,2.1,gnb_2,7,25,simu5g
1.0,simu5g_00000016,2.2,gnb_2,7,25,simu5g
1.0,simu5g_00000017,2.3,gnb_2,7,25,simu5g
1.0,simu5g_00000018,2.4,gnb_2,7,25,simu5g
1.0,simu5g_00000019,2.5,gnb_2,7,25,simu5g
1.0,simu5g_00000020,2.6,gnb_2,7,25,simu5g
1.0,simu5g_00000021,2.7,gnb_2,7,25,simu5g
1.0,simu5g_00000022,2.8,gnb_2,7,25,simu5g
1.0,simu5g_00000023,2.9,gnb_2,7,25,simu5g
1.0,simu5g_00000024,3.0,gnb_2,7,25,simu5g
1.0,simu5g_00000025,3.1,gnb_2,7,25,simu5g
1.0,simu5g_00000026,3.2,gnb_2,7,25,simu5g
1.0,simu5g_00000027,3.3,gnb_2,7,25,simu5g
1.0,simu5g_00000028,3.4,gnb_2,7,25,simu5g
1.0,simu5g_00000029,3.5,gnb_2,7,25,simu5g
1.0,simu5g_00000030,3.6,gnb_2,7,25,simu5g
1.0,simu5g_00000031,3.7,gnb_2,7,25,simu5g
1.0,simu5g_00000032,3.8,gnb_2,7,25,simu5g
1.0,simu5g_00000033,3.9,gnb_2,7,25,simu5g
1.0,simu5g_00000034,4.0,gnb_2,7,25,simu5g
1.0,simu5g_00000035,4.1,gnb_2,7,25,simu5g
1.0,simu5g_00000036,4.2,gnb_2,7,25,simu5g
1.0,simu5g_00000037,4.3,gnb_2,7,25,simu5g
1.0,simu5g_00000038,4.4,gnb_2,7,25,simu5g
1.0,simu5g_00000039,4.5,gnb_2,7,25,simu5g
1.0,simu5g_00000040,4.6,gnb_2,7,25,simu5g
1.0,simu5g_00000041,4.7,gnb_2,7,25,simu5g
1.0,simu5g_00000042,4.8,gnb_2,7,25,simu5g
