scenario_id,ue_id,user_index,cqi_t_minus_4,cqi_t_minus_3,cqi_t_minus_2,cqi_t_minus_1,cqi_now_raw,cqi_now,previous_quality,distance_m,speed_mps,direction_to_gnb,x_m,y_m,rsrp_dbm,rsrq_db,wideband_sinr_db,mcs
simu5g_00000000,0,0,13.76,13.76,13.76,13.76,13.76,14,4,164.88532368842274,0.78342831094982,0.8243015119779831,226.65,415.915221619346,,,,
simu5g_00000001,0,0,13.76,13.76,13.76,13.76,13.76,14,4,164.80838310749388,0.933506172625551,0.8241199169674225,226.65,415.821871002083,,,,
simu5g_00000002,0,0,13.76,13.76,13.76,13.76,13.76,14,4,164.71966964718047,1.0765999720642,0.8239101698999797,226.65,415.714211004877,,,,
simu5g_00000003,0,0,13.76,13.76,13.76,13.76,13.76,14,4,164.6199078423149,1.21100715260219,0.8236738318399383,226.65,415.593110289617,,,,
simu5g_00000004,0,0,13.76,13.76,13.76,13.76,13.76,14,4,164.50727732391258,1.36763843514024,0.823406408820391,226.65,415.456346446103,,,,
simu5g_00000005,0,0,13.76,13.76,13.76,13.76,13.76,14,4,164.38351026779023,1.50337902650724,0.8231118092260633,226.65,415.306008543452,,,,
simu5g_00000006,0,0,13.76,13.76,13.76,13.76,13.76,14,4,164.2486636834033,1.6385737741601,0.822789958440871,226.65,415.142151166036,,,,
simu5g_00000007,0,0,13.76,13.76,13.76,13.76,13.8,14,4,164.1022678341755,1.77964033599499,0.8224395001586307,226.65,414.964187132437,,,,
simu5g_00000008,0,0,13.76,13.76,13.76,13.8,13.8,14,4,163.94295848413944,1.93748472720872,0.8220568904321333,226.65,414.770438659716,,,,
simu5g_00000009,0,0,13.76,13.76,13.8,13.8,13.8,14,4,163.77332418646938,2.06404775893803,0.8216480586948934,226.65,414.564033883822,,,,
simu5g_00000010,0,0,13.76,13.8,13.8,13.8,14.04,14,4,163.59379044690948,2.1856215966076,0.8212137597469484,226.65,414.345471724161,,,,
