mobility_schema_version,scenario_id,timestamp_s,serving_gnb,user_count
1.0,sumo_coupled_00000000,0.2,gnb_2,1
1.0,sumo_coupled_00000001,0.3,gnb_2,1
1.0,sumo_coupled_00000002,0.4,gnb_2,1
1.0,sumo_coupled_00000003,0.5,gnb_2,1
1.0,sumo_coupled_00000004,0.6,gnb_2,1
1.0,sumo_coupled_00000005,0.7,gnb_2,1
1.0,sumo_coupled_00000006,0.8,gnb_2,1
1.0,sumo_coupled_00000007,0.9,gnb_2,1
1.0,sumo_coupled_00000008,1,gnb_2,1
1.0,sumo_coupled_00000009,1.1,gnb_2,1
1.0,sumo_coupled_00000010,1.2,gnb_2,1
1.0,sumo_coupled_00000011,1.3,gnb_2,1
1.0,sumo_coupled_00000012,1.4,gnb_2,1
1.0,sumo_coupled_00000013,1.5,gnb_2,1
1.0,sumo_coupled_00000014,1.6,gnb_2,1
1.0,sumo_coupled_00000015,1.7,gnb_2,1
1.0,sumo_coupled_00000016,1.8,gnb_2,1
1.0,sumo_coupled_00000017,1.9,gnb_2,1
1.0,sumo_coupled_00000018,2,gnb_2,1
1.0,sumo_coupled_00000019,2.1,gnb_2,1
1.0,sumo_coupled_00000020,2.2,gnb_2,1
1.0,sumo_coupled_00000021,2.3,gnb_2,1
1.0,sumo_coupled_00000022,2.4,gnb_2,1
1.0,sumo_coupled_00000023,2.5,gnb_2,1
1.0,sumo_coupled_00000024,2.6,gnb_2,1
1.0,sumo_coupled_00000025,2.7,gnb_2,1
1.0,sumo_coupled_00000026,2.8,gnb_2,1
1.0,sumo_coupled_00000027,2.9,gnb_2,1
1.0,sumo_coupled_00000028,3,gnb_2,2
1.0,sumo_coupled_00000029,3.1,gnb_2,2
1.0,sumo_coupled_00000030,3.2,gnb_2,2
1.0,sumo_coupled_00000031,3.3,gnb_2,2
1.0,sumo_coupled_00000032,3.4,gnb_2,2
1.0,sumo_coupled_00000033,3.5,gnb_2,2
1.0,sumo_coupled_00000034,3.6,gnb_2,2
1.0,sumo_coupled_00000035,3.7,gnb_2,2
1.0,sumo_coupled_00000036,3.8,gnb_2,2
1.0,sumo_coupled_00000037,3.9,gnb_2,2
1.0,sumo_coupled_00000038,4,gnb_2,2
1.0,sumo_coupled_00000039,4.1,gnb_2,2
