timestamp_s,ue_id,demand_class,serving_gnb,active_ues_same_gnb,raw_feedback_timestamp_s,achievable_kbps_if_all_budget_assigned,effective_capacity_kbps,ewma_capacity_kbps,buffer_s,previous_quality,next_quality,stalled
0.2,0,uniform,gnb_2,1,0.294,8120.000000,8120.000000,4466.000000,3.376364,1,1,0
0.3,0,uniform,gnb_2,1,0.396,8120.000000,8120.000000,5744.900000,4.752727,1,2,0
0.4,0,uniform,gnb_2,1,0.498,8120.000000,8120.000000,6576.185000,5.194061,2,3,0
0.5,0,uniform,gnb_2,1,0.594,8120.000000,8120.000000,7116.520250,5.364727,3,4,0
0.6,0,uniform,gnb_2,1,0.696,8120.000000,8120.000000,7467.738162,5.404727,4,4,0
0.7,0,uniform,gnb_2,1,0.798,8120.000000,8120.000000,7696.029806,5.444727,4,4,0
0.8,0,uniform,gnb_2,1,0.894,8120.000000,8120.000000,7844.419374,5.484727,4,4,0
0.9,0,uniform,gnb_2,1,0.996,8120.000000,8120.000000,7940.872593,5.524727,4,4,0
1.0,0,uniform,gnb_2,1,1.098,8120.000000,8120.000000,8003.567185,5.564727,4,4,0
1.1,0,uniform,gnb_2,1,1.194,8120.000000,8120.000000,8044.318670,5.604727,4,4,0
1.2,0,uniform,gnb_2,1,1.296,8120.000000,8120.000000,8070.807136,5.644727,4,4,0
1.3,0,uniform,gnb_2,1,1.398,8120.000000,8120.000000,8088.024638,5.684727,4,4,0
1.4,0,uniform,gnb_2,1,1.494,8120.000000,8120.000000,8099.216015,5.724727,4,4,0
1.5,0,uniform,gnb_2,1,1.596,8120.000000,8120.000000,8106.490410,5.764727,4,4,0
1.6,0,uniform,gnb_2,1,1.698,8120.000000,8120.000000,8111.218766,5.804727,4,4,0
1.7,0,uniform,gnb_2,1,1.794,8120.000000,8120.000000,8114.292198,5.844727,4,4,0
1.8,0,uniform,gnb_2,1,1.896,8120.000000,8120.000000,8116.289929,5.884727,4,4,0
1.9,0,uniform,gnb_2,1,1.998,8120.000000,8120.000000,8117.588454,5.924727,4,4,0
