timestamp_s,ue_id,serving_gnb,wideband_cqi,previous_quality,total_rbs,rb_available,wideband_sinr_db,rsrp_dbm,rsrq_db,mcs
0.2,0,gnb_2,13.760000,1,25,7,,,,
0.3,0,gnb_2,13.760000,1,25,7,,,,
0.4,0,gnb_2,13.760000,2,25,7,,,,
0.5,0,gnb_2,13.760000,3,25,7,,,,
0.6,0,gnb_2,13.760000,4,25,7,,,,
0.7,0,gnb_2,13.760000,4,25,7,,,,
0.8,0,gnb_2,13.800000,4,25,7,,,,
0.9,0,gnb_2,13.800000,4,25,7,,,,
1.0,0,gnb_2,13.800000,4,25,7,,,,
1.1,0,gnb_2,13.800000,4,25,7,,,,
1.2,0,gnb_2,13.800000,4,25,7,,,,
1.3,0,gnb_2,13.800000,4,25,7,,,,
1.4,0,gnb_2,13.800000,4,25,7,,,,
1.5,0,gnb_2,13.800000,4,25,7,,,,
1.6,0,gnb_2,13.800000,4,25,7,,,,
1.7,0,gnb_2,13.800000,4,25,7,,,,
1.7,15,gnb_1,14.440000,1,25,7,,,,
1.7,31,gnb_1,13.400000,1,25,7,,,,
1.8,0,gnb_2,13.800000,4,25,7,,,,
1.8,15,gnb_1,14.440000,1,25,7,,,,
1.8,31,gnb_1,13.400000,1,25,7,,,,
1.9,0,gnb_2,13.800000,4,25,7,,,,
1.9,15,gnb_1,14.440000,1,25,7,,,,
1.9,31,gnb_1,13.400000,1,25,7,,,,
2.0,0,gnb_2,14.000000,4,25,7,,,,
2.0,15,gnb_1,14.440000,1,25,7,,,,
2.0,31,gnb_1,13.400000,1,25,7,,,,
2.1,0,gnb_2,14.000000,4,25,7,,,,
2.1,15,gnb_1,14.440000,2,25,7,,,,
2.1,31,gnb_1,13.400000,2,25,7,,,,
2.2,0,gnb_2,14.000000,5,25,7,,,,
2.2,15,gnb_1,14.440000,3,25,7,,,,
2.2,31,gnb_1,13.400000,3,25,7,,,,
2.3,0,gnb_2,14.000000,5,25,7,,,,
2.3,15,gnb_1,14.440000,3,25,7,,,,
2.3,31,gnb_1,13.400000,3,25,7,,,,
2.4,0,gnb_2,14.000000,5,25,7,,,,
2.4,15,gnb_1,14.440000,3,25,7,,,,
2.4,31,gnb_1,13.400000,3,25,7,,,,
2.5,0,gnb_2,14.000000,5,25,7,,,,
2.5,15,gnb_1,14.440000,3,25,7,,,,
2.5,31,gnb_1,13.400000,3,25,7,,,,
2.6,0,gnb_2,14.000000,5,25,7,,,,
2.6,15,gnb_1,14.440000,3,25,7,,,,
2.6,31,gnb_1,13.400000,3,25,7,,,,
2.7,0,gnb_2,14.000000,5,25,7,,,,
2.7,15,gnb_1,14.440000,3,25,7,,,,
2.7,31,gnb_1,13.400000,3,25,7,,,,
2.8,0,gnb_2,14.000000,5,25,7,,,,
2.8,15,gnb_1,14.440000,3,25,7,,,,
2.8,31,gnb_1,13.400000,3,25,7,,,,
2.9,0,gnb_2,14.000000,5,25,7,,,,
2.9,15,gnb_1,14.440000,3,25,7,,,,
2.9,31,gnb_1,13.400000,3,25,7,,,,
3.0,0,gnb_2,14.000000,5,25,7,,,,
3.0,15,gnb_1,14.440000,3,25,7,,,,
3.0,31,gnb_1,13.400000,3,25,7,,,,
3.1,0,gnb_2,14.000000,5,25,7,,,,
3.1,15,gnb_1,14.440000,3,25,7,,,,
3.1,31,gnb_1,13.400000,3,25,7,,,,
3.2,0,gnb_2,14.000000,5,25,7,,,,
3.2,15,gnb_1,14.440000,3,25,7,,,,
3.2,31,gnb_1,13.400000,3,25,7,,,,
3.3,0,gnb_2,14.000000,5,25,7,,,,
3.3,15,gnb_1,14.440000,3,25,7,,,,
3.3,31,gnb_1,13.400000,3,25,7,,,,
3.4,0,gnb_2,14.000000,5,25,7,,,,
3.4,15,gnb_1,14.440000,3,25,7,,,,
