ue_ids,serving_gnb,scenario_count,user_count,max_teacher_gain_vs_single,max_cqi_range,max_resource_cost_range,max_previous_quality_range,first_time_s,last_time_s
3|4|5|6,gnb_2,42,4,0.000000000000,6.0,0.833333,1.0,25.8,29.9
31|4|5|6,gnb_2,5,4,0.000000000000,5.0,0.833333,1.0,30.0,30.4
1|2|4|5,gnb_2,10,4,0.000000000000,4.0,0.500000,0.0,23.0,23.9
2|3|4|5,gnb_2,10,4,0.000000000000,4.0,0.500000,0.0,24.0,24.9
0|1|15|2|31,gnb_1,50,5,0.000000000000,4.0,0.333333,1.0,25.0,29.9
0|1|15|2|3|5,gnb_1,20,6,0.000000000000,4.0,0.333333,0.0,31.0,32.9
0|1|2|3,gnb_2,38,4,0.000000000000,3.0,0.333333,1.0,12.2,15.9
0|15|3|31,gnb_1,10,4,0.000000000000,3.0,0.333333,0.0,23.0,23.9
0|2|3|4,gnb_2,6,4,0.000000000000,3.0,0.333333,1.0,16.6,21.1
31|4|5|6|7,gnb_2,35,5,0.000000000000,3.0,0.166667,1.0,30.5,35.9
0|1|15|2|3|4,gnb_1,20,6,0.000000000000,3.0,0.166667,0.0,36.0,37.9
31|5|6|7,gnb_2,20,4,0.000000000000,3.0,0.166667,0.0,36.0,37.9
0|2|3|4|5,gnb_2,8,5,0.000000000000,3.0,0.166667,1.0,21.2,21.9
