timestamp_s,ue_id,serving_gnb,rb_index,rate_kbps,sinr_db,cqi
0.2,0,gnb_2,0,1160.000000,,15
0.2,0,gnb_2,1,528.000000,,8
0.2,0,gnb_2,2,1160.000000,,15
0.2,0,gnb_2,3,984.000000,,13
0.2,0,gnb_2,4,1128.000000,,14
0.2,0,gnb_2,5,984.000000,,13
0.2,0,gnb_2,6,984.000000,,13
0.2,0,gnb_2,7,1160.000000,,15
0.2,0,gnb_2,8,808.000000,,11
0.2,0,gnb_2,9,1128.000000,,14
0.2,0,gnb_2,10,1128.000000,,14
0.2,0,gnb_2,11,1160.000000,,15
0.2,0,gnb_2,12,1128.000000,,14
0.2,0,gnb_2,13,1128.000000,,14
0.2,0,gnb_2,14,1128.000000,,14
0.2,0,gnb_2,15,1160.000000,,15
0.2,0,gnb_2,16,984.000000,,13
0.2,0,gnb_2,17,1160.000000,,15
0.2,0,gnb_2,18,1160.000000,,15
0.2,0,gnb_2,19,1128.000000,,14
0.2,0,gnb_2,20,1160.000000,,15
0.2,0,gnb_2,21,888.000000,,12
0.2,0,gnb_2,22,1160.000000,,15
0.2,0,gnb_2,23,1160.000000,,15
0.2,0,gnb_2,24,984.000000,,13
0.3,0,gnb_2,0,1160.000000,,15
0.3,0,gnb_2,1,528.000000,,8
0.3,0,gnb_2,2,1160.000000,,15
0.3,0,gnb_2,3,984.000000,,13
0.3,0,gnb_2,4,1128.000000,,14
0.3,0,gnb_2,5,984.000000,,13
0.3,0,gnb_2,6,984.000000,,13
0.3,0,gnb_2,7,1160.000000,,15
0.3,0,gnb_2,8,808.000000,,11
0.3,0,gnb_2,9,1128.000000,,14
0.3,0,gnb_2,10,1128.000000,,14
0.3,0,gnb_2,11,1160.000000,,15
0.3,0,gnb_2,12,1128.000000,,14
0.3,0,gnb_2,13,1128.000000,,14
0.3,0,gnb_2,14,1128.000000,,14
0.3,0,gnb_2,15,1160.000000,,15
0.3,0,gnb_2,16,984.000000,,13
0.3,0,gnb_2,17,1160.000000,,15
0.3,0,gnb_2,18,1160.000000,,15
0.3,0,gnb_2,19,1128.000000,,14
0.3,0,gnb_2,20,1160.000000,,15
0.3,0,gnb_2,21,888.000000,,12
0.3,0,gnb_2,22,1160.000000,,15
0.3,0,gnb_2,23,1160.000000,,15
0.3,0,gnb_2,24,984.000000,,13
0.4,0,gnb_2,0,1160.000000,,15
0.4,0,gnb_2,1,528.000000,,8
0.4,0,gnb_2,2,1160.000000,,15
0.4,0,gnb_2,3,984.000000,,13
0.4,0,gnb_2,4,1128.000000,,14
0.4,0,gnb_2,5,984.000000,,13
0.4,0,gnb_2,6,984.000000,,13
0.4,0,gnb_2,7,1160.000000,,15
0.4,0,gnb_2,8,808.000000,,11
0.4,0,gnb_2,9,1128.000000,,14
0.4,0,gnb_2,10,1128.000000,,14
0.4,0,gnb_2,11,1160.000000,,15
0.4,0,gnb_2,12,1128.000000,,14
0.4,0,gnb_2,13,1128.000000,,14
0.4,0,gnb_2,14,1128.000000,,14
0.4,0,gnb_2,15,1160.000000,,15
0.4,0,gnb_2,16,984.000000,,13
0.4,0,gnb_2,17,1160.000000,,15
0.4,0,gnb_2,18,1160.000000,,15
0.4,0,gnb_2,19,1128.000000,,14
0.4,0,gnb_2,20,1160.000000,,15
