scenario_id,timestamp_s,teacher_group_count,teacher_groups,teacher_gain_vs_single,cqi_range,resource_cost_range,previous_quality_range,rb_available
simu5g_00000490,25.8,1,"[[0, 1, 2, 3]]",-1.1102230246251565e-16,2,0.16666666666666696,1,7
simu5g_00000492,25.9,1,"[[0, 1, 2, 3]]",0.0,3,0.16666666666666696,0,7
simu5g_00000494,26.0,1,"[[0, 1, 2, 3]]",0.0,3,0.16666666666666696,0,7
simu5g_00000496,26.1,1,"[[0, 1, 2, 3]]",0.0,3,0.16666666666666696,0,7
simu5g_00000498,26.2,1,"[[0, 1, 2, 3]]",0.0,2,0.16666666666666696,0,7
simu5g_00000500,26.3,1,"[[0, 1, 2, 3]]",0.0,1,0.16666666666666696,0,7
simu5g_00000502,26.4,1,"[[0, 1, 2, 3]]",0.0,1,0.16666666666666696,0,7
simu5g_00000504,26.5,1,"[[0, 1, 2, 3]]",0.0,1,0.16666666666666696,0,7
simu5g_00000506,26.6,1,"[[0, 1, 2, 3]]",0.0,1,0.16666666666666696,0,7
simu5g_00000508,26.7,1,"[[0, 1, 2, 3]]",0.0,1,0.16666666666666696,0,7
simu5g_00000510,26.8,1,"[[0, 1, 2, 3]]",0.0,2,0.16666666666666696,0,7
simu5g_00000512,26.9,1,"[[0, 1, 2, 3]]",0.0,2,0.16666666666666696,0,7
simu5g_00000514,27.0,1,"[[0, 1, 2, 3]]",0.0,2,0.16666666666666696,0,7
simu5g_00000516,27.1,1,"[[0, 1, 2, 3]]",0.0,2,0.16666666666666696,0,7
simu5g_00000518,27.2,1,"[[0, 1, 2, 3]]",0.0,2,0.16666666666666696,0,7
simu5g_00000520,27.3,1,"[[0, 1, 2, 3]]",0.0,2,0.16666666666666696,0,7
simu5g_00000522,27.4,1,"[[0, 1, 2, 3]]",0.0,1,0.16666666666666696,0,7
simu5g_00000524,27.5,1,"[[0, 1, 2, 3]]",0.0,1,0.16666666666666696,0,7
simu5g_00000526,27.6,1,"[[0, 1, 2, 3]]",0.0,1,0.16666666666666696,0,7
simu5g_00000528,27.7,1,"[[0, 1, 2, 3]]",0.0,2,0.16666666666666696,0,7
simu5g_00000530,27.8,1,"[[0, 1, 2, 3]]",0.0,2,0.16666666666666696,0,7
simu5g_00000532,27.9,1,"[[0, 1, 2, 3]]",0.0,3,0.16666666666666696,0,7
simu5g_00000534,28.0,1,"[[0, 1, 2, 3]]",0.0,4,0.3333333333333335,0,7
simu5g_00000536,28.1,1,"[[0, 1, 2, 3]]",0.0,4,0.3333333333333335,0,7
simu5g_00000538,28.2,1,"[[0, 1, 2, 3]]",0.0,4,0.3333333333333335,0,7
simu5g_00000540,28.3,1,"[[0, 1, 2, 3]]",0.0,3,0.3333333333333335,0,7
simu5g_00000542,28.4,1,"[[0, 1, 2, 3]]",0.0,3,0.3333333333333335,0,7
simu5g_00000544,28.5,1,"[[0, 1, 2, 3]]",0.0,3,0.3333333333333335,0,7
simu5g_00000546,28.6,1,"[[0, 1, 2, 3]]",0.0,3,0.3333333333333335,0,7
simu5g_00000548,28.7,1,"[[0, 1, 2, 3]]",0.0,3,0.3333333333333335,0,7
simu5g_00000550,28.8,1,"[[0, 1, 2, 3]]",0.0,3,0.3333333333333335,0,7
simu5g_00000552,28.9,1,"[[0, 1, 2, 3]]",0.0,3,0.3333333333333335,0,7
simu5g_00000554,29.0,1,"[[0, 1, 2, 3]]",0.0,3,0.3333333333333335,0,7
simu5g_00000556,29.1,1,"[[0, 1, 2, 3]]",0.0,3,0.3333333333333335,0,7
simu5g_00000558,29.2,1,"[[0, 1, 2, 3]]",0.0,5,0.8333333333333335,0,7
simu5g_00000560,29.3,1,"[[0, 1, 2, 3]]",0.0,5,0.8333333333333335,0,7
simu5g_00000562,29.4,1,"[[0, 1, 2, 3]]",0.0,6,0.8333333333333335,0,7
simu5g_00000564,29.5,1,"[[0, 1, 2, 3]]",0.0,6,0.8333333333333335,0,7
simu5g_00000566,29.6,1,"[[0, 1, 2, 3]]",0.0,6,0.8333333333333335,0,7
simu5g_00000568,29.7,1,"[[0, 1, 2, 3]]",0.0,5,0.8333333333333335,0,7
simu5g_00000570,29.8,1,"[[0, 1, 2, 3]]",0.0,5,0.8333333333333335,0,7
simu5g_00000572,29.9,1,"[[0, 1, 2, 3]]",0.0,4,0.8333333333333335,0,7
